排名,杠杆倍数,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,总盈亏,总收益率%,平均盈利%,平均亏损%,盈亏比
13615,65,70,40,0.33,2667,949,1718,35.58,-22.9000,-0.86,1.077,-0.615,1.75
13616,25,30,20,0.37,2236,856,1380,38.28,-19.2000,-0.86,1.200,-0.800,1.50
13617,25,55,30,0.32,2771,950,1821,34.28,-23.8000,-0.86,2.200,-1.200,1.83
13618,30,65,20,0.55,1088,245,843,22.52,-9.3500,-0.86,2.167,-0.667,3.25
13619,30,60,35,0.55,1088,391,697,35.94,-9.3500,-0.86,2.000,-1.167,1.71
13620,35,60,25,0.55,1088,309,779,28.40,-9.3500,-0.86,1.714,-0.714,2.40
13621,45,70,35,0.41,1913,622,1291,32.51,-16.4500,-0.86,1.556,-0.778,2.00
13622,35,55,20,0.25,3750,957,2793,25.52,-32.2500,-0.86,1.571,-0.571,2.75
13623,35,70,35,0.43,1750,569,1181,32.51,-15.0500,-0.86,2.000,-1.000,2.00
13624,40,50,25,0.25,3750,1207,2543,32.19,-32.2500,-0.86,1.250,-0.625,2.00
13625,60,70,20,0.56,1058,225,833,21.27,-9.1000,-0.86,1.167,-0.333,3.50
13626,35,70,20,0.56,1058,225,833,21.27,-9.1000,-0.86,2.000,-0.571,3.50
13627,45,70,40,0.57,1023,364,659,35.58,-8.8000,-0.86,1.556,-0.889,1.75
13628,45,55,30,0.21,4428,1518,2910,34.28,-38.1000,-0.86,1.222,-0.667,1.83
13629,60,65,20,0.45,1621,365,1256,22.52,-13.9500,-0.86,1.083,-0.333,3.25
13630,45,70,30,0.52,1208,352,856,29.14,-10.4000,-0.86,1.556,-0.667,2.33
13631,45,70,20,0.27,3461,736,2725,21.27,-29.8000,-0.86,1.556,-0.444,3.50
13632,30,60,40,0.57,1022,400,622,39.14,-8.8000,-0.86,2.000,-1.333,1.50
13633,65,65,40,0.46,1556,580,976,37.28,-13.4000,-0.86,1.000,-0.615,1.62
13634,50,60,40,0.46,1556,609,947,39.14,-13.4000,-0.86,1.200,-0.800,1.50
13635,85,65,40,0.46,1556,580,976,37.28,-13.4000,-0.86,0.765,-0.471,1.62
13636,35,60,40,0.46,1556,609,947,39.14,-13.4000,-0.86,1.714,-1.143,1.50
13637,25,50,30,0.23,4099,1493,2606,36.42,-35.3000,-0.86,2.000,-1.200,1.67
