排名,杠杆倍数,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,总盈亏,总收益率%,平均盈利%,平均亏损%,盈亏比
198,80,35,20,0.53,1171,467,704,39.88,22.6500,1.93,0.438,-0.250,1.75
199,90,30,20,0.25,3750,1645,2105,43.87,72.5000,1.93,0.333,-0.222,1.50
200,75,45,20,0.59,949,320,629,33.72,18.2000,1.92,0.600,-0.267,2.25
201,80,45,20,0.59,949,320,629,33.72,18.2000,1.92,0.562,-0.250,2.25
202,85,40,25,0.59,949,393,556,41.41,18.2000,1.92,0.471,-0.294,1.60
203,90,35,20,0.37,2236,891,1345,39.85,42.8500,1.92,0.389,-0.222,1.75
204,90,40,20,0.46,1556,568,988,36.50,29.6000,1.90,0.444,-0.222,2.00
205,85,50,20,0.56,1058,331,727,31.29,20.1000,1.90,0.588,-0.235,2.50
206,90,50,20,0.57,1023,320,703,31.28,19.4000,1.90,0.556,-0.222,2.50
207,80,40,20,0.58,981,358,623,36.49,18.6000,1.90,0.500,-0.250,2.00
208,90,30,20,0.21,4428,1939,2489,43.79,83.9000,1.89,0.333,-0.222,1.50
209,90,40,20,0.41,1913,698,1215,36.49,36.2000,1.89,0.444,-0.222,2.00
210,75,35,20,0.57,1023,407,616,39.78,19.2500,1.88,0.467,-0.267,1.75
211,85,35,20,0.46,1556,619,937,39.78,29.2500,1.88,0.412,-0.235,1.75
212,80,30,20,0.47,1481,648,833,43.75,27.8000,1.88,0.375,-0.250,1.50
213,90,40,25,0.5,1294,535,759,41.34,24.2500,1.87,0.444,-0.278,1.60
214,90,50,25,0.59,949,340,609,35.83,17.7500,1.87,0.556,-0.278,2.00
215,75,30,20,0.5,1294,566,728,43.74,24.2000,1.87,0.400,-0.267,1.50
216,85,30,20,0.38,2147,939,1208,43.74,40.1000,1.87,0.353,-0.235,1.50
217,70,30,20,0.58,981,429,552,43.73,18.3000,1.87,0.429,-0.286,1.50
218,90,55,20,0.54,1132,330,802,29.15,21.1000,1.86,0.611,-0.222,2.75
219,85,35,20,0.41,1913,760,1153,39.73,35.4000,1.85,0.412,-0.235,1.75
220,70,35,20,0.6,904,359,545,39.71,16.6500,1.84,0.500,-0.286,1.75
221,70,40,20,0.6,904,329,575,36.39,16.6000,1.84,0.571,-0.286,2.00
222,90,50,20,0.56,1058,330,728,31.19,19.4000,1.83,0.556,-0.222,2.50
223,75,35,20,0.56,1058,420,638,39.70,19.4000,1.83,0.467,-0.267,1.75
224,90,55,25,0.58,981,329,652,33.54,17.9500,1.83,0.611,-0.278,2.20
225,75,30,20,0.53,1171,511,660,43.64,21.3000,1.82,0.400,-0.267,1.50
226,85,35,20,0.45,1621,643,978,39.67,29.4500,1.82,0.412,-0.235,1.75
227,85,50,20,0.55,1088,339,749,31.16,19.7000,1.81,0.588,-0.235,2.50
228,90,50,20,0.55,1088,339,749,31.16,19.7000,1.81,0.556,-0.222,2.50
229,90,35,20,0.34,2542,1008,1534,39.65,46.0000,1.81,0.389,-0.222,1.75
230,90,40,20,0.45,1621,589,1032,36.34,29.2000,1.80,0.444,-0.222,2.00
231,85,45,20,0.58,981,329,652,33.54,17.6500,1.80,0.529,-0.235,2.25
232,70,30,20,0.57,1023,446,577,43.60,18.4000,1.80,0.429,-0.286,1.50
233,90,35,20,0.23,4104,1626,2478,39.62,73.5000,1.79,0.389,-0.222,1.75
234,75,35,20,0.55,1088,431,657,39.61,19.4500,1.79,0.467,-0.267,1.75
235,80,30,20,0.46,1556,678,878,43.57,27.8000,1.79,0.375,-0.250,1.50
236,85,30,20,0.37,2236,974,1262,43.56,39.8000,1.78,0.353,-0.235,1.50
237,90,35,20,0.36,2336,925,1411,39.60,41.5500,1.78,0.389,-0.222,1.75
238,90,35,20,0.35,2441,966,1475,39.57,43.1000,1.77,0.389,-0.222,1.75
239,80,35,20,0.5,1294,512,782,39.57,22.8000,1.76,0.438,-0.250,1.75
240,90,40,20,0.23,4104,1488,2616,36.26,72.0000,1.75,0.444,-0.222,2.00
241,90,60,20,0.59,949,258,691,27.19,16.6000,1.75,0.667,-0.222,3.00
242,85,35,20,0.43,1750,692,1058,39.54,30.6000,1.75,0.412,-0.235,1.75
243,80,30,20,0.45,1621,705,916,43.49,28.3000,1.75,0.375,-0.250,1.50
244,75,30,20,0.49,1359,591,768,43.49,23.7000,1.74,0.400,-0.267,1.50
245,90,40,25,0.52,1208,497,711,41.14,21.0500,1.74,0.444,-0.278,1.60
246,90,35,20,0.22,4268,1687,2581,39.53,74.2500,1.74,0.389,-0.222,1.75
247,70,30,20,0.56,1058,460,598,43.48,18.4000,1.74,0.429,-0.286,1.50
248,90,40,20,0.43,1750,634,1116,36.23,30.4000,1.74,0.444,-0.222,2.00
249,70,30,20,0.55,1088,473,615,43.47,18.9000,1.74,0.429,-0.286,1.50
250,90,35,20,0.24,3930,1553,2377,39.52,68.1500,1.73,0.389,-0.222,1.75
251,85,55,20,0.59,949,275,674,28.98,16.4500,1.73,0.647,-0.235,2.75
252,85,35,20,0.44,1688,667,1021,39.51,29.2500,1.73,0.412,-0.235,1.75
253,70,30,20,0.54,1132,492,640,43.46,19.6000,1.73,0.429,-0.286,1.50
254,75,30,20,0.52,1208,525,683,43.46,20.9000,1.73,0.400,-0.267,1.50
255,90,40,20,0.42,1831,663,1168,36.21,31.6000,1.73,0.444,-0.222,2.00
256,85,40,20,0.53,1171,424,747,36.21,20.2000,1.73,0.471,-0.235,2.00
257,90,35,20,0.21,4428,1749,2679,39.50,76.3500,1.72,0.389,-0.222,1.75
258,90,40,20,0.44,1688,611,1077,36.20,29.0000,1.72,0.444,-0.222,2.00
259,90,40,20,0.39,2064,747,1317,36.19,35.4000,1.72,0.444,-0.222,2.00
260,90,35,20,0.27,3461,1366,2095,39.47,59.1000,1.71,0.389,-0.222,1.75
261,20,60,40,0.4,1995,832,1163,41.70,34.0000,1.70,3.000,-2.000,1.50
262,90,45,20,0.53,1171,391,780,33.39,19.9500,1.70,0.500,-0.222,2.25
263,90,60,25,0.6,904,284,620,31.42,15.4000,1.70,0.667,-0.278,2.40
264,90,70,20,0.6,904,218,686,24.12,15.4000,1.70,0.778,-0.222,3.50
265,80,40,20,0.57,1023,370,653,36.17,17.4000,1.70,0.500,-0.250,2.00
266,80,30,20,0.41,1913,830,1083,43.39,32.4000,1.69,0.375,-0.250,1.50
267,25,70,45,0.4,1995,810,1185,40.60,33.7500,1.69,2.800,-1.800,1.56
268,90,40,20,0.22,4268,1543,2725,36.15,72.2000,1.69,0.444,-0.222,2.00
269,75,30,20,0.48,1420,616,804,43.38,24.0000,1.69,0.400,-0.267,1.50
270,85,35,20,0.42,1831,722,1109,39.43,30.9000,1.69,0.412,-0.235,1.75
271,90,40,20,0.27,3461,1251,2210,36.15,58.4000,1.69,0.444,-0.222,2.00
272,90,45,25,0.57,1023,390,633,38.12,17.2500,1.69,0.500,-0.278,1.80
273,80,50,20,0.59,949,294,655,30.98,16.0000,1.69,0.625,-0.250,2.50
274,90,40,20,0.24,3930,1420,2510,36.13,66.0000,1.68,0.444,-0.222,2.00
275,85,30,20,0.34,2542,1102,1440,43.35,42.6000,1.68,0.353,-0.235,1.50
276,90,35,20,0.33,2667,1051,1616,39.41,44.6500,1.67,0.389,-0.222,1.75
277,80,35,20,0.52,1208,476,732,39.40,20.2000,1.67,0.438,-0.250,1.75
278,75,35,20,0.54,1132,446,686,39.40,18.9000,1.67,0.467,-0.267,1.75
279,85,45,20,0.57,1023,341,682,33.33,17.0500,1.67,0.529,-0.235,2.25
280,90,55,25,0.57,1023,341,682,33.33,17.0500,1.67,0.611,-0.278,2.20
281,90,45,25,0.56,1058,403,655,38.09,17.6000,1.66,0.500,-0.278,1.80
282,85,30,20,0.23,4104,1778,2326,43.32,68.2000,1.66,0.353,-0.235,1.50
283,90,40,20,0.38,2147,775,1372,36.10,35.6000,1.66,0.444,-0.222,2.00
284,80,30,20,0.43,1750,758,992,43.31,29.0000,1.66,0.375,-0.250,1.50
285,90,40,20,0.21,4428,1598,2830,36.09,73.2000,1.65,0.444,-0.222,2.00
286,90,35,20,0.28,3320,1307,2013,39.37,54.8500,1.65,0.389,-0.222,1.75
287,85,30,20,0.35,2441,1057,1384,43.30,40.3000,1.65,0.353,-0.235,1.50
288,90,45,20,0.5,1294,431,863,33.31,21.3500,1.65,0.500,-0.222,2.25
289,85,35,20,0.23,4104,1615,2489,39.35,67.4500,1.64,0.412,-0.235,1.75
290,85,50,20,0.54,1132,350,782,30.92,18.6000,1.64,0.588,-0.235,2.50
291,90,50,20,0.54,1132,350,782,30.92,18.6000,1.64,0.556,-0.222,2.50
292,90,40,20,0.4,1999,721,1278,36.07,32.8000,1.64,0.444,-0.222,2.00
293,85,30,20,0.36,2336,1011,1325,43.28,38.3000,1.64,0.353,-0.235,1.50
294,90,35,20,0.32,2773,1091,1682,39.34,45.4500,1.64,0.389,-0.222,1.75
295,90,55,20,0.23,4104,1184,2920,28.85,67.2000,1.64,0.611,-0.222,2.75
296,90,45,25,0.55,1088,414,674,38.05,17.8000,1.64,0.500,-0.278,1.80
297,85,30,20,0.33,2667,1154,1513,43.27,43.6000,1.63,0.353,-0.235,1.50
298,90,55,20,0.49,1359,392,967,28.84,22.2000,1.63,0.611,-0.222,2.75
299,65,30,20,0.6,904,391,513,43.25,14.7000,1.63,0.462,-0.308,1.50
300,90,65,20,0.6,904,230,674,25.44,14.7000,1.63,0.722,-0.222,3.25
301,85,30,20,0.32,2773,1199,1574,43.24,44.9000,1.62,0.353,-0.235,1.50
302,80,40,20,0.55,1088,392,696,36.03,17.6000,1.62,0.500,-0.250,2.00
303,70,35,20,0.59,949,373,576,39.30,15.3500,1.62,0.500,-0.286,1.75
304,90,55,25,0.56,1058,352,706,33.27,17.1000,1.62,0.611,-0.278,2.20
305,80,35,20,0.49,1359,534,825,39.29,21.9000,1.61,0.438,-0.250,1.75
306,85,35,20,0.39,2064,811,1253,39.29,33.2500,1.61,0.412,-0.235,1.75
307,85,40,20,0.5,1294,466,828,36.01,20.8000,1.61,0.471,-0.235,2.00
308,80,40,20,0.56,1058,381,677,36.01,17.0000,1.61,0.500,-0.250,2.00
309,90,35,20,0.25,3750,1473,2277,39.28,60.1500,1.60,0.389,-0.222,1.75
310,75,45,20,0.58,981,326,655,33.23,15.7000,1.60,0.600,-0.267,2.25
311,80,45,20,0.58,981,326,655,33.23,15.7000,1.60,0.562,-0.250,2.25
312,85,35,20,0.4,1999,785,1214,39.27,31.9500,1.60,0.412,-0.235,1.75
313,90,40,20,0.28,3320,1195,2125,35.99,53.0000,1.60,0.444,-0.222,2.00
314,80,30,20,0.44,1688,729,959,43.19,26.9000,1.59,0.375,-0.250,1.50
315,90,40,25,0.49,1359,556,803,40.91,21.6500,1.59,0.444,-0.278,1.60
316,90,40,20,0.25,3750,1349,2401,35.97,59.4000,1.58,0.444,-0.222,2.00
317,80,35,20,0.48,1420,557,863,39.23,22.3500,1.57,0.438,-0.250,1.75
318,90,40,20,0.34,2542,914,1628,35.96,40.0000,1.57,0.444,-0.222,2.00
319,80,30,20,0.42,1831,790,1041,43.15,28.8000,1.57,0.375,-0.250,1.50
320,85,35,20,0.22,4268,1674,2594,39.22,67.1000,1.57,0.412,-0.235,1.75
321,80,55,20,0.6,904,260,644,28.76,14.2000,1.57,0.688,-0.250,2.75
322,85,40,25,0.58,981,401,580,40.88,15.4000,1.57,0.471,-0.294,1.60
323,85,30,20,0.27,3461,1493,1968,43.14,54.3000,1.57,0.353,-0.235,1.50
324,85,30,20,0.22,4268,1841,2427,43.13,66.9000,1.57,0.353,-0.235,1.50
325,85,45,20,0.55,1088,361,727,33.18,17.0500,1.57,0.529,-0.235,2.25
326,75,30,20,0.51,1252,540,712,43.13,19.6000,1.57,0.400,-0.267,1.50
327,85,30,20,0.24,3930,1695,2235,43.13,61.5000,1.56,0.353,-0.235,1.50
328,90,40,20,0.26,3617,1300,2317,35.94,56.6000,1.56,0.444,-0.222,2.00
329,85,45,20,0.56,1058,351,707,33.18,16.5500,1.56,0.529,-0.235,2.25
330,90,55,20,0.5,1294,372,922,28.75,20.2000,1.56,0.611,-0.222,2.75
331,85,45,25,0.6,904,343,561,37.94,14.1000,1.56,0.529,-0.294,1.80
332,75,40,20,0.59,949,341,608,35.93,14.8000,1.56,0.533,-0.267,2.00
333,85,50,25,0.59,949,336,613,35.41,14.7500,1.55,0.588,-0.294,2.00
334,20,60,40,0.39,2060,856,1204,41.55,32.0000,1.55,3.000,-2.000,1.50
335,90,55,20,0.48,1420,408,1012,28.73,22.0000,1.55,0.611,-0.222,2.75
336,90,35,20,0.29,3188,1249,1939,39.18,49.3500,1.55,0.389,-0.222,1.75
337,90,35,20,0.26,3617,1417,2200,39.18,55.9500,1.55,0.389,-0.222,1.75
338,85,30,20,0.3,3033,1307,1726,43.09,46.9000,1.55,0.353,-0.235,1.50
339,85,35,20,0.38,2147,841,1306,39.17,33.1500,1.54,0.412,-0.235,1.75
340,90,50,20,0.23,4104,1263,2841,30.77,63.3000,1.54,0.556,-0.222,2.50
341,85,35,20,0.21,4428,1734,2694,39.16,68.1000,1.54,0.412,-0.235,1.75
342,80,30,20,0.39,2064,889,1175,43.07,31.7000,1.54,0.375,-0.250,1.50
343,90,35,20,0.31,2891,1132,1759,39.16,44.4000,1.54,0.389,-0.222,1.75
344,85,65,20,0.6,904,229,675,25.33,13.8500,1.53,0.765,-0.235,3.25
345,90,50,25,0.58,981,347,634,35.37,15.0000,1.53,0.556,-0.278,2.00
346,90,55,20,0.22,4268,1225,3043,28.70,65.1500,1.53,0.611,-0.222,2.75
347,90,35,20,0.3,3033,1187,1846,39.14,46.2500,1.52,0.389,-0.222,1.75
348,90,45,20,0.49,1359,450,909,33.11,20.7000,1.52,0.500,-0.222,2.25
349,85,30,20,0.28,3320,1429,1891,43.04,50.5000,1.52,0.353,-0.235,1.50
350,90,40,20,0.37,2236,802,1434,35.87,34.0000,1.52,0.444,-0.222,2.00
351,90,55,20,0.53,1171,336,835,28.69,17.8000,1.52,0.611,-0.222,2.75
352,85,30,20,0.21,4428,1905,2523,43.02,66.9000,1.51,0.353,-0.235,1.50
353,80,30,20,0.4,1999,860,1139,43.02,30.2000,1.51,0.375,-0.250,1.50
354,90,55,25,0.23,4104,1360,2744,33.14,62.0000,1.51,0.611,-0.278,2.20
355,85,35,20,0.24,3930,1537,2393,39.11,59.3500,1.51,0.412,-0.235,1.75
356,90,55,20,0.24,3930,1127,2803,28.68,59.2500,1.51,0.611,-0.222,2.75
357,90,40,25,0.48,1420,579,841,40.77,21.3500,1.50,0.444,-0.278,1.60
358,85,30,20,0.31,2891,1243,1648,43.00,43.3000,1.50,0.353,-0.235,1.50
359,90,55,20,0.27,3461,992,2469,28.66,51.8000,1.50,0.611,-0.222,2.75
360,85,60,20,0.59,949,255,694,26.87,14.2000,1.50,0.706,-0.235,3.00
361,90,40,20,0.32,2773,993,1780,35.81,41.2000,1.49,0.444,-0.222,2.00
362,90,40,20,0.33,2667,955,1712,35.81,39.6000,1.48,0.444,-0.222,2.00
363,70,30,20,0.53,1171,503,668,42.95,17.3000,1.48,0.429,-0.286,1.50
364,90,55,20,0.21,4428,1268,3160,28.64,65.4000,1.48,0.611,-0.222,2.75
365,20,60,35,0.4,1995,766,1229,38.40,29.4500,1.48,3.000,-1.750,1.71
366,75,45,20,0.57,1023,338,685,33.04,15.1000,1.48,0.600,-0.267,2.25
367,80,45,20,0.57,1023,338,685,33.04,15.1000,1.48,0.562,-0.250,2.25
368,85,30,20,0.29,3188,1369,1819,42.94,46.9000,1.47,0.353,-0.235,1.50
369,90,55,25,0.55,1088,360,728,33.09,16.0000,1.47,0.611,-0.278,2.20
370,90,45,20,0.52,1208,399,809,33.03,17.7500,1.47,0.500,-0.222,2.25
371,85,35,20,0.27,3461,1351,2110,39.03,50.8500,1.47,0.412,-0.235,1.75
372,90,45,20,0.48,1420,469,951,33.03,20.8500,1.47,0.500,-0.222,2.25
373,85,30,20,0.25,3750,1610,2140,42.93,55.0000,1.47,0.353,-0.235,1.50
374,90,45,25,0.54,1132,428,704,37.81,16.6000,1.47,0.500,-0.278,1.80
375,85,40,20,0.48,1420,508,912,35.77,20.8000,1.46,0.471,-0.235,2.00
376,75,35,20,0.53,1171,457,714,39.03,17.1500,1.46,0.467,-0.267,1.75
377,80,40,25,0.6,904,368,536,40.71,13.2000,1.46,0.500,-0.312,1.60
378,90,55,20,0.25,3750,1073,2677,28.61,54.7500,1.46,0.611,-0.222,2.75
379,85,40,20,0.49,1359,486,873,35.76,19.8000,1.46,0.471,-0.235,2.00
380,85,40,20,0.52,1208,432,776,35.76,17.6000,1.46,0.471,-0.235,2.00
381,90,40,20,0.29,3188,1140,2048,35.76,46.4000,1.46,0.444,-0.222,2.00
382,80,30,20,0.23,4104,1761,2343,42.91,59.7000,1.45,0.375,-0.250,1.50
383,75,50,20,0.6,904,277,627,30.64,13.1000,1.45,0.667,-0.267,2.50
384,80,30,20,0.38,2147,921,1226,42.90,31.1000,1.45,0.375,-0.250,1.50
385,25,70,45,0.39,2060,832,1228,40.39,29.8000,1.45,2.800,-1.800,1.56
386,90,50,20,0.24,3930,1204,2726,30.64,56.8000,1.45,0.556,-0.222,2.50
387,65,30,20,0.59,949,407,542,42.89,13.7000,1.44,0.462,-0.308,1.50
388,75,45,20,0.56,1058,349,709,32.99,15.2500,1.44,0.600,-0.267,2.25
389,80,35,20,0.51,1252,488,764,38.98,18.0000,1.44,0.438,-0.250,1.75
390,90,50,20,0.22,4268,1307,2961,30.62,61.3000,1.44,0.556,-0.222,2.50
391,90,40,20,0.35,2441,872,1569,35.72,35.0000,1.43,0.444,-0.222,2.00
392,70,40,20,0.59,949,339,610,35.72,13.6000,1.43,0.571,-0.286,2.00
393,85,40,25,0.57,1023,416,607,40.66,14.6500,1.43,0.471,-0.294,1.60
394,90,50,20,0.49,1359,416,943,30.61,19.4000,1.43,0.556,-0.222,2.50
395,90,60,20,0.57,1023,274,749,26.78,14.6000,1.43,0.667,-0.222,3.00
396,85,30,20,0.26,3617,1550,2067,42.85,51.6000,1.43,0.353,-0.235,1.50
397,90,40,25,0.51,1252,509,743,40.65,17.8500,1.43,0.444,-0.278,1.60
398,85,35,20,0.37,2236,871,1365,38.95,31.8500,1.42,0.412,-0.235,1.75
399,80,30,20,0.37,2236,958,1278,42.84,31.8000,1.42,0.375,-0.250,1.50
400,75,35,20,0.5,1294,504,790,38.95,18.4000,1.42,0.467,-0.267,1.75
401,90,50,20,0.5,1294,396,898,30.60,18.4000,1.42,0.556,-0.222,2.50
402,90,40,20,0.36,2336,834,1502,35.70,33.2000,1.42,0.444,-0.222,2.00
403,90,40,20,0.31,2891,1032,1859,35.70,41.0000,1.42,0.444,-0.222,2.00
404,85,50,30,0.6,904,355,549,39.27,12.8000,1.42,0.588,-0.353,1.67
405,85,35,20,0.25,3750,1460,2290,38.93,53.0000,1.41,0.412,-0.235,1.75
406,85,55,20,0.57,1023,292,731,28.54,14.4000,1.41,0.647,-0.235,2.75
407,85,55,20,0.58,981,280,701,28.54,13.8000,1.41,0.647,-0.235,2.75
408,80,50,20,0.58,981,300,681,30.58,13.8000,1.41,0.625,-0.250,2.50
409,90,55,30,0.6,904,334,570,36.95,12.7000,1.40,0.611,-0.333,1.83
410,80,70,20,0.6,904,215,689,23.78,12.7000,1.40,0.875,-0.250,3.50
411,85,70,20,0.6,904,215,689,23.78,12.7000,1.40,0.824,-0.235,3.50
412,90,50,20,0.21,4428,1354,3074,30.58,62.2000,1.40,0.556,-0.222,2.50
413,90,40,20,0.3,3033,1082,1951,35.67,42.6000,1.40,0.444,-0.222,2.00
414,75,30,20,0.47,1481,634,847,42.81,20.8000,1.40,0.400,-0.267,1.50
415,90,50,20,0.53,1171,358,813,30.57,16.4000,1.40,0.556,-0.222,2.50
416,85,35,20,0.34,2542,989,1553,38.91,35.5500,1.40,0.412,-0.235,1.75
417,90,50,20,0.27,3461,1058,2403,30.57,48.4000,1.40,0.556,-0.222,2.50
418,90,45,20,0.23,4104,1351,2753,32.92,57.3500,1.40,0.500,-0.222,2.25
419,90,50,20,0.48,1420,434,986,30.56,19.8000,1.39,0.556,-0.222,2.50
420,85,50,20,0.23,4104,1254,2850,30.56,57.0000,1.39,0.588,-0.235,2.50
421,85,35,20,0.28,3320,1291,2029,38.89,46.0500,1.39,0.412,-0.235,1.75
422,20,60,40,0.41,1909,790,1119,41.38,26.4000,1.38,3.000,-2.000,1.50
423,80,30,20,0.22,4268,1825,2443,42.76,58.9000,1.38,0.375,-0.250,1.50
424,80,45,20,0.56,1058,348,710,32.89,14.6000,1.38,0.562,-0.250,2.25
425,90,55,20,0.38,2147,612,1535,28.50,29.6000,1.38,0.611,-0.222,2.75
426,90,55,20,0.26,3617,1031,2586,28.50,49.8500,1.38,0.611,-0.222,2.75
427,90,55,25,0.22,4268,1407,2861,32.97,58.6000,1.37,0.611,-0.278,2.20
428,90,55,20,0.47,1481,422,1059,28.49,20.3000,1.37,0.611,-0.222,2.75
429,70,30,20,0.5,1294,553,741,42.74,17.7000,1.37,0.429,-0.286,1.50
430,90,60,20,0.58,981,262,719,26.71,13.4000,1.37,0.667,-0.222,3.00
431,85,35,20,0.26,3617,1405,2212,38.84,49.3500,1.36,0.412,-0.235,1.75
432,80,40,20,0.54,1132,403,729,35.60,15.4000,1.36,0.500,-0.250,2.00
433,90,55,25,0.54,1132,373,759,32.95,15.4000,1.36,0.611,-0.278,2.20
434,85,45,20,0.54,1132,372,760,32.86,15.4000,1.36,0.529,-0.235,2.25
435,90,55,20,0.52,1208,344,864,28.48,16.4000,1.36,0.611,-0.222,2.75
436,85,40,25,0.56,1058,429,629,40.55,14.3500,1.36,0.471,-0.294,1.60
437,85,40,25,0.54,1132,459,673,40.55,15.3500,1.36,0.471,-0.294,1.60
438,20,60,40,0.6,902,373,529,41.35,12.2000,1.35,3.000,-2.000,1.50
439,80,50,20,0.57,1023,312,711,30.50,13.8000,1.35,0.625,-0.250,2.50
440,85,40,25,0.55,1088,441,647,40.53,14.6500,1.35,0.471,-0.294,1.60
441,90,55,25,0.21,4428,1458,2970,32.93,59.4000,1.34,0.611,-0.278,2.20
442,80,30,20,0.21,4428,1890,2538,42.68,59.4000,1.34,0.375,-0.250,1.50
443,80,30,20,0.34,2542,1085,1457,42.68,34.1000,1.34,0.375,-0.250,1.50
444,85,50,20,0.53,1171,357,814,30.49,15.7000,1.34,0.588,-0.235,2.50
445,90,60,25,0.59,949,294,655,30.98,12.6500,1.33,0.667,-0.278,2.40
446,20,60,40,0.57,1021,422,599,41.33,13.6000,1.33,3.000,-2.000,1.50
447,80,30,20,0.32,2773,1183,1590,42.66,36.9000,1.33,0.375,-0.250,1.50
448,90,45,20,0.21,4428,1453,2975,32.81,58.8500,1.33,0.500,-0.222,2.25
449,75,45,20,0.55,1088,357,731,32.81,14.4500,1.33,0.600,-0.267,2.25
450,80,45,20,0.55,1088,357,731,32.81,14.4500,1.33,0.562,-0.250,2.25
451,80,60,20,0.6,904,241,663,26.66,12.0000,1.33,0.750,-0.250,3.00
452,90,55,20,0.28,3320,944,2376,28.43,44.0000,1.33,0.611,-0.222,2.75
453,85,50,20,0.49,1359,414,945,30.46,18.0000,1.32,0.588,-0.235,2.50
454,90,45,20,0.22,4268,1400,2868,32.80,56.4000,1.32,0.500,-0.222,2.25
455,90,50,25,0.57,1023,359,664,35.09,13.5000,1.32,0.556,-0.278,2.00
456,90,45,20,0.24,3930,1289,2641,32.80,51.8500,1.32,0.500,-0.222,2.25
457,80,30,20,0.36,2336,996,1340,42.64,30.8000,1.32,0.375,-0.250,1.50
458,90,50,20,0.25,3750,1142,2608,30.45,49.4000,1.32,0.556,-0.222,2.50
459,80,30,20,0.33,2667,1137,1530,42.63,35.1000,1.32,0.375,-0.250,1.50
460,85,50,20,0.5,1294,394,900,30.45,17.0000,1.31,0.588,-0.235,2.50
461,80,30,20,0.24,3930,1675,2255,42.62,51.5000,1.31,0.375,-0.250,1.50
462,75,35,20,0.52,1208,468,740,38.74,15.8000,1.31,0.467,-0.267,1.75
463,85,35,20,0.36,2336,905,1431,38.74,30.5500,1.31,0.412,-0.235,1.75
464,75,70,20,0.6,904,214,690,23.67,11.8000,1.31,0.933,-0.267,3.50
465,70,35,20,0.58,981,380,601,38.74,12.8000,1.30,0.500,-0.286,1.75
466,20,60,35,0.55,1086,415,671,38.21,14.1500,1.30,3.000,-1.750,1.71
467,90,50,25,0.56,1058,371,687,35.07,13.7500,1.30,0.556,-0.278,2.00
468,90,50,25,0.23,4104,1439,2665,35.06,53.2500,1.30,0.556,-0.278,2.00
469,85,50,20,0.48,1420,432,988,30.42,18.4000,1.30,0.588,-0.235,2.50
470,20,60,35,0.39,2060,787,1273,38.20,26.6500,1.29,3.000,-1.750,1.71
471,90,55,20,0.39,2064,586,1478,28.39,26.7000,1.29,0.611,-0.222,2.75
472,25,70,45,0.57,1021,411,610,40.25,13.2000,1.29,2.800,-1.800,1.56
473,85,35,20,0.35,2441,945,1496,38.71,31.5500,1.29,0.412,-0.235,1.75
474,90,55,20,0.41,1913,543,1370,28.38,24.6500,1.29,0.611,-0.222,2.75
475,20,60,40,0.59,947,391,556,41.29,12.2000,1.29,3.000,-2.000,1.50
476,20,60,35,0.57,1021,390,631,38.20,13.1500,1.29,3.000,-1.750,1.71
477,90,45,20,0.51,1252,410,842,32.75,16.1000,1.29,0.500,-0.222,2.25
478,70,45,20,0.6,904,296,608,32.74,11.6000,1.28,0.643,-0.286,2.25
479,85,35,20,0.33,2667,1032,1635,38.70,34.2000,1.28,0.412,-0.235,1.75
480,80,30,20,0.35,2441,1039,1402,42.56,31.3000,1.28,0.375,-0.250,1.50
481,85,35,20,0.32,2773,1073,1700,38.69,35.5500,1.28,0.412,-0.235,1.75
482,80,35,20,0.47,1481,573,908,38.69,18.9500,1.28,0.438,-0.250,1.75
483,90,45,30,0.6,904,377,527,41.70,11.5500,1.28,0.500,-0.333,1.50
484,25,70,45,0.55,1086,437,649,40.24,13.8500,1.28,2.800,-1.800,1.56
485,70,30,20,0.52,1208,514,694,42.55,15.4000,1.27,0.429,-0.286,1.50
486,75,30,20,0.46,1556,662,894,42.54,19.8000,1.27,0.400,-0.267,1.50
487,85,50,20,0.22,4268,1297,2971,30.39,54.3000,1.27,0.588,-0.235,2.50
488,85,40,20,0.23,4104,1455,2649,35.45,52.2000,1.27,0.471,-0.235,2.00
489,85,60,20,0.57,1023,272,751,26.59,13.0000,1.27,0.706,-0.235,3.00
490,90,50,20,0.26,3617,1099,2518,30.38,45.9000,1.27,0.556,-0.222,2.50
491,20,60,40,0.58,979,404,575,41.27,12.4000,1.27,3.000,-2.000,1.50
492,85,55,20,0.56,1058,300,758,28.36,13.4000,1.27,0.647,-0.235,2.75
493,80,30,20,0.27,3461,1472,1989,42.53,43.8000,1.27,0.375,-0.250,1.50
494,90,50,25,0.55,1088,381,707,35.02,13.7500,1.26,0.556,-0.278,2.00
495,20,65,40,0.4,1995,784,1211,39.30,25.2000,1.26,3.250,-2.000,1.62
496,90,45,20,0.27,3461,1132,2329,32.71,43.6000,1.26,0.500,-0.222,2.25
497,90,40,25,0.23,4104,1658,2446,40.40,51.7000,1.26,0.444,-0.278,1.60
498,90,55,25,0.24,3930,1290,2640,32.82,49.5000,1.26,0.611,-0.278,2.20
499,80,55,20,0.59,949,269,680,28.35,11.9500,1.26,0.688,-0.250,2.75
500,80,35,20,0.23,4104,1586,2518,38.65,51.5000,1.25,0.438,-0.250,1.75
501,85,45,20,0.23,4104,1342,2762,32.70,51.5000,1.25,0.529,-0.235,2.25
502,20,60,35,0.56,1056,403,653,38.16,13.2500,1.25,3.000,-1.750,1.71
