杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,330,500,0.21,45,0.5,0.7,1535,972,563,63.32,2.16,-3.83,75.9,0.97,-62.5000,1472.5000,-4.07
100,330,500,0.21,40,0.3,0.5,1536,983,553,64.00,1.63,-3.02,51.9,0.96,-63.7000,1472.3000,-4.15
100,330,500,0.21,30,0.5,0.7,1536,992,544,64.58,1.98,-3.74,69.3,0.97,-67.5500,1468.4500,-4.40
100,330,500,0.21,35,0.5,0.8,1536,1025,511,66.73,2.03,-4.20,78.9,0.97,-70.3000,1465.7000,-4.58
100,330,500,0.21,45,0.3,0.5,1535,971,564,63.26,1.70,-3.05,55.3,0.96,-72.8300,1462.1700,-4.74
100,330,500,0.21,5,0.3,0.9,1539,1243,296,80.77,1.01,-4.51,47.1,0.94,-73.4000,1465.6000,-4.77
100,330,500,0.21,40,0.4,0.9,1535,1091,444,71.07,1.82,-4.63,79.0,0.96,-74.3400,1460.6600,-4.84
100,330,500,0.21,35,0.5,0.7,1536,984,552,64.06,2.04,-3.78,71.4,0.96,-76.9500,1459.0500,-5.01
100,330,500,0.21,15,0.3,0.5,1538,1041,497,67.69,1.19,-2.66,35.7,0.94,-79.3900,1458.6100,-5.16
100,330,500,0.21,50,0.4,0.8,1535,1041,494,67.82,1.95,-4.27,78.3,0.96,-80.5000,1454.5000,-5.24
100,330,500,0.21,10,0.3,0.6,1539,1112,427,72.25,1.11,-3.07,36.3,0.94,-80.7600,1458.2400,-5.25
100,330,500,0.21,50,0.4,0.9,1534,1071,463,69.82,1.93,-4.64,84.0,0.96,-81.4000,1452.6000,-5.31
100,330,500,0.21,50,0.4,0.7,1535,1003,532,65.34,1.97,-3.88,72.3,0.96,-83.6600,1451.3400,-5.45
100,330,500,0.21,40,0.4,0.8,1536,1058,478,68.88,1.83,-4.24,73.1,0.96,-88.9000,1447.1000,-5.79
100,330,500,0.21,35,0.4,0.9,1535,1101,434,71.73,1.74,-4.62,76.5,0.96,-89.3400,1445.6600,-5.82
100,330,500,0.21,20,0.4,0.9,1537,1131,406,73.58,1.56,-4.56,69.8,0.95,-89.8000,1447.2000,-5.84
100,330,500,0.21,5,0.3,1.0,1539,1264,275,82.13,1.01,-5.00,50.9,0.93,-93.6100,1445.3900,-6.08
100,330,500,0.21,50,0.3,0.6,1535,1006,529,65.54,1.75,-3.51,61.5,0.95,-94.4500,1440.5500,-6.15
100,330,500,0.21,40,0.4,0.7,1536,1019,517,66.34,1.85,-3.83,66.8,0.95,-94.8800,1441.1200,-6.18
