第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),第一笔合约收益%,第二笔合约收益%,综合收益%
53,做多,2025-01-20 18:30:00,2025-01-20 20:30:00,-1.667,止损,54,做多,2025-01-20 19:00:00,2025-01-20 19:15:00,0.667,止盈,双倍做多,2025-01-20 19:00:00,2025-01-20 19:15:00,15.0,-100.0,40.0,-1.0
63,做空,2025-01-22 00:15:00,2025-01-22 15:15:00,0.667,止盈,64,做多,2025-01-22 03:15:00,2025-01-22 08:45:00,0.667,止盈,方向冲突,2025-01-22 03:15:00,2025-01-22 08:45:00,330.0,40.0,40.0,1.334
65,做多,2025-01-22 22:30:00,2025-01-23 09:45:00,-1.667,止损,66,做多,2025-01-22 23:30:00,2025-01-23 09:45:00,-1.667,止损,双倍做多,2025-01-22 23:30:00,2025-01-23 09:45:00,615.0,-100.0,-100.0,-3.334
65,做多,2025-01-22 22:30:00,2025-01-23 09:45:00,-1.667,止损,67,做空,2025-01-23 00:30:00,2025-01-23 02:45:00,0.667,止盈,方向冲突,2025-01-23 00:30:00,2025-01-23 02:45:00,135.0,-100.0,40.0,-1.0
66,做多,2025-01-22 23:30:00,2025-01-23 09:45:00,-1.667,止损,67,做空,2025-01-23 00:30:00,2025-01-23 02:45:00,0.667,止盈,方向冲突,2025-01-23 00:30:00,2025-01-23 02:45:00,135.0,-100.0,40.0,-1.0
72,做空,2025-01-24 13:15:00,2025-01-25 04:15:00,0.667,止盈,73,做空,2025-01-24 14:00:00,2025-01-24 15:30:00,0.667,止盈,双倍做空,2025-01-24 14:00:00,2025-01-24 15:30:00,90.0,40.0,40.0,1.334
77,做多,2025-01-27 21:30:00,2025-01-27 22:45:00,0.667,止盈,78,做空,2025-01-27 22:15:00,2025-01-28 00:30:00,0.667,止盈,方向冲突,2025-01-27 22:15:00,2025-01-27 22:45:00,30.0,40.0,40.0,1.334
84,做空,2025-01-30 21:30:00,2025-01-31 04:30:00,0.667,止盈,85,做空,2025-01-30 23:30:00,2025-01-31 04:30:00,0.667,止盈,双倍做空,2025-01-30 23:30:00,2025-01-31 04:30:00,300.0,40.0,40.0,1.334
101,做多,2025-02-03 19:15:00,2025-02-03 20:15:00,0.667,止盈,102,做多,2025-02-03 19:45:00,2025-02-03 20:00:00,0.667,止盈,双倍做多,2025-02-03 19:45:00,2025-02-03 20:00:00,15.0,40.0,40.0,1.334
103,做多,2025-02-03 21:30:00,2025-02-03 22:30:00,0.667,止盈,104,做多,2025-02-03 22:15:00,2025-02-03 22:30:00,0.667,止盈,双倍做多,2025-02-03 22:15:00,2025-02-03 22:30:00,15.0,40.0,40.0,1.334
107,做空,2025-02-04 02:30:00,2025-02-04 04:45:00,0.667,止盈,108,做空,2025-02-04 03:15:00,2025-02-04 04:00:00,0.667,止盈,双倍做空,2025-02-04 03:15:00,2025-02-04 04:00:00,45.0,40.0,40.0,1.334
129,做空,2025-02-10 06:45:00,2025-02-10 09:30:00,0.667,止盈,130,做空,2025-02-10 08:15:00,2025-02-10 09:15:00,0.667,止盈,双倍做空,2025-02-10 08:15:00,2025-02-10 09:15:00,60.0,40.0,40.0,1.334
