第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),第一笔合约收益%,第二笔合约收益%,综合收益%
604,做多,2025-08-01 08:15:00,2025-08-01 10:15:00,0.667,止盈,605,做多,2025-08-01 08:45:00,2025-08-01 10:00:00,0.667,止盈,双倍做多,2025-08-01 08:45:00,2025-08-01 10:00:00,75.0,40.0,40.0,1.334
610,做多,2025-08-02 23:45:00,2025-08-03 02:30:00,-1.667,止损,611,做空,2025-08-03 00:45:00,2025-08-03 01:45:00,0.667,止盈,方向冲突,2025-08-03 00:45:00,2025-08-03 01:45:00,60.0,-100.0,40.0,-1.0
620,做空,2025-08-06 23:00:00,2025-08-07 02:15:00,-1.667,止损,621,做空,2025-08-07 00:00:00,2025-08-07 09:30:00,-1.667,止损,双倍做空,2025-08-07 00:00:00,2025-08-07 02:15:00,135.0,-100.0,-100.0,-3.334
627,做空,2025-08-11 06:00:00,2025-08-11 09:30:00,-1.667,止损,628,做空,2025-08-11 08:30:00,2025-08-11 12:00:00,-1.667,止损,双倍做空,2025-08-11 08:30:00,2025-08-11 09:30:00,60.0,-100.0,-100.0,-3.334
630,做空,2025-08-12 14:30:00,2025-08-12 19:00:00,0.667,止盈,631,做空,2025-08-12 16:45:00,2025-08-12 18:00:00,0.667,止盈,双倍做空,2025-08-12 16:45:00,2025-08-12 18:00:00,75.0,40.0,40.0,1.334
634,做空,2025-08-13 18:00:00,2025-08-13 21:30:00,0.667,止盈,635,做多,2025-08-13 21:00:00,2025-08-13 23:15:00,-1.667,止损,方向冲突,2025-08-13 21:00:00,2025-08-13 21:30:00,30.0,40.0,-100.0,-1.0
635,做多,2025-08-13 21:00:00,2025-08-13 23:15:00,-1.667,止损,636,做多,2025-08-13 21:45:00,2025-08-13 22:30:00,0.667,止盈,双倍做多,2025-08-13 21:45:00,2025-08-13 22:30:00,45.0,-100.0,40.0,-1.0
639,做多,2025-08-15 01:45:00,2025-08-15 05:45:00,-1.667,止损,640,做多,2025-08-15 02:15:00,2025-08-15 03:15:00,0.667,止盈,双倍做多,2025-08-15 02:15:00,2025-08-15 03:15:00,60.0,-100.0,40.0,-1.0
639,做多,2025-08-15 01:45:00,2025-08-15 05:45:00,-1.667,止损,641,做空,2025-08-15 02:45:00,2025-08-15 04:00:00,0.667,止盈,方向冲突,2025-08-15 02:45:00,2025-08-15 04:00:00,75.0,-100.0,40.0,-1.0
640,做多,2025-08-15 02:15:00,2025-08-15 03:15:00,0.667,止盈,641,做空,2025-08-15 02:45:00,2025-08-15 04:00:00,0.667,止盈,方向冲突,2025-08-15 02:45:00,2025-08-15 03:15:00,30.0,40.0,40.0,1.334
645,做多,2025-08-15 23:45:00,2025-08-16 01:45:00,0.667,止盈,646,做多,2025-08-16 00:15:00,2025-08-16 00:45:00,0.667,止盈,双倍做多,2025-08-16 00:15:00,2025-08-16 00:45:00,30.0,40.0,40.0,1.334
650,做多,2025-08-18 22:00:00,2025-08-18 23:45:00,0.667,止盈,651,做空,2025-08-18 23:00:00,2025-08-19 08:30:00,0.667,止盈,方向冲突,2025-08-18 23:00:00,2025-08-18 23:45:00,45.0,40.0,40.0,1.334
651,做空,2025-08-18 23:00:00,2025-08-19 08:30:00,0.667,止盈,652,做空,2025-08-19 00:00:00,2025-08-19 00:30:00,0.667,止盈,双倍做空,2025-08-19 00:00:00,2025-08-19 00:30:00,30.0,40.0,40.0,1.334
653,做空,2025-08-19 17:00:00,2025-08-19 22:15:00,0.667,止盈,654,做多,2025-08-19 21:45:00,2025-08-19 22:30:00,-1.667,止损,方向冲突,2025-08-19 21:45:00,2025-08-19 22:15:00,30.0,40.0,-100.0,-1.0
673,做空,2025-08-27 22:30:00,2025-08-28 02:45:00,0.667,止盈,674,做空,2025-08-27 23:15:00,2025-08-28 00:30:00,0.667,止盈,双倍做空,2025-08-27 23:15:00,2025-08-28 00:30:00,75.0,40.0,40.0,1.334
675,做多,2025-08-28 07:45:00,2025-08-28 11:00:00,0.667,止盈,676,做多,2025-08-28 08:30:00,2025-08-28 10:00:00,0.667,止盈,双倍做多,2025-08-28 08:30:00,2025-08-28 10:00:00,90.0,40.0,40.0,1.334
677,做空,2025-08-29 23:15:00,2025-08-30 09:45:00,0.667,止盈,678,做多,2025-08-30 00:00:00,2025-08-30 05:30:00,0.667,止盈,方向冲突,2025-08-30 00:00:00,2025-08-30 05:30:00,330.0,40.0,40.0,1.334
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,0.667,止盈,688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,0.667,止盈,双倍做多,2025-09-05 00:30:00,2025-09-05 06:45:00,375.0,40.0,40.0,1.334
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,0.667,止盈,689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,0.667,止盈,双倍做多,2025-09-05 02:30:00,2025-09-05 06:15:00,225.0,40.0,40.0,1.334
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,40.0,40.0,1.334
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,0.667,止盈,689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,0.667,止盈,双倍做多,2025-09-05 02:30:00,2025-09-05 06:15:00,225.0,40.0,40.0,1.334
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,40.0,40.0,1.334
689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,40.0,40.0,1.334
701,做多,2025-09-15 17:00:00,2025-09-16 22:00:00,-1.667,止损,702,做多,2025-09-16 21:45:00,2025-09-17 01:15:00,0.667,止盈,双倍做多,2025-09-16 21:45:00,2025-09-16 22:00:00,15.0,-100.0,40.0,-1.0
705,做空,2025-09-18 09:45:00,2025-09-18 13:30:00,0.667,止盈,706,做空,2025-09-18 11:15:00,2025-09-18 12:30:00,0.667,止盈,双倍做空,2025-09-18 11:15:00,2025-09-18 12:30:00,75.0,40.0,40.0,1.334
736,做空,2025-10-11 03:45:00,2025-10-11 04:45:00,0.667,止盈,737,做空,2025-10-11 04:30:00,2025-10-11 04:45:00,0.667,止盈,双倍做空,2025-10-11 04:30:00,2025-10-11 04:45:00,15.0,40.0,40.0,1.334
744,做多,2025-10-11 23:45:00,2025-10-12 03:30:00,-1.667,止损,745,做多,2025-10-12 00:45:00,2025-10-12 03:30:00,-1.667,止损,双倍做多,2025-10-12 00:45:00,2025-10-12 03:30:00,165.0,-100.0,-100.0,-3.334
747,做空,2025-10-13 00:45:00,2025-10-13 08:15:00,-1.667,止损,748,做空,2025-10-13 01:15:00,2025-10-13 01:45:00,0.667,止盈,双倍做空,2025-10-13 01:15:00,2025-10-13 01:45:00,30.0,-100.0,40.0,-1.0
751,做空,2025-10-14 03:15:00,2025-10-14 09:00:00,0.667,止盈,752,做空,2025-10-14 05:00:00,2025-10-14 07:30:00,0.667,止盈,双倍做空,2025-10-14 05:00:00,2025-10-14 07:30:00,150.0,40.0,40.0,1.334
753,做多,2025-10-14 11:15:00,2025-10-14 13:45:00,-1.667,止损,754,做空,2025-10-14 13:00:00,2025-10-14 13:30:00,0.667,止盈,方向冲突,2025-10-14 13:00:00,2025-10-14 13:30:00,30.0,-100.0,40.0,-1.0
756,做多,2025-10-15 17:30:00,2025-10-15 20:00:00,-1.667,止损,757,做多,2025-10-15 18:30:00,2025-10-15 22:00:00,-1.667,止损,双倍做多,2025-10-15 18:30:00,2025-10-15 20:00:00,90.0,-100.0,-100.0,-3.334
763,做多,2025-10-17 00:00:00,2025-10-17 00:45:00,0.667,止盈,764,做多,2025-10-17 00:30:00,2025-10-17 00:45:00,0.667,止盈,双倍做多,2025-10-17 00:30:00,2025-10-17 00:45:00,15.0,40.0,40.0,1.334
769,做空,2025-10-18 02:30:00,2025-10-18 15:15:00,-1.667,止损,770,做空,2025-10-18 08:30:00,2025-10-18 15:15:00,-1.667,止损,双倍做空,2025-10-18 08:30:00,2025-10-18 15:15:00,405.0,-100.0,-100.0,-3.334
769,做空,2025-10-18 02:30:00,2025-10-18 15:15:00,-1.667,止损,771,做空,2025-10-18 09:30:00,2025-10-19 16:15:00,0.667,止盈,双倍做空,2025-10-18 09:30:00,2025-10-18 15:15:00,345.0,-100.0,40.0,-1.0
770,做空,2025-10-18 08:30:00,2025-10-18 15:15:00,-1.667,止损,771,做空,2025-10-18 09:30:00,2025-10-19 16:15:00,0.667,止盈,双倍做空,2025-10-18 09:30:00,2025-10-18 15:15:00,345.0,-100.0,40.0,-1.0
780,做多,2025-10-27 16:45:00,2025-10-28 00:00:00,0.667,止盈,781,做空,2025-10-27 23:15:00,2025-10-28 04:45:00,0.667,止盈,方向冲突,2025-10-27 23:15:00,2025-10-28 00:00:00,45.0,40.0,40.0,1.334
782,做多,2025-10-29 02:45:00,2025-10-29 04:00:00,-1.667,止损,783,做多,2025-10-29 03:30:00,2025-10-29 04:30:00,-1.667,止损,双倍做多,2025-10-29 03:30:00,2025-10-29 04:00:00,30.0,-100.0,-100.0,-3.334
796,做多,2025-11-04 16:15:00,2025-11-04 19:00:00,0.667,止盈,797,做多,2025-11-04 16:45:00,2025-11-04 19:15:00,0.667,止盈,双倍做多,2025-11-04 16:45:00,2025-11-04 19:00:00,135.0,40.0,40.0,1.334
801,做空,2025-11-05 11:45:00,2025-11-05 14:00:00,0.667,止盈,802,做空,2025-11-05 12:45:00,2025-11-05 15:15:00,0.667,止盈,双倍做空,2025-11-05 12:45:00,2025-11-05 14:00:00,75.0,40.0,40.0,1.334
803,做空,2025-11-05 19:15:00,2025-11-05 21:30:00,-1.667,止损,804,做空,2025-11-05 20:00:00,2025-11-05 23:30:00,-1.667,止损,双倍做空,2025-11-05 20:00:00,2025-11-05 21:30:00,90.0,-100.0,-100.0,-3.334
