杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,首次调整止盈比例,首次调整止损比例,止盈递减步长,止损递减步长,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,200,500,0.21,50,0.80,0.80,0.020,0.020,1536,1031,505,67.12,1.73,-3.54,58.9,1.00,-4.0600,1531.9400,-0.26
100,200,500,0.21,50,0.90,1.00,0.020,0.020,1533,1064,469,69.41,1.76,-3.99,67.2,1.00,-5.3200,1527.6800,-0.35
100,200,500,0.21,50,1.00,0.80,0.050,0.000,1535,1117,418,72.77,1.60,-4.29,65.6,1.00,-5.4000,1529.6000,-0.35
100,200,500,0.21,50,1.00,0.80,0.020,0.020,1535,992,543,64.63,1.87,-3.43,62.3,1.00,-5.7200,1529.2800,-0.37
100,200,500,0.21,50,0.80,0.80,0.080,0.000,1536,1147,389,74.67,1.46,-4.31,58.0,1.00,-5.7600,1530.2400,-0.38
100,200,500,0.21,50,0.90,0.90,0.080,0.000,1534,1166,368,76.01,1.47,-4.67,63.1,1.00,-6.8000,1527.2000,-0.44
100,200,500,0.21,50,0.90,0.70,0.100,0.000,1535,1109,426,72.25,1.50,-3.93,54.2,1.00,-7.0000,1528.0000,-0.46
100,200,500,0.21,50,0.90,0.70,0.050,0.000,1535,1086,449,70.75,1.61,-3.91,58.6,1.00,-7.6000,1527.4000,-0.50
100,200,500,0.21,50,1.00,0.90,0.020,0.020,1535,1020,515,66.45,1.85,-3.68,65.9,1.00,-7.7000,1527.3000,-0.50
100,200,500,0.21,50,0.80,0.70,0.020,0.020,1536,997,539,64.91,1.76,-3.27,55.4,1.00,-7.8400,1528.1600,-0.51
100,200,500,0.21,50,0.80,1.00,0.020,0.020,1534,1083,451,70.60,1.68,-4.06,65.2,1.00,-8.6800,1525.3200,-0.57
100,200,500,0.21,50,0.70,0.90,0.080,0.000,1535,1179,356,76.81,1.40,-4.67,59.7,0.99,-8.8400,1526.1600,-0.58
100,200,500,0.21,50,1.00,1.00,0.050,0.020,1533,1100,433,71.75,1.63,-4.16,64.1,0.99,-9.1000,1523.9000,-0.59
100,200,500,0.21,50,0.80,0.70,0.080,0.000,1536,1110,426,72.27,1.50,-3.93,54.1,0.99,-10.6000,1525.4000,-0.69
100,200,500,0.21,50,0.90,0.90,0.050,0.000,1534,1152,382,75.10,1.54,-4.66,66.6,0.99,-11.1000,1522.9000,-0.72
100,200,500,0.21,50,0.80,1.00,0.050,0.020,1534,1124,410,73.27,1.53,-4.23,60.2,0.99,-12.7000,1521.3000,-0.83
100,200,500,0.21,50,0.70,0.90,0.100,0.000,1535,1182,353,77.00,1.38,-4.67,58.8,0.99,-14.9000,1520.1000,-0.97
100,200,500,0.21,50,1.00,0.90,0.080,0.000,1534,1159,375,75.55,1.50,-4.66,64.7,0.99,-15.0600,1518.9400,-0.98
100,200,500,0.21,50,0.80,0.90,0.100,0.000,1535,1177,358,76.68,1.41,-4.67,60.4,0.99,-15.6000,1519.4000,-1.02
100,200,500,0.21,50,1.00,0.90,0.050,0.000,1534,1144,390,74.58,1.57,-4.66,69.5,0.99,-17.0000,1517.0000,-1.11
100,200,500,0.21,50,0.90,0.90,0.100,0.000,1534,1170,364,76.27,1.44,-4.67,61.7,0.99,-17.6000,1516.4000,-1.15
100,200,500,0.21,50,1.00,1.00,0.020,0.020,1533,1043,490,68.04,1.83,-3.93,69.2,0.99,-18.4000,1514.6000,-1.20
100,200,500,0.21,50,0.80,0.70,0.050,0.000,1536,1094,442,71.22,1.56,-3.91,56.6,0.99,-18.5000,1517.5000,-1.20
100,200,500,0.21,50,0.80,0.90,0.080,0.000,1535,1171,364,76.29,1.43,-4.67,61.6,0.99,-20.9200,1514.0800,-1.36
100,200,500,0.21,50,0.80,0.90,0.050,0.000,1535,1159,376,75.50,1.49,-4.66,64.4,0.99,-22.8000,1512.2000,-1.49
100,200,500,0.21,50,1.00,0.70,0.050,0.000,1535,1074,461,69.97,1.65,-3.90,61.1,0.99,-24.1000,1510.9000,-1.57
100,200,500,0.21,50,0.80,0.80,0.020,0.000,1536,1105,431,71.94,1.65,-4.28,67.1,0.99,-27.2000,1508.8000,-1.77
100,200,500,0.21,50,0.80,0.90,0.020,0.000,1535,1134,401,73.88,1.62,-4.65,71.2,0.98,-31.5000,1503.5000,-2.05
100,200,500,0.21,50,1.00,0.80,0.020,0.000,1535,1079,456,70.29,1.77,-4.27,72.1,0.98,-31.6800,1503.3200,-2.06
100,200,500,0.21,50,0.90,0.80,0.020,0.000,1535,1090,445,71.01,1.71,-4.27,69.4,0.98,-33.2000,1501.8000,-2.16
100,200,500,0.21,50,0.80,0.70,0.000,0.000,1536,1033,503,67.25,1.85,-3.86,66.9,0.98,-35.9000,1500.1000,-2.34
100,200,500,0.21,50,0.80,0.80,0.000,0.000,1536,1067,469,69.47,1.84,-4.26,73.2,0.98,-36.0000,1500.0000,-2.34
100,200,500,0.21,50,0.90,0.90,0.020,0.000,1534,1120,414,73.01,1.68,-4.65,73.8,0.98,-36.9600,1497.0400,-2.41
100,200,500,0.21,50,1.00,0.90,0.020,0.000,1534,1109,425,72.29,1.75,-4.64,76.5,0.98,-37.5000,1496.5000,-2.44
100,200,500,0.21,50,0.80,0.70,0.020,0.000,1536,1065,471,69.34,1.68,-3.89,62.3,0.98,-38.1000,1497.9000,-2.48
100,200,500,0.21,50,0.90,0.70,0.020,0.000,1535,1051,484,68.47,1.75,-3.88,64.5,0.98,-38.4800,1496.5200,-2.51
100,200,500,0.21,50,0.80,0.90,0.000,0.000,1535,1094,441,71.27,1.83,-4.64,79.5,0.98,-40.3000,1494.7000,-2.63
