交易编号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,K1最高,K1最低,K2最高,K2最低
142,rule1,做多,2025-10-28 22:45,115068.17,2025-10-28 23:00,115335.17,15分钟,0.232%,11.60%,0.1160,-3.0336,收盘价平仓,115962.61,114566.67,115260.00,114223.63
143,rule1,做多,2025-10-29 03:30,114006.54,2025-10-29 03:45,113689.99,15分钟,-0.278%,-13.88%,-0.1388,-3.1725,收盘价平仓,114823.52,113717.00,114141.51,113589.46
144,rule1,做空,2025-10-30 04:30,111261.29,2025-10-30 04:45,111433.46,15分钟,-0.155%,-7.74%,-0.0774,-3.2498,收盘价平仓,111348.11,110507.50,111381.77,111145.10
145,rule2,做多,2025-10-30 08:00,110150.92,2025-10-30 08:15,110386.98,15分钟,0.214%,10.72%,0.1072,-3.1427,收盘价平仓,110463.60,109733.22,110153.84,109920.00
146,rule1,做多,2025-10-30 12:30,108977.40,2025-10-30 12:45,108575.27,15分钟,-0.369%,-18.45%,-0.1845,-3.3272,收盘价平仓,110152.37,108001.49,109460.46,107925.06
147,rule1,做空,2025-10-30 14:45,110768.01,2025-10-30 15:00,111220.02,15分钟,-0.408%,-20.40%,-0.2040,-3.5312,收盘价平仓,110921.60,110150.85,110964.09,110748.27
148,rule1,做空,2025-10-30 15:15,111274.25,2025-10-30 15:30,111376.98,15分钟,-0.092%,-4.62%,-0.0462,-3.5774,收盘价平仓,111325.50,110639.25,111592.00,111192.03
149,rule1,做多,2025-10-31 10:45,108857.99,2025-10-31 11:00,109041.49,15分钟,0.169%,8.43%,0.0843,-3.4931,收盘价平仓,109407.21,108745.56,108963.05,108565.26
150,rule1,做空,2025-10-31 16:30,109809.52,2025-10-31 16:45,110062.44,15分钟,-0.230%,-11.52%,-0.1152,-3.6082,收盘价平仓,109876.17,109222.45,109881.17,109672.00
151,rule1,做空,2025-10-31 20:00,110174.61,2025-10-31 20:15,110170.08,15分钟,0.004%,0.21%,0.0021,-3.6062,收盘价平仓,110550.00,109595.65,110681.00,110136.90
152,rule1,做空,2025-10-31 22:00,109971.02,2025-10-31 22:15,109805.08,15分钟,0.151%,7.54%,0.0754,-3.5307,收盘价平仓,110220.86,109598.52,110575.74,109942.26
153,rule1,做空,2025-10-31 23:00,110783.77,2025-10-31 23:15,110487.84,15分钟,0.267%,13.36%,0.1336,-3.3972,收盘价平仓,111054.61,109972.13,111190.00,110409.00
154,rule1,做多,2025-11-01 01:00,108931.68,2025-11-01 01:15,109042.51,15分钟,0.102%,5.09%,0.0509,-3.3463,收盘价平仓,109716.09,108671.25,109226.63,108635.77
155,rule2,做空,2025-11-03 07:30,110413.80,2025-11-03 07:45,110540.68,15分钟,-0.115%,-5.75%,-0.0575,-3.4038,收盘价平仓,110500.00,109900.00,110500.00,110142.15
156,rule1,做空,2025-11-03 23:00,107648.43,2025-11-03 23:15,105992.64,15分钟,1.538%,76.91%,0.7691,-2.6347,收盘价平仓,108067.54,107522.38,108148.81,107536.50
157,rule1,做多,2025-11-03 23:30,106084.82,2025-11-03 23:45,105745.71,15分钟,-0.320%,-15.98%,-0.1598,-2.7945,收盘价平仓,107648.43,105732.51,106567.65,105511.00
158,rule2,做空,2025-11-04 14:15,104972.73,2025-11-04 14:30,104541.00,15分钟,0.411%,20.56%,0.2056,-2.5889,收盘价平仓,105084.30,104200.00,104909.41,104200.00
159,rule1,做多,2025-11-04 16:15,104202.40,2025-11-04 16:30,104441.56,15分钟,0.230%,11.48%,0.1148,-2.4741,收盘价平仓,104540.68,103838.26,104496.09,103759.99
