第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
355,做多,2025-04-14 13:45:00,2025-04-14 15:45:00,8,0.667,止盈,356,做多,2025-04-14 15:15:00,2025-04-14 15:45:00,2,0.667,止盈,双倍做多,2025-04-14 15:15:00,2025-04-14 15:45:00,30.0,2.0,6.0,1.334,40.0,40.0
392,做空,2025-05-01 18:30:00,2025-05-01 21:30:00,12,0.667,止盈,393,做空,2025-05-01 19:00:00,2025-05-01 21:30:00,10,0.667,止盈,双倍做空,2025-05-01 19:00:00,2025-05-01 21:30:00,150.0,10.0,2.0,1.334,40.0,40.0
432,做多,2025-05-15 17:15:00,2025-05-15 20:30:00,13,0.667,止盈,433,做多,2025-05-15 17:45:00,2025-05-15 19:15:00,6,0.667,止盈,双倍做多,2025-05-15 17:45:00,2025-05-15 19:15:00,90.0,6.0,2.0,1.334,40.0,40.0
452,做多,2025-05-20 02:00:00,2025-05-20 04:15:00,9,0.667,止盈,453,做多,2025-05-20 02:30:00,2025-05-20 03:30:00,4,0.667,止盈,双倍做多,2025-05-20 02:30:00,2025-05-20 03:30:00,60.0,4.0,2.0,1.334,40.0,40.0
454,做空,2025-05-20 07:45:00,2025-05-20 08:45:00,4,0.667,止盈,455,做空,2025-05-20 08:15:00,2025-05-20 08:45:00,2,0.667,止盈,双倍做空,2025-05-20 08:15:00,2025-05-20 08:45:00,30.0,2.0,2.0,1.334,40.0,40.0
466,做多,2025-05-24 06:45:00,2025-05-24 11:15:00,18,0.667,止盈,467,做多,2025-05-24 08:30:00,2025-05-24 11:00:00,10,0.667,止盈,双倍做多,2025-05-24 08:30:00,2025-05-24 11:00:00,150.0,10.0,7.0,1.334,40.0,40.0
474,做空,2025-05-28 00:45:00,2025-05-28 07:15:00,26,0.667,止盈,475,做空,2025-05-28 01:45:00,2025-05-28 02:30:00,3,0.667,止盈,双倍做空,2025-05-28 01:45:00,2025-05-28 02:30:00,45.0,3.0,4.0,1.334,40.0,40.0
500,做多,2025-06-10 21:45:00,2025-06-11 02:45:00,20,0.667,止盈,501,做多,2025-06-11 00:15:00,2025-06-11 02:45:00,10,0.667,止盈,双倍做多,2025-06-11 00:15:00,2025-06-11 02:45:00,150.0,10.0,10.0,1.334,40.0,40.0
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,31,0.667,止盈,513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,4,0.667,止盈,双倍做多,2025-06-15 01:00:00,2025-06-15 02:00:00,60.0,4.0,5.0,1.334,40.0,40.0
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,31,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,2,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,2.0,7.0,1.334,40.0,40.0
513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,4,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,2,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,2.0,2.0,1.334,40.0,40.0
552,做多,2025-07-13 22:45:00,2025-07-14 03:30:00,19,0.667,止盈,553,做多,2025-07-14 01:00:00,2025-07-14 02:15:00,5,0.667,止盈,双倍做多,2025-07-14 01:00:00,2025-07-14 02:15:00,75.0,5.0,9.0,1.334,40.0,40.0
