杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
140,330,500,0.21,35,0.9,0.3,1536,744,792,48.44,2.25,-1.63,42.4,1.30,541.3100,2077.3100,35.24
140,330,500,0.21,35,1.0,0.3,1536,720,816,46.88,2.36,-1.61,44.7,1.29,536.0000,2072.0000,34.90
140,330,500,0.21,40,0.9,0.3,1536,754,782,49.09,2.27,-1.70,44.3,1.29,534.4900,2070.4900,34.80
140,330,500,0.21,40,1.0,0.3,1536,731,805,47.59,2.36,-1.68,46.4,1.27,518.8000,2054.8000,33.78
140,330,500,0.21,30,0.9,0.3,1536,722,814,47.01,2.24,-1.54,40.1,1.29,505.4500,2041.4500,32.91
140,330,500,0.21,30,1.0,0.3,1536,696,840,45.31,2.36,-1.53,42.4,1.28,497.8000,2033.8000,32.41
140,330,500,0.21,25,1.0,0.3,1536,677,859,44.08,2.36,-1.44,40.0,1.29,497.6000,2033.6000,32.40
140,330,500,0.21,40,0.8,0.3,1537,768,769,49.97,2.17,-1.71,42.7,1.27,496.2400,2033.2400,32.29
140,330,500,0.21,25,0.9,0.3,1536,703,833,45.77,2.23,-1.46,37.6,1.29,492.7100,2028.7100,32.08
140,330,500,0.21,40,0.7,0.3,1537,793,744,51.59,2.07,-1.73,41.2,1.27,492.1600,2029.1600,32.02
140,330,500,0.21,35,0.8,0.3,1537,758,779,49.32,2.14,-1.64,40.7,1.27,487.8800,2024.8800,31.74
140,330,500,0.21,20,1.0,0.3,1536,648,888,42.19,2.36,-1.33,37.6,1.29,484.4000,2020.4000,31.54
140,330,500,0.21,20,0.9,0.3,1536,677,859,44.08,2.21,-1.34,35.2,1.30,484.3400,2020.3400,31.53
140,330,500,0.21,45,0.9,0.3,1535,759,776,49.45,2.28,-1.79,46.3,1.25,482.1900,2017.1900,31.41
140,330,500,0.21,40,0.6,0.3,1537,821,716,53.42,1.95,-1.76,39.8,1.27,482.0200,2019.0200,31.36
140,330,500,0.21,35,0.7,0.3,1537,786,751,51.14,2.02,-1.66,39.1,1.28,480.0500,2017.0500,31.23
140,330,500,0.21,40,0.5,0.3,1537,856,681,55.69,1.82,-1.79,38.3,1.28,475.4500,2012.4500,30.93
140,330,500,0.21,35,0.6,0.3,1537,820,717,53.35,1.89,-1.69,37.5,1.28,474.6200,2011.6200,30.88
140,330,500,0.21,45,0.8,0.3,1536,775,761,50.46,2.20,-1.80,44.5,1.24,465.4200,2001.4200,30.30
140,330,500,0.21,45,1.0,0.3,1535,738,797,48.08,2.36,-1.77,48.2,1.23,462.9000,1997.9000,30.16
140,330,500,0.21,50,0.9,0.3,1535,766,769,49.90,2.29,-1.85,48.0,1.23,460.7100,1995.7100,30.01
140,330,500,0.21,45,0.7,0.3,1536,794,742,51.69,2.11,-1.82,43.2,1.24,451.0200,1987.0200,29.36
140,330,500,0.21,35,0.5,0.3,1537,855,682,55.63,1.75,-1.72,36.0,1.27,449.9000,1986.9000,29.27
140,330,500,0.21,30,0.8,0.3,1537,737,800,47.95,2.12,-1.55,38.4,1.26,448.9000,1985.9000,29.21
140,330,500,0.21,45,0.6,0.3,1536,819,717,53.32,2.00,-1.85,42.0,1.24,444.9600,1980.9600,28.97
140,330,500,0.21,25,0.8,0.3,1537,723,814,47.04,2.09,-1.46,35.6,1.27,444.3200,1981.3200,28.91
140,330,500,0.21,50,1.0,0.3,1535,747,788,48.66,2.36,-1.83,49.8,1.22,443.1000,1978.1000,28.87
140,330,500,0.21,35,0.9,0.4,1536,786,750,51.17,2.24,-1.93,46.7,1.22,442.0500,1978.0500,28.78
140,330,500,0.21,50,0.5,0.3,1536,854,682,55.60,1.93,-1.95,42.6,1.24,442.0500,1978.0500,28.78
140,330,500,0.21,30,0.7,0.3,1537,767,770,49.90,1.99,-1.57,36.7,1.26,441.1000,1978.1000,28.70
140,330,500,0.21,20,0.8,0.3,1537,700,837,45.54,2.06,-1.35,33.0,1.28,438.8000,1975.8000,28.55
140,330,500,0.21,45,0.5,0.3,1536,849,687,55.27,1.89,-1.88,40.5,1.24,438.1500,1974.1500,28.53
140,330,500,0.21,50,0.8,0.3,1535,778,757,50.68,2.21,-1.86,46.5,1.22,436.8000,1971.8000,28.46
140,330,500,0.21,15,1.0,0.3,1536,619,917,40.30,2.36,-1.25,34.7,1.27,432.7000,1968.7000,28.17
140,330,500,0.21,40,0.9,0.4,1536,792,744,51.56,2.26,-1.99,48.2,1.21,430.3500,1966.3500,28.02
140,330,500,0.21,30,0.6,0.3,1537,801,736,52.11,1.85,-1.59,35.0,1.26,427.4200,1964.4200,27.81
140,330,500,0.21,15,0.9,0.3,1536,649,887,42.25,2.19,-1.26,32.2,1.27,425.8900,1961.8900,27.73
140,330,500,0.21,25,0.7,0.3,1537,754,783,49.06,1.94,-1.48,33.8,1.26,426.1400,1963.1400,27.73
140,330,500,0.21,40,0.4,0.3,1537,884,653,57.51,1.69,-1.82,36.9,1.26,426.0400,1963.0400,27.72
140,330,500,0.21,50,0.6,0.3,1536,819,717,53.32,2.04,-1.91,44.1,1.22,422.8800,1958.8800,27.53
140,330,500,0.21,50,0.7,0.3,1536,795,741,51.76,2.13,-1.88,45.3,1.22,422.5200,1958.5200,27.51
140,330,500,0.21,20,0.7,0.3,1537,734,803,47.76,1.90,-1.36,31.0,1.28,421.4900,1958.4900,27.42
140,330,500,0.21,35,1.0,0.4,1536,757,779,49.28,2.36,-1.91,49.3,1.20,412.1000,1948.1000,26.83
