杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
140,330,500,0.21,35,0.9,0.5,1536,831,705,54.10,2.24,-2.23,50.9,1.18,401.2000,1937.2000,26.12
140,330,500,0.21,40,0.7,0.4,1537,835,702,54.33,2.05,-2.03,44.3,1.20,399.1800,1936.1800,25.97
140,330,500,0.21,45,0.4,0.3,1536,874,662,56.90,1.77,-1.91,39.2,1.22,397.4400,1933.4400,25.88
140,330,500,0.21,40,0.9,0.5,1536,836,700,54.43,2.25,-2.29,52.5,1.18,397.0300,1933.0300,25.85
140,330,500,0.21,50,0.4,0.3,1536,873,663,56.84,1.82,-1.98,41.4,1.21,393.0000,1929.0000,25.59
140,330,500,0.21,10,1.0,0.3,1537,589,948,38.32,2.36,-1.17,32.2,1.25,392.2000,1929.2000,25.52
140,330,500,0.21,35,0.7,0.4,1537,832,705,54.13,2.00,-1.96,42.5,1.20,390.8100,1927.8100,25.43
140,330,500,0.21,40,0.8,0.4,1537,807,730,52.50,2.16,-2.00,46.2,1.19,390.7000,1927.7000,25.42
140,330,500,0.21,40,1.0,0.4,1536,764,772,49.74,2.36,-1.97,50.7,1.18,389.2000,1925.2000,25.34
140,330,500,0.21,30,0.9,0.4,1536,765,771,49.80,2.23,-1.86,44.8,1.19,389.1600,1925.1600,25.34
140,330,500,0.21,10,0.9,0.3,1537,623,914,40.53,2.17,-1.17,29.5,1.26,389.4100,1926.4100,25.34
140,330,500,0.21,35,0.8,0.4,1537,801,736,52.11,2.13,-1.94,44.5,1.19,385.9000,1922.9000,25.11
140,330,500,0.21,20,0.9,0.4,1536,734,802,47.79,2.20,-1.67,40.4,1.20,384.1300,1920.1300,25.01
140,330,500,0.21,25,0.6,0.3,1538,784,754,50.98,1.79,-1.50,32.0,1.24,382.5200,1920.5200,24.87
140,330,500,0.21,25,0.9,0.4,1536,751,785,48.89,2.22,-1.78,42.6,1.19,378.7700,1914.7700,24.66
140,330,500,0.21,40,0.6,0.4,1537,860,677,55.95,1.93,-2.05,42.5,1.19,377.2400,1914.2400,24.54
140,330,500,0.21,15,0.8,0.3,1537,674,863,43.85,2.02,-1.27,30.0,1.25,377.0800,1914.0800,24.53
140,330,500,0.21,35,0.6,0.4,1537,863,674,56.15,1.86,-1.99,40.4,1.20,375.2600,1912.2600,24.42
140,330,500,0.21,45,0.9,0.4,1535,793,742,51.66,2.27,-2.07,49.8,1.17,374.1700,1909.1700,24.38
140,330,500,0.21,35,0.4,0.3,1537,880,657,57.25,1.60,-1.74,34.4,1.23,373.8800,1910.8800,24.33
140,330,500,0.21,20,1.0,0.4,1536,702,834,45.70,2.36,-1.66,43.5,1.19,372.6000,1908.6000,24.26
140,330,500,0.21,30,0.5,0.3,1537,829,708,53.94,1.70,-1.62,33.4,1.23,372.4000,1909.4000,24.23
140,330,500,0.21,20,0.6,0.3,1538,765,773,49.74,1.73,-1.37,29.2,1.25,369.8000,1907.8000,24.04
140,330,500,0.21,30,1.0,0.4,1536,736,800,47.92,2.36,-1.84,47.4,1.18,366.8000,1902.8000,23.88
140,330,500,0.21,35,1.0,0.5,1536,801,735,52.15,2.36,-2.21,54.0,1.16,365.8000,1901.8000,23.82
140,330,500,0.21,50,0.9,0.4,1535,800,735,52.12,2.28,-2.13,51.5,1.17,365.1900,1900.1900,23.79
140,330,500,0.21,25,1.0,0.4,1536,721,815,46.94,2.36,-1.77,45.6,1.18,365.3000,1901.3000,23.78
140,330,500,0.21,40,0.5,0.4,1537,892,645,58.04,1.80,-2.08,40.4,1.19,364.3500,1901.3500,23.71
140,330,500,0.21,15,0.7,0.3,1537,711,826,46.26,1.84,-1.27,27.9,1.24,358.9900,1895.9900,23.36
140,330,500,0.21,40,0.3,0.3,1537,912,625,59.34,1.55,-1.86,35.7,1.22,358.1500,1895.1500,23.30
140,330,500,0.21,20,0.9,0.5,1536,794,742,51.69,2.20,-2.01,46.1,1.17,357.3300,1893.3300,23.26
140,330,500,0.21,45,0.7,0.4,1536,832,704,54.17,2.09,-2.10,45.9,1.17,354.8000,1890.8000,23.10
140,330,500,0.21,45,0.8,0.4,1536,809,727,52.67,2.18,-2.08,47.7,1.17,353.6800,1889.6800,23.03
140,330,500,0.21,40,1.0,0.5,1536,807,729,52.54,2.36,-2.27,55.3,1.15,350.6000,1886.6000,22.83
140,330,500,0.21,45,0.9,0.5,1535,836,699,54.46,2.27,-2.35,54.1,1.15,349.3800,1884.3800,22.76
140,330,500,0.21,30,0.9,0.5,1536,814,722,52.99,2.23,-2.17,49.4,1.16,348.6900,1884.6900,22.70
140,330,500,0.21,50,0.9,0.5,1535,842,693,54.85,2.27,-2.40,55.4,1.15,347.4300,1882.4300,22.63
140,330,500,0.21,45,0.3,0.3,1536,901,635,58.66,1.64,-1.95,38.0,1.20,345.2100,1881.2100,22.47
140,330,500,0.21,40,0.8,0.5,1537,850,687,55.30,2.14,-2.30,50.4,1.16,344.7200,1881.7200,22.43
140,330,500,0.21,30,0.7,0.4,1537,816,721,53.09,1.97,-1.89,40.4,1.18,344.2900,1881.2900,22.40
140,330,500,0.21,15,0.9,0.4,1536,715,821,46.55,2.18,-1.60,38.2,1.19,343.9100,1879.9100,22.39
140,330,500,0.21,40,0.7,0.5,1537,876,661,56.99,2.03,-2.32,48.1,1.16,343.3900,1880.3900,22.34
140,330,500,0.21,35,0.5,0.4,1537,895,642,58.23,1.72,-2.02,38.3,1.19,342.9000,1879.9000,22.31
140,330,500,0.21,45,1.0,0.4,1535,769,766,50.10,2.36,-2.05,51.9,1.15,339.7000,1874.7000,22.13
140,330,500,0.21,20,0.8,0.4,1537,759,778,49.38,2.04,-1.68,37.5,1.19,340.0600,1877.0600,22.12
140,330,500,0.21,30,0.8,0.4,1537,783,754,50.94,2.11,-1.87,42.6,1.17,339.3400,1876.3400,22.08
140,330,500,0.21,25,0.8,0.4,1537,774,763,50.36,2.07,-1.79,40.1,1.18,337.9600,1874.9600,21.99
140,330,500,0.21,35,0.7,0.5,1537,876,661,56.99,1.98,-2.26,46.6,1.16,337.9500,1874.9500,21.99
140,330,500,0.21,35,0.8,0.5,1537,846,691,55.04,2.11,-2.24,48.8,1.16,337.2000,1874.2000,21.94
140,330,500,0.21,45,0.6,0.4,1536,854,682,55.60,1.98,-2.13,44.3,1.17,336.7600,1872.7600,21.92
140,330,500,0.21,50,0.3,0.3,1536,894,642,58.20,1.71,-2.01,40.4,1.19,336.3900,1872.3900,21.90
140,330,500,0.21,50,0.8,0.4,1535,812,723,52.90,2.20,-2.14,49.6,1.16,336.0600,1871.0600,21.89
140,330,500,0.21,10,0.8,0.3,1537,650,887,42.29,1.97,-1.18,27.2,1.23,335.2000,1872.2000,21.81
140,330,500,0.21,50,0.5,0.4,1536,885,651,57.62,1.90,-2.22,44.5,1.17,334.2000,1870.2000,21.76
140,330,500,0.21,15,0.6,0.3,1539,754,785,48.99,1.65,-1.28,26.0,1.24,334.3600,1873.3600,21.73
140,330,500,0.21,10,0.7,0.3,1538,696,842,45.25,1.77,-1.18,24.8,1.24,334.0600,1872.0600,21.72
140,330,500,0.21,15,0.9,0.5,1536,782,754,50.91,2.18,-1.94,44.4,1.16,333.4000,1869.4000,21.71
140,330,500,0.21,25,0.5,0.3,1538,818,720,53.19,1.63,-1.52,30.3,1.22,333.2000,1871.2000,21.66
140,330,500,0.21,5,1.0,0.3,1537,556,981,36.17,2.36,-1.09,30.0,1.22,331.8000,1868.8000,21.59
140,330,500,0.21,50,0.7,0.4,1536,832,704,54.17,2.11,-2.16,48.0,1.16,331.4900,1867.4900,21.58
140,330,500,0.21,25,0.9,0.5,1536,802,734,52.21,2.21,-2.10,47.7,1.15,329.2400,1865.2400,21.43
140,330,500,0.21,20,0.7,0.4,1537,795,742,51.72,1.88,-1.69,34.9,1.19,328.9000,1865.9000,21.40
140,330,500,0.21,50,1.0,0.4,1535,777,758,50.62,2.36,-2.11,53.6,1.15,328.1000,1863.1000,21.37
140,330,500,0.21,20,1.0,0.5,1536,758,778,49.35,2.36,-2.00,49.5,1.15,326.4000,1862.4000,21.25
140,330,500,0.21,15,1.0,0.4,1536,679,857,44.21,2.36,-1.60,41.5,1.17,325.7000,1861.7000,21.20
140,330,500,0.21,20,0.5,0.3,1538,804,734,52.28,1.55,-1.38,27.1,1.23,324.3500,1862.3500,21.09
140,330,500,0.21,50,0.6,0.4,1536,854,682,55.60,2.01,-2.18,46.4,1.16,323.6800,1859.6800,21.07
140,330,500,0.21,30,0.6,0.4,1537,848,689,55.17,1.82,-1.91,38.1,1.18,323.4800,1860.4800,21.05
140,330,500,0.21,35,0.6,0.5,1537,907,630,59.01,1.84,-2.28,43.6,1.16,323.3800,1860.3800,21.04
140,330,500,0.21,25,0.7,0.4,1537,806,731,52.44,1.92,-1.80,37.7,1.17,322.7600,1859.7600,21.00
140,330,500,0.21,45,0.5,0.4,1536,881,655,57.36,1.86,-2.15,42.4,1.16,322.4500,1858.4500,20.99
140,330,500,0.21,30,1.0,0.5,1536,784,752,51.04,2.36,-2.15,52.5,1.14,322.2000,1858.2000,20.98
140,330,500,0.21,35,0.9,0.6,1536,862,674,56.12,2.23,-2.52,55.5,1.14,321.7700,1857.7700,20.95
140,330,500,0.21,40,0.6,0.5,1537,901,636,58.62,1.90,-2.34,45.5,1.15,320.4200,1857.4200,20.85
140,330,500,0.21,20,0.9,0.6,1536,842,694,54.82,2.19,-2.33,51.8,1.14,318.8900,1854.8900,20.76
140,330,500,0.21,10,0.9,0.6,1536,831,705,54.10,2.16,-2.22,49.4,1.15,318.6700,1854.6700,20.75
140,330,500,0.21,15,0.9,0.6,1536,837,699,54.49,2.18,-2.28,50.5,1.14,318.2500,1854.2500,20.72
140,330,500,0.21,45,0.8,0.5,1536,851,685,55.40,2.17,-2.36,51.9,1.14,317.0600,1853.0600,20.64
140,330,500,0.21,50,1.0,0.5,1535,819,716,53.36,2.36,-2.38,57.8,1.13,312.7000,1847.7000,20.37
140,330,500,0.21,45,1.0,0.5,1535,811,724,52.83,2.36,-2.33,56.6,1.13,311.3000,1846.3000,20.28
140,330,500,0.21,45,0.7,0.5,1536,873,663,56.84,2.06,-2.38,49.9,1.14,311.0100,1847.0100,20.25
140,330,500,0.21,40,0.4,0.4,1537,917,620,59.66,1.66,-2.11,38.8,1.17,307.1000,1844.1000,19.98
140,330,500,0.21,25,1.0,0.5,1536,770,766,50.13,2.36,-2.08,51.0,1.14,306.0000,1842.0000,19.92
140,330,500,0.21,5,0.9,0.3,1537,588,949,38.26,2.14,-1.10,27.3,1.21,305.8800,1842.8800,19.90
140,330,500,0.21,40,0.5,0.5,1537,932,605,60.64,1.77,-2.36,43.1,1.15,305.8500,1842.8500,19.90
140,330,500,0.21,50,0.8,0.5,1535,853,682,55.57,2.19,-2.41,53.5,1.13,305.3000,1840.3000,19.89
140,330,500,0.21,20,1.0,0.6,1536,809,727,52.67,2.36,-2.32,55.7,1.13,304.7000,1840.7000,19.84
140,330,500,0.21,15,1.0,0.6,1536,801,735,52.15,2.36,-2.27,54.8,1.13,304.3000,1840.3000,19.81
140,330,500,0.21,15,0.8,0.4,1537,744,793,48.41,2.01,-1.61,35.1,1.17,303.8800,1840.8800,19.77
140,330,500,0.21,40,0.9,0.6,1535,862,673,56.16,2.25,-2.56,56.8,1.13,303.2500,1838.2500,19.76
140,330,500,0.21,15,1.0,0.5,1536,743,793,48.37,2.36,-1.94,48.1,1.14,301.9000,1837.9000,19.65
140,330,500,0.21,30,0.4,0.3,1537,858,679,55.82,1.55,-1.64,31.7,1.19,301.7200,1838.7200,19.63
140,330,500,0.21,10,1.0,0.6,1536,791,745,51.50,2.36,-2.21,53.9,1.13,301.3000,1837.3000,19.62
140,330,500,0.21,20,0.8,0.5,1537,818,719,53.22,2.03,-2.01,42.9,1.15,300.3200,1837.3200,19.54
140,330,500,0.21,15,0.7,0.4,1537,785,752,51.07,1.82,-1.62,32.3,1.18,298.4300,1835.4300,19.42
140,330,500,0.21,30,0.9,0.6,1536,853,683,55.53,2.22,-2.46,54.4,1.13,297.5200,1833.5200,19.37
140,330,500,0.21,10,0.9,0.5,1536,766,770,49.87,2.16,-1.87,42.5,1.15,297.1200,1833.1200,19.34
140,330,500,0.21,30,0.7,0.5,1537,865,672,56.28,1.95,-2.19,44.7,1.14,296.4800,1833.4800,19.29
140,330,500,0.21,25,0.9,0.6,1536,847,689,55.14,2.21,-2.41,52.9,1.13,294.8900,1830.8900,19.20
140,330,500,0.21,35,1.0,0.6,1536,834,702,54.30,2.36,-2.50,58.8,1.12,294.2000,1830.2000,19.15
140,330,500,0.21,5,1.0,0.4,1536,640,896,41.67,2.36,-1.45,37.8,1.16,293.0000,1829.0000,19.08
140,330,500,0.21,50,0.7,0.5,1536,872,664,56.77,2.09,-2.43,51.7,1.13,291.8900,1827.8900,19.00
140,330,500,0.21,10,0.9,0.4,1536,691,845,44.99,2.16,-1.52,35.9,1.16,290.8700,1826.8700,18.94
140,330,500,0.21,45,0.6,0.5,1536,895,641,58.27,1.95,-2.40,47.5,1.13,290.4400,1826.4400,18.91
140,330,500,0.21,35,0.5,0.5,1537,938,599,61.03,1.69,-2.31,41.1,1.15,288.3500,1825.3500,18.76
140,330,500,0.21,50,0.5,0.5,1536,923,613,60.09,1.87,-2.48,47.2,1.13,286.4000,1822.4000,18.65
140,330,500,0.21,30,0.8,0.5,1537,831,706,54.07,2.09,-2.18,47.1,1.13,286.0600,1823.0600,18.61
140,330,500,0.21,5,0.9,0.4,1536,678,858,44.14,2.14,-1.45,34.2,1.16,285.1800,1821.1800,18.57
140,330,500,0.21,50,0.4,0.4,1536,904,632,58.85,1.79,-2.24,43.2,1.14,284.4200,1820.4200,18.52
140,330,500,0.21,45,0.4,0.4,1536,906,630,58.98,1.74,-2.18,41.0,1.15,283.6800,1819.6800,18.47
140,330,500,0.21,20,0.7,0.5,1537,853,684,55.50,1.86,-2.03,40.0,1.15,282.8800,1819.8800,18.40
140,330,500,0.21,50,0.6,0.5,1536,894,642,58.20,1.99,-2.45,49.4,1.13,281.8800,1817.8800,18.35
140,330,500,0.21,30,1.0,0.6,1536,825,711,53.71,2.36,-2.45,57.9,1.12,281.5000,1817.5000,18.33
140,330,500,0.21,15,0.8,0.5,1537,810,727,52.70,2.00,-1.95,41.0,1.14,280.1200,1817.1200,18.23
140,330,500,0.21,10,0.9,0.7,1535,876,659,57.07,2.15,-2.56,54.9,1.12,279.3200,1814.3200,18.20
140,330,500,0.21,10,0.6,0.3,1540,736,804,47.79,1.57,-1.19,22.8,1.21,280.1800,1820.1800,18.19
140,330,500,0.21,10,1.0,0.4,1536,653,883,42.51,2.36,-1.52,39.4,1.15,277.9000,1813.9000,18.09
140,330,500,0.21,30,0.5,0.4,1537,879,658,57.19,1.67,-1.93,36.0,1.16,277.9000,1814.9000,18.08
140,330,500,0.21,15,0.5,0.3,1539,795,744,51.66,1.46,-1.30,23.8,1.21,278.0500,1817.0500,18.07
140,330,500,0.21,15,0.6,0.4,1539,830,709,53.93,1.63,-1.63,29.8,1.17,277.8400,1816.8400,18.05
140,330,500,0.21,25,0.8,0.5,1537,824,713,53.61,2.06,-2.11,44.9,1.13,277.4600,1814.4600,18.05
140,330,500,0.21,25,1.0,0.6,1536,816,720,53.12,2.36,-2.40,56.8,1.11,276.8000,1812.8000,18.02
140,330,500,0.21,5,0.9,0.5,1536,754,782,49.09,2.14,-1.81,41.1,1.14,276.4000,1812.4000,17.99
140,330,500,0.21,35,0.3,0.3,1537,903,634,58.75,1.46,-1.77,33.1,1.18,276.3800,1813.3800,17.98
140,330,500,0.21,45,0.5,0.5,1536,922,614,60.03,1.83,-2.43,45.4,1.13,276.1000,1812.1000,17.98
140,330,500,0.21,5,1.0,0.6,1536,778,758,50.65,2.36,-2.16,53.0,1.12,275.4000,1811.4000,17.93
140,330,500,0.21,5,1.0,0.5,1536,713,823,46.42,2.36,-1.81,45.3,1.13,272.9000,1808.9000,17.77
140,330,500,0.21,45,0.9,0.6,1535,863,672,56.22,2.26,-2.61,58.1,1.11,272.0700,1807.0700,17.72
140,330,500,0.21,25,0.6,0.4,1538,835,703,54.29,1.76,-1.82,35.5,1.15,272.5000,1810.5000,17.72
140,330,500,0.21,5,0.9,0.6,1536,818,718,53.26,2.13,-2.16,48.3,1.13,271.9800,1807.9800,17.71
140,330,500,0.21,30,0.6,0.5,1537,896,641,58.30,1.80,-2.21,41.6,1.14,271.0200,1808.0200,17.63
140,330,500,0.21,25,0.7,0.5,1537,857,680,55.76,1.91,-2.12,42.2,1.13,266.5700,1803.5700,17.34
140,330,500,0.21,15,0.9,0.7,1535,877,658,57.13,2.17,-2.61,55.7,1.11,264.5500,1799.5500,17.23
140,330,500,0.21,50,0.9,0.6,1535,866,669,56.42,2.27,-2.66,59.1,1.11,264.2100,1799.2100,17.21
140,330,500,0.21,20,0.6,0.4,1538,824,714,53.58,1.71,-1.70,32.6,1.15,264.1200,1802.1200,17.17
140,330,500,0.21,40,1.0,0.6,1535,835,700,54.40,2.36,-2.54,59.9,1.11,263.5000,1798.5000,17.17
140,330,500,0.21,15,0.7,0.5,1537,849,688,55.24,1.81,-1.96,37.7,1.14,263.7700,1800.7700,17.16
140,330,500,0.21,20,0.9,0.7,1535,879,656,57.26,2.19,-2.65,56.8,1.11,260.7800,1795.7800,16.99
140,330,500,0.21,10,1.0,0.5,1536,723,813,47.07,2.36,-1.87,46.5,1.12,260.9000,1796.9000,16.99
140,330,500,0.21,35,0.4,0.4,1537,918,619,59.73,1.58,-2.04,36.5,1.15,259.5400,1796.5400,16.89
140,330,500,0.21,35,0.9,0.7,1535,890,645,57.98,2.23,-2.79,60.3,1.10,257.4300,1792.4300,16.77
140,330,500,0.21,25,0.9,0.7,1535,884,651,57.59,2.20,-2.71,57.9,1.10,257.2800,1792.2800,16.76
140,330,500,0.21,40,0.7,0.6,1536,903,633,58.79,2.02,-2.59,51.9,1.11,257.2600,1793.2600,16.75
140,330,500,0.21,25,0.4,0.3,1538,850,688,55.27,1.46,-1.54,28.4,1.17,255.8000,1793.8000,16.63
140,330,500,0.21,35,0.7,0.6,1537,906,631,58.95,1.97,-2.54,50.5,1.11,254.7500,1791.7500,16.57
140,330,500,0.21,15,0.8,0.6,1537,864,673,56.21,1.99,-2.29,46.8,1.12,254.6800,1791.6800,16.57
140,330,500,0.21,20,0.4,0.3,1538,843,695,54.81,1.37,-1.40,25.2,1.19,253.1600,1791.1600,16.46
140,330,500,0.21,20,0.8,0.6,1537,865,672,56.28,2.02,-2.34,48.4,1.11,251.9000,1788.9000,16.39
140,330,500,0.21,5,0.9,0.7,1535,869,666,56.61,2.13,-2.51,54.2,1.11,250.9500,1785.9500,16.35
140,330,500,0.21,35,0.6,0.6,1537,938,599,61.03,1.83,-2.56,47.2,1.12,250.7600,1787.7600,16.31
140,330,500,0.21,5,0.8,0.3,1537,618,919,40.21,1.92,-1.10,24.9,1.18,250.5600,1787.5600,16.30
140,330,500,0.21,10,1.0,0.7,1535,835,700,54.40,2.36,-2.56,59.7,1.10,250.0000,1785.0000,16.29
140,330,500,0.21,10,0.8,0.6,1537,861,676,56.02,1.95,-2.22,45.3,1.12,250.2400,1787.2400,16.28
140,330,500,0.21,35,0.8,0.6,1537,876,661,56.99,2.11,-2.52,53.1,1.11,248.9000,1785.9000,16.19
140,330,500,0.21,40,0.3,0.4,1537,947,590,61.61,1.52,-2.14,37.2,1.14,248.3000,1785.3000,16.15
140,330,500,0.21,40,0.6,0.6,1536,930,606,60.55,1.89,-2.60,49.0,1.11,247.8400,1783.8400,16.14
140,330,500,0.21,40,0.4,0.5,1537,957,580,62.26,1.63,-2.39,41.1,1.13,247.9000,1784.9000,16.13
140,330,500,0.21,10,0.7,0.6,1538,907,631,58.97,1.74,-2.23,41.2,1.13,246.9700,1784.9700,16.06
140,330,500,0.21,40,0.9,0.7,1535,890,645,57.98,2.25,-2.83,61.5,1.10,245.9100,1780.9100,16.02
140,330,500,0.21,10,0.8,0.5,1537,798,739,51.92,1.96,-1.88,38.8,1.13,245.9200,1782.9200,16.00
140,330,500,0.21,10,0.7,0.5,1538,845,693,54.94,1.75,-1.88,35.1,1.13,245.7500,1783.7500,15.98
140,330,500,0.21,15,0.7,0.6,1537,904,633,58.82,1.80,-2.29,43.2,1.12,245.3200,1782.3200,15.96
140,330,500,0.21,10,0.8,0.4,1537,722,815,46.97,1.96,-1.53,32.6,1.14,244.2800,1781.2800,15.89
140,330,500,0.21,40,0.8,0.6,1536,875,661,56.97,2.14,-2.57,54.5,1.10,243.2200,1779.2200,15.83
140,330,500,0.21,15,0.6,0.5,1539,894,645,58.09,1.62,-1.97,34.3,1.14,243.5600,1782.5600,15.83
140,330,500,0.21,20,0.7,0.6,1537,901,636,58.62,1.85,-2.35,45.0,1.12,241.7600,1778.7600,15.73
140,330,500,0.21,10,0.7,0.4,1538,768,770,49.93,1.76,-1.53,29.5,1.15,241.8800,1779.8800,15.73
140,330,500,0.21,50,0.4,0.5,1536,944,592,61.46,1.76,-2.51,45.3,1.12,241.2200,1777.2200,15.70
140,330,500,0.21,45,0.4,0.5,1536,948,588,61.72,1.71,-2.46,43.4,1.12,240.1200,1776.1200,15.63
140,330,500,0.21,30,0.7,0.6,1537,903,634,58.75,1.94,-2.49,49.0,1.11,239.2600,1776.2600,15.57
140,330,500,0.21,15,0.6,0.6,1539,951,588,61.79,1.60,-2.31,39.3,1.13,238.4200,1777.4200,15.49
140,330,500,0.21,5,1.0,0.7,1535,827,708,53.88,2.36,-2.51,59.3,1.10,237.6000,1772.6000,15.48
140,330,500,0.21,30,0.9,0.7,1535,884,651,57.59,2.22,-2.75,59.2,1.09,237.0900,1772.0900,15.45
140,330,500,0.21,45,1.0,0.6,1535,839,696,54.66,2.36,-2.60,60.8,1.09,236.7000,1771.7000,15.42
140,330,500,0.21,20,0.9,0.8,1535,916,619,59.67,2.19,-2.96,62.6,1.09,236.6700,1771.6700,15.42
