杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,200,500,0.21,50,0.9,0.3,1535,877,658,57.13,1.95,-2.15,48.3,1.21,292.0000,1827.0000,19.02
100,200,500,0.21,50,1.0,0.3,1535,862,673,56.16,2.00,-2.13,49.5,1.20,287.5000,1822.5000,18.73
100,200,500,0.21,35,0.9,0.3,1537,853,684,55.50,1.92,-1.98,42.7,1.21,282.6000,1819.6000,18.39
100,200,500,0.21,45,0.9,0.3,1536,868,668,56.51,1.94,-2.10,46.2,1.20,281.8000,1817.8000,18.35
100,200,500,0.21,50,0.6,0.3,1536,927,609,60.35,1.75,-2.20,44.4,1.21,281.5000,1817.5000,18.33
100,200,500,0.21,40,0.9,0.3,1537,860,677,55.95,1.93,-2.04,44.3,1.20,281.1000,1818.1000,18.29
100,200,500,0.21,50,0.7,0.3,1536,905,631,58.92,1.82,-2.18,45.9,1.20,275.7000,1811.7000,17.95
100,200,500,0.21,35,1.0,0.3,1536,831,705,54.10,2.00,-1.97,44.2,1.20,275.5000,1811.5000,17.94
100,200,500,0.21,45,1.0,0.3,1535,849,686,55.31,2.00,-2.08,47.5,1.19,270.0000,1805.0000,17.59
100,200,500,0.21,40,1.0,0.3,1536,839,697,54.62,2.00,-2.02,45.7,1.19,268.5000,1804.5000,17.48
100,200,500,0.21,25,1.0,0.3,1536,798,738,51.95,2.00,-1.80,40.6,1.20,265.0000,1801.0000,17.25
100,200,500,0.21,50,0.8,0.3,1536,884,652,57.55,1.89,-2.15,47.2,1.19,264.2000,1800.2000,17.20
100,200,500,0.21,35,0.8,0.3,1537,869,668,56.54,1.84,-1.99,41.3,1.20,263.8000,1800.8000,17.16
100,200,500,0.21,50,0.5,0.3,1536,943,593,61.39,1.68,-2.22,43.4,1.20,263.5000,1799.5000,17.15
100,200,500,0.21,40,0.8,0.3,1537,873,664,56.80,1.86,-2.05,43.0,1.19,262.0000,1799.0000,17.05
100,200,500,0.21,35,0.7,0.3,1537,893,644,58.10,1.74,-2.01,39.6,1.20,261.8000,1798.8000,17.03
100,200,500,0.21,25,0.9,0.3,1537,821,716,53.42,1.90,-1.81,38.8,1.20,261.4000,1798.4000,17.01
100,200,500,0.21,40,0.7,0.3,1537,893,644,58.10,1.78,-2.07,41.6,1.19,258.0000,1795.0000,16.79
100,200,500,0.21,45,0.8,0.3,1536,877,659,57.10,1.87,-2.11,45.0,1.18,256.5000,1792.5000,16.70
100,200,500,0.21,40,0.6,0.3,1537,916,621,59.60,1.69,-2.09,40.0,1.20,254.1000,1791.1000,16.53
100,200,500,0.21,30,0.9,0.3,1537,833,704,54.20,1.91,-1.90,41.0,1.19,253.5000,1790.5000,16.49
100,200,500,0.21,20,0.9,0.3,1537,805,732,52.37,1.89,-1.73,36.6,1.20,252.0000,1789.0000,16.40
100,200,500,0.21,20,1.0,0.3,1536,778,758,50.65,2.00,-1.72,38.6,1.19,251.0000,1787.0000,16.34
100,200,500,0.21,45,0.7,0.3,1536,894,642,58.20,1.80,-2.12,43.7,1.18,250.8000,1786.8000,16.33
100,200,500,0.21,45,0.6,0.3,1536,915,621,59.57,1.73,-2.14,42.2,1.19,249.1000,1785.1000,16.22
100,200,500,0.21,30,1.0,0.3,1536,810,726,52.73,2.00,-1.89,42.6,1.18,247.5000,1783.5000,16.11
100,200,500,0.21,35,0.6,0.3,1537,916,621,59.60,1.65,-2.03,38.0,1.20,247.5000,1784.5000,16.10
100,200,500,0.21,15,0.9,0.3,1537,789,748,51.33,1.87,-1.65,34.5,1.20,241.1000,1778.1000,15.69
100,200,500,0.21,25,0.8,0.3,1537,840,697,54.65,1.79,-1.82,37.1,1.19,237.7000,1774.7000,15.47
100,200,500,0.21,30,0.8,0.3,1537,851,686,55.37,1.82,-1.91,39.5,1.18,236.3000,1773.3000,15.37
100,200,500,0.21,50,0.4,0.3,1536,957,579,62.30,1.60,-2.24,42.3,1.18,234.5000,1770.5000,15.27
100,200,500,0.21,15,1.0,0.3,1536,756,780,49.22,2.00,-1.64,36.7,1.18,233.5000,1769.5000,15.20
100,200,500,0.21,25,0.7,0.3,1538,868,670,56.44,1.68,-1.83,35.2,1.19,231.0000,1769.0000,15.02
100,200,500,0.21,50,0.3,0.3,1536,985,551,64.13,1.51,-2.27,41.2,1.18,229.3000,1765.3000,14.93
100,200,500,0.21,30,0.7,0.3,1537,875,662,56.93,1.72,-1.93,37.8,1.18,229.3000,1766.3000,14.92
100,200,500,0.21,45,0.5,0.3,1536,932,604,60.68,1.65,-2.16,40.9,1.18,229.0000,1765.0000,14.91
100,200,500,0.21,40,0.5,0.3,1537,934,603,60.77,1.60,-2.10,38.5,1.18,228.5000,1765.5000,14.87
100,200,500,0.21,20,0.8,0.3,1537,826,711,53.74,1.77,-1.74,34.8,1.18,225.1000,1762.1000,14.65
100,200,500,0.21,15,0.7,0.3,1539,857,682,55.69,1.58,-1.66,30.0,1.20,222.5000,1761.5000,14.46
100,200,500,0.21,30,0.6,0.3,1537,899,638,58.49,1.62,-1.94,36.0,1.17,212.7000,1749.7000,13.84
100,200,500,0.21,15,0.8,0.3,1537,814,723,52.96,1.73,-1.65,32.4,1.18,212.2000,1749.2000,13.81
100,200,500,0.21,45,0.4,0.3,1536,953,583,62.04,1.56,-2.18,39.7,1.17,211.3000,1747.3000,13.76
100,200,500,0.21,25,0.6,0.3,1538,894,644,58.13,1.57,-1.85,33.4,1.18,209.2000,1747.2000,13.60
