排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
1,48,720,0.46,108,74.07,20.8000,19.26,2.86,33.2
2,49,735,0.46,108,74.07,20.8000,19.26,2.86,33.4
3,50,750,0.46,108,74.07,20.8000,19.26,2.86,33.6
4,48,720,0.45,114,73.68,21.6000,18.95,2.80,33.7
5,49,735,0.45,114,73.68,21.6000,18.95,2.80,33.9
6,50,750,0.45,114,73.68,21.6000,18.95,2.80,34.1
7,48,720,0.44,121,73.55,22.8000,18.84,2.78,35.3
8,49,735,0.44,121,73.55,22.8000,18.84,2.78,35.4
9,50,750,0.44,121,73.55,22.8000,18.84,2.78,35.6
10,48,720,0.43,129,72.87,23.6000,18.29,2.69,35.8
11,49,735,0.43,129,72.87,23.6000,18.29,2.69,35.9
12,50,750,0.43,129,72.87,23.6000,18.29,2.69,36.1
13,48,720,0.42,137,72.26,24.4000,17.81,2.61,36.2
14,49,735,0.42,137,72.26,24.4000,17.81,2.61,36.4
15,50,750,0.42,137,72.26,24.4000,17.81,2.61,36.6
16,43,645,0.46,108,72.22,19.2000,17.78,2.60,29.8
17,44,660,0.46,108,72.22,19.2000,17.78,2.60,30.1
18,45,675,0.46,108,72.22,19.2000,17.78,2.60,30.4
19,46,690,0.46,108,72.22,19.2000,17.78,2.60,30.6
20,47,705,0.46,108,72.22,19.2000,17.78,2.60,30.9
21,43,645,0.45,114,71.93,20.0000,17.54,2.56,30.4
22,44,660,0.45,114,71.93,20.0000,17.54,2.56,30.7
23,45,675,0.45,114,71.93,20.0000,17.54,2.56,31.0
24,46,690,0.45,114,71.93,20.0000,17.54,2.56,31.2
25,47,705,0.45,114,71.93,20.0000,17.54,2.56,31.5
26,43,645,0.44,121,71.90,21.2000,17.52,2.56,32.0
27,44,660,0.44,121,71.90,21.2000,17.52,2.56,32.4
28,45,675,0.44,121,71.90,21.2000,17.52,2.56,32.7
29,46,690,0.44,121,71.90,21.2000,17.52,2.56,32.9
30,47,705,0.44,121,71.90,21.2000,17.52,2.56,33.1
31,48,720,0.41,150,71.33,25.6000,17.07,2.49,37.1
32,49,735,0.41,150,71.33,25.6000,17.07,2.49,37.2
33,50,750,0.41,150,71.33,25.6000,17.07,2.49,37.5
34,43,645,0.43,129,71.32,22.0000,17.05,2.49,32.7
35,44,660,0.43,129,71.32,22.0000,17.05,2.49,33.0
36,45,675,0.43,129,71.32,22.0000,17.05,2.49,33.3
37,46,690,0.43,129,71.32,22.0000,17.05,2.49,33.5
38,47,705,0.43,129,71.32,22.0000,17.05,2.49,33.7
39,41,615,0.46,108,71.30,18.4000,17.04,2.48,29.0
40,42,630,0.46,108,71.30,18.4000,17.04,2.48,29.2
41,43,645,0.42,137,70.80,22.8000,16.64,2.42,33.3
42,44,660,0.42,137,70.80,22.8000,16.64,2.42,33.6
43,45,675,0.42,137,70.80,22.8000,16.64,2.42,33.9
44,46,690,0.42,137,70.80,22.8000,16.64,2.42,34.1
45,47,705,0.42,137,70.80,22.8000,16.64,2.42,34.3
46,48,720,0.39,171,70.76,28.4000,16.61,2.42,36.8
47,49,735,0.39,171,70.76,28.4000,16.61,2.42,36.9
48,50,750,0.39,171,70.76,28.4000,16.61,2.42,37.2
49,48,720,0.4,159,70.44,26.0000,16.35,2.38,36.8
50,49,735,0.4,159,70.44,26.0000,16.35,2.38,37.0
51,50,750,0.4,159,70.44,26.0000,16.35,2.38,37.2
52,37,555,0.46,108,70.37,17.6000,16.30,2.38,27.4
53,38,570,0.46,108,70.37,17.6000,16.30,2.38,27.6
54,39,585,0.46,108,70.37,17.6000,16.30,2.38,27.8
55,40,600,0.46,108,70.37,17.6000,16.30,2.38,28.3
56,41,615,0.44,121,70.25,19.6000,16.20,2.36,31.2
57,42,630,0.44,121,70.25,19.6000,16.20,2.36,31.4
58,41,615,0.45,114,70.18,18.4000,16.14,2.35,29.6
59,42,630,0.45,114,70.18,18.4000,16.14,2.35,29.8
60,43,645,0.41,150,70.00,24.0000,16.00,2.33,34.4
61,44,660,0.41,150,70.00,24.0000,16.00,2.33,34.6
62,45,675,0.41,150,70.00,24.0000,16.00,2.33,34.9
63,46,690,0.41,150,70.00,24.0000,16.00,2.33,35.1
64,47,705,0.41,150,70.00,24.0000,16.00,2.33,35.3
65,48,720,0.38,179,69.83,28.4000,15.87,2.31,37.0
66,49,735,0.38,179,69.83,28.4000,15.87,2.31,37.2
67,50,750,0.38,179,69.83,28.4000,15.87,2.31,37.4
68,41,615,0.43,129,69.77,20.4000,15.81,2.31,31.8
69,42,630,0.43,129,69.77,20.4000,15.81,2.31,32.1
70,43,645,0.39,171,69.59,26.8000,15.67,2.29,34.2
71,44,660,0.39,171,69.59,26.8000,15.67,2.29,34.5
72,45,675,0.39,171,69.59,26.8000,15.67,2.29,34.8
73,46,690,0.39,171,69.59,26.8000,15.67,2.29,35.0
74,47,705,0.39,171,69.59,26.8000,15.67,2.29,35.2
75,33,495,0.46,108,69.44,16.8000,15.56,2.27,25.7
76,34,510,0.46,108,69.44,16.8000,15.56,2.27,25.9
77,35,525,0.46,108,69.44,16.8000,15.56,2.27,26.2
78,36,540,0.46,108,69.44,16.8000,15.56,2.27,26.4
79,37,555,0.44,121,69.42,18.8000,15.54,2.27,29.7
80,38,570,0.44,121,69.42,18.8000,15.54,2.27,29.9
81,39,585,0.44,121,69.42,18.8000,15.54,2.27,30.1
82,40,600,0.44,121,69.42,18.8000,15.54,2.27,30.6
83,41,615,0.42,137,69.34,21.2000,15.47,2.26,32.5
84,42,630,0.42,137,69.34,21.2000,15.47,2.26,32.8
85,37,555,0.45,114,69.30,17.6000,15.44,2.26,28.0
86,38,570,0.45,114,69.30,17.6000,15.44,2.26,28.2
87,39,585,0.45,114,69.30,17.6000,15.44,2.26,28.4
88,40,600,0.45,114,69.30,17.6000,15.44,2.26,28.9
89,43,645,0.4,159,69.18,24.4000,15.35,2.24,34.2
90,44,660,0.4,159,69.18,24.4000,15.35,2.24,34.4
91,45,675,0.4,159,69.18,24.4000,15.35,2.24,34.7
92,46,690,0.4,159,69.18,24.4000,15.35,2.24,34.9
93,47,705,0.4,159,69.18,24.4000,15.35,2.24,35.1
94,37,555,0.43,129,68.99,19.6000,15.19,2.22,30.3
95,38,570,0.43,129,68.99,19.6000,15.19,2.22,30.6
96,39,585,0.43,129,68.99,19.6000,15.19,2.22,30.8
97,40,600,0.43,129,68.99,19.6000,15.19,2.22,31.2
98,48,720,0.37,189,68.78,28.4000,15.03,2.20,37.2
99,49,735,0.37,189,68.78,28.4000,15.03,2.20,37.4
100,50,750,0.37,189,68.78,28.4000,15.03,2.20,37.7
101,43,645,0.38,179,68.72,26.8000,14.97,2.20,34.5
102,44,660,0.38,179,68.72,26.8000,14.97,2.20,34.8
103,45,675,0.38,179,68.72,26.8000,14.97,2.20,35.0
104,46,690,0.38,179,68.72,26.8000,14.97,2.20,35.2
105,47,705,0.38,179,68.72,26.8000,14.97,2.20,35.5
106,41,615,0.41,150,68.67,22.4000,14.93,2.19,33.7
107,42,630,0.41,150,68.67,22.4000,14.93,2.19,33.9
108,40,600,0.42,137,68.61,20.4000,14.89,2.19,32.0
109,33,495,0.44,121,68.60,18.0000,14.88,2.18,28.1
110,34,510,0.44,121,68.60,18.0000,14.88,2.18,28.3
111,35,525,0.44,121,68.60,18.0000,14.88,2.18,28.5
112,36,540,0.44,121,68.60,18.0000,14.88,2.18,28.8
113,30,450,0.46,108,68.52,16.0000,14.81,2.18,25.0
114,31,465,0.46,108,68.52,16.0000,14.81,2.18,25.2
115,32,480,0.46,108,68.52,16.0000,14.81,2.18,25.4
116,33,495,0.45,114,68.42,16.8000,14.74,2.17,26.4
117,34,510,0.45,114,68.42,16.8000,14.74,2.17,26.6
118,35,525,0.45,114,68.42,16.8000,14.74,2.17,26.8
119,36,540,0.45,114,68.42,16.8000,14.74,2.17,27.1
120,41,615,0.39,171,68.42,25.2000,14.74,2.17,33.5
121,42,630,0.39,171,68.42,25.2000,14.74,2.17,33.8
122,48,720,0.36,202,68.32,29.6000,14.65,2.16,38.0
123,49,735,0.36,202,68.32,29.6000,14.65,2.16,38.2
124,50,750,0.36,202,68.32,29.6000,14.65,2.16,38.5
125,34,510,0.43,129,68.22,18.8000,14.57,2.15,29.0
126,35,525,0.43,129,68.22,18.8000,14.57,2.15,29.3
127,36,540,0.43,129,68.22,18.8000,14.57,2.15,29.5
128,48,720,0.32,270,68.15,39.2000,14.52,2.14,37.3
129,49,735,0.32,270,68.15,39.2000,14.52,2.14,37.5
130,50,750,0.32,270,68.15,39.2000,14.52,2.14,37.8
131,40,600,0.41,150,68.00,21.6000,14.40,2.12,33.2
132,41,615,0.4,159,67.92,22.8000,14.34,2.12,33.4
133,42,630,0.4,159,67.92,22.8000,14.34,2.12,33.7
134,37,555,0.42,137,67.88,19.6000,14.31,2.11,31.0
135,38,570,0.42,137,67.88,19.6000,14.31,2.11,31.2
136,39,585,0.42,137,67.88,19.6000,14.31,2.11,31.5
137,48,720,0.33,252,67.86,36.0000,14.29,2.11,37.0
138,49,735,0.33,252,67.86,36.0000,14.29,2.11,37.2
139,50,750,0.33,252,67.86,36.0000,14.29,2.11,37.5
140,40,600,0.39,171,67.84,24.4000,14.27,2.11,33.0
141,48,720,0.34,233,67.81,33.2000,14.25,2.11,37.8
142,49,735,0.34,233,67.81,33.2000,14.25,2.11,38.1
143,50,750,0.34,233,67.81,33.2000,14.25,2.11,38.3
144,30,450,0.44,121,67.77,17.2000,14.21,2.10,27.4
145,31,465,0.44,121,67.77,17.2000,14.21,2.10,27.6
146,32,480,0.44,121,67.77,17.2000,14.21,2.10,27.8
147,43,645,0.37,189,67.72,26.8000,14.18,2.10,34.8
148,44,660,0.37,189,67.72,26.8000,14.18,2.10,35.1
149,45,675,0.37,189,67.72,26.8000,14.18,2.10,35.4
150,46,690,0.37,189,67.72,26.8000,14.18,2.10,35.6
151,47,705,0.37,189,67.72,26.8000,14.18,2.10,35.8
152,48,720,0.35,213,67.61,30.0000,14.08,2.09,37.8
153,49,735,0.35,213,67.61,30.0000,14.08,2.09,38.0
154,50,750,0.35,213,67.61,30.0000,14.08,2.09,38.2
155,41,615,0.38,179,67.60,25.2000,14.08,2.09,33.8
156,42,630,0.38,179,67.60,25.2000,14.08,2.09,34.0
157,30,450,0.45,114,67.54,16.0000,14.04,2.08,25.7
