交易编号,策略类型,包含关系,方向,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,跟踪止损激活,弱势收紧,最高价,最低价,跟踪止损价,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘,K3开盘,K3最高,K3最低,K3收盘
1,rule1,否,做多,2024-12-29 20:14,3402.50,2025-01-02 18:15,3474.68,377,5655分钟,2.121%,297.00%,2.9700,2.9700,止盈,是,是,3476.00,,,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50,,,,
2,rule1,否,做多,2024-12-30 04:44,3349.71,2024-12-30 09:15,3428.67,19,285分钟,2.357%,330.00%,5.2800,8.2500,止盈,否,否,3430.87,,,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71,,,,
3,rule1,否,做多,2024-12-30 13:14,3399.19,2025-01-02 18:00,3471.30,308,4620分钟,2.121%,297.00%,4.7520,13.0020,止盈,是,是,3472.97,,,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19,,,,
4,rule1,否,做多,2024-12-30 15:44,3422.57,2025-01-02 22:30,3495.18,316,4740分钟,2.121%,297.00%,2.9700,15.9720,止盈,是,是,3509.99,,,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57,,,,
5,rule1,否,做多,2024-12-31 00:14,3329.82,2024-12-31 01:45,3408.31,7,105分钟,2.357%,330.00%,3.3000,19.2720,止盈,否,否,3408.56,,,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82,,,,
6,rule1,否,做空,2024-12-31 14:29,3356.82,2025-01-03 22:15,3389.23,320,4800分钟,-0.965%,-135.15%,-1.3515,17.9205,止损,是,是,,3313.88,3512.71,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82,,,,
7,rule1,否,做空,2025-01-02 18:29,3471.17,2025-01-04 03:30,3504.68,133,1995分钟,-0.965%,-135.15%,-1.3515,16.5690,止损,是,是,,3421.79,3627.10,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17,,,,
8,rule1,否,做多,2025-01-02 23:14,3485.62,2025-01-03 23:45,3559.56,99,1485分钟,2.121%,297.00%,4.7520,21.3210,止盈,是,是,3576.00,,,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62,,,,
9,rule1,否,做多,2025-01-03 01:14,3477.66,2025-01-03 23:30,3551.44,90,1350分钟,2.121%,297.00%,4.7520,26.0730,止盈,是,是,3557.46,,,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66,,,,
10,rule1,否,做多,2025-01-04 05:14,3606.67,2025-01-06 10:30,3683.18,214,3210分钟,2.121%,297.00%,2.9700,29.0430,止盈,是,是,3684.03,,,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67,,,,
11,rule1,否,做多,2025-01-04 16:14,3603.61,2025-01-06 10:00,3680.06,168,2520分钟,2.121%,297.00%,2.9700,32.0130,止盈,是,是,3682.28,,,3603.45,3604.92,3593.20,3594.04,3594.05,3603.62,3592.21,3603.61,,,,
12,rule1,否,做多,2025-01-04 20:59,3635.52,2025-01-06 23:45,3712.64,204,3060分钟,2.121%,297.00%,2.9700,34.9830,止盈,是,是,3714.49,,,3635.97,3643.71,3626.79,3627.98,3627.99,3638.71,3622.52,3635.52,,,,
13,rule1,否,做空,2025-01-04 21:29,3638.49,2025-01-07 22:45,3561.30,294,4410分钟,2.121%,297.00%,2.9700,37.9530,止盈,是,是,,3532.41,,3635.53,3647.59,3626.32,3644.14,3644.22,3649.04,3634.18,3638.49,,,,
14,rule1,否,做多,2025-01-06 11:14,3665.92,2025-01-07 00:30,3743.69,54,810分钟,2.121%,297.00%,2.9700,40.9230,止盈,是,是,3744.83,,,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92,,,,
15,rule1,否,做空,2025-01-06 22:44,3640.21,2025-01-07 22:45,3562.99,97,1455分钟,2.121%,297.00%,2.9700,43.8930,止盈,是,是,,3532.41,,3642.23,3643.37,3622.10,3634.23,3634.23,3651.52,3630.94,3640.21,,,,
16,rule1,否,做空,2025-01-07 08:44,3680.55,2025-01-07 22:45,3602.47,57,855分钟,2.121%,297.00%,2.9700,46.8630,止盈,是,是,,3532.41,,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55,,,,
17,rule1,否,做多,2025-01-07 11:14,3683.14,2025-01-07 23:30,3647.58,50,750分钟,-0.965%,-135.15%,-1.3515,45.5115,止损,是,是,3686.55,,3465.36,3686.03,3687.00,3676.00,3678.07,3678.07,3688.68,3674.24,3683.14,,,,
18,rule1,否,做空,2025-01-08 00:44,3484.90,2025-01-08 03:30,3402.76,12,180分钟,2.357%,330.00%,3.3000,48.8115,止盈,否,否,,3372.71,,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90,,,,
19,rule1,否,做空,2025-01-08 02:14,3449.53,2025-01-08 04:30,3368.22,10,150分钟,2.357%,330.00%,3.3000,52.1115,止盈,否,否,,3366.00,,3451.60,3453.00,3420.00,3442.55,3442.56,3458.96,3440.05,3449.53,,,,
20,rule1,否,做空,2025-01-08 05:29,3400.55,2025-01-08 14:30,3320.39,37,555分钟,2.357%,330.00%,5.2800,57.3915,止盈,否,否,,3314.17,,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55,,,,
21,rule1,否,做多,2025-01-08 06:14,3378.75,2025-01-09 01:30,3346.13,78,1170分钟,-0.965%,-135.15%,-5.4060,51.9855,止损,是,是,3415.10,,3210.19,3383.35,3386.21,3361.77,3363.32,3363.31,3385.16,3356.31,3378.75,,,,
22,rule1,否,做空,2025-01-08 18:44,3357.85,2025-01-09 01:00,3278.70,26,390分钟,2.357%,330.00%,13.2000,65.1855,止盈,否,否,,3256.29,,3354.99,3373.32,3350.89,3372.93,3372.93,3373.37,3357.36,3357.85,,,,
23,rule1,否,做空,2025-01-08 19:59,3349.79,2025-01-09 01:00,3270.83,21,315分钟,2.357%,330.00%,3.3000,68.4855,止盈,否,否,,3256.29,,3350.36,3351.67,3323.00,3341.11,3341.17,3356.07,3340.62,3349.79,,,,
24,rule1,否,做多,2025-01-09 00:14,3336.62,2025-01-09 01:30,3210.31,6,90分钟,-3.786%,-530.00%,-5.3000,63.1855,止损,否,否,,,,3338.27,3349.70,3333.63,3346.73,3346.72,3347.40,3326.46,3336.62,,,,
25,rule1,否,做空,2025-01-09 03:14,3288.81,2025-01-09 21:45,3219.04,75,1125分钟,2.121%,297.00%,4.7520,67.9375,止盈,是,是,,3213.00,,3293.04,3293.43,3259.10,3282.83,3282.84,3309.61,3272.05,3288.81,,,,
26,rule1,否,做多,2025-01-09 04:29,3281.53,2025-01-13 19:30,3244.26,445,6675分钟,-1.136%,-159.00%,-2.5440,65.3935,止损,是,否,3357.27,,3088.69,3280.68,3288.37,3267.18,3267.71,3267.68,3283.48,3266.08,3281.53,,,,
27,rule1,否,做多,2025-01-09 05:29,3286.00,2025-01-13 19:30,3248.68,441,6615分钟,-1.136%,-159.00%,-1.5900,63.8035,止损,是,否,3357.27,,3088.69,3285.68,3293.57,3277.31,3277.82,3277.72,3298.00,3270.00,3286.00,,,,
28,rule1,否,做多,2025-01-09 12:29,3320.71,2025-01-13 17:30,3288.65,405,6075分钟,-0.965%,-135.15%,-2.1624,61.6411,止损,是,是,3343.36,,3142.76,3324.71,3327.50,3312.95,3314.10,3314.10,3322.44,3312.13,3320.71,,,,
29,rule1,否,做多,2025-01-09 22:14,3241.40,2025-01-09 23:45,3317.80,7,105分钟,2.357%,330.00%,13.2000,74.8411,止盈,否,否,3337.00,,,3252.98,3256.92,3213.00,3221.04,3221.04,3248.00,3210.28,3241.40,,,,
30,rule1,否,做空,2025-01-10 02:29,3255.41,2025-01-10 04:00,3178.68,7,105分钟,2.357%,330.00%,5.2800,80.1211,止盈,否,否,,3166.00,,3250.46,3263.15,3245.63,3260.66,3260.66,3263.50,3246.02,3255.41,,,,
31,rule1,否,做多,2025-01-10 08:29,3219.60,2025-01-10 15:30,3295.49,29,435分钟,2.357%,330.00%,3.3000,83.4211,止盈,否,否,3310.91,,,3219.20,3233.79,3218.58,3227.21,3227.21,3232.37,3214.11,3219.60,,,,
32,rule1,否,做多,2025-01-10 18:44,3307.35,2025-01-13 17:30,3275.42,284,4260分钟,-0.965%,-135.15%,-1.3515,82.0696,止损,是,是,3339.00,,3138.66,3306.65,3309.00,3299.54,3299.67,3299.67,3308.97,3297.84,3307.35,,,,
33,rule1,否,做多,2025-01-13 20:14,3070.40,2025-01-13 22:30,2954.16,10,150分钟,-3.786%,-530.00%,-21.2000,60.8696,止损,否,否,,,,3075.49,3085.50,3055.88,3057.16,3057.15,3085.54,3044.57,3070.40,,,,
34,rule1,否,做空,2025-01-13 22:59,3034.41,2025-01-14 10:15,3063.70,46,690分钟,-0.965%,-135.15%,-5.4060,55.4636,止损,是,是,,2986.40,3165.58,3047.23,3047.76,2920.00,3019.95,3019.96,3053.36,3009.61,3034.41,,,,
35,rule1,否,做空,2025-01-14 01:29,3026.02,2025-01-14 06:15,3140.58,20,300分钟,-3.786%,-530.00%,-5.3000,50.1636,止损,否,否,,,,3009.91,3030.67,3004.20,3018.61,3018.60,3031.16,3017.43,3026.02,,,,
36,rule1,否,做多,2025-01-14 01:59,3020.79,2025-01-14 04:45,3091.99,12,180分钟,2.357%,330.00%,13.2000,63.3636,止盈,否,否,3104.85,,,3026.02,3037.08,3008.29,3010.34,3010.33,3021.31,3005.53,3020.79,,,,
37,rule1,否,做空,2025-01-14 03:14,3015.72,2025-01-14 06:00,3129.89,12,180分钟,-3.786%,-530.00%,-5.3000,58.0636,止损,否,否,,,,2999.82,3016.00,2994.49,3007.60,3007.61,3026.71,3006.00,3015.72,,,,
38,rule1,否,做多,2025-01-14 08:29,3135.99,2025-01-14 17:15,3209.91,36,540分钟,2.357%,330.00%,3.3000,61.3636,止盈,否,否,3237.96,,,3137.51,3139.19,3128.21,3128.64,3128.64,3148.54,3126.80,3135.99,,,,
39,rule1,否,做空,2025-01-14 12:29,3162.62,2025-01-15 23:15,3193.15,140,2100分钟,-0.965%,-135.15%,-1.3515,60.0121,止损,是,是,,3158.18,3347.67,3158.87,3166.94,3158.86,3166.94,3166.94,3170.86,3161.76,3162.62,,,,
40,rule1,否,做多,2025-01-14 14:14,3168.28,2025-01-14 17:30,3242.96,14,210分钟,2.357%,330.00%,3.3000,63.3121,止盈,否,否,3250.94,,,3168.85,3169.75,3159.60,3161.99,3162.00,3171.54,3158.18,3168.28,,,,
41,rule1,否,做多,2025-01-14 23:14,3210.78,2025-01-15 21:30,3278.89,90,1350分钟,2.121%,297.00%,11.8800,75.1921,止盈,是,否,3284.74,,,3218.25,3218.54,3187.10,3191.56,3191.56,3213.94,3187.08,3210.78,,,,
42,rule1,否,做多,2025-01-14 23:44,3213.13,2025-01-15 21:30,3281.29,88,1320分钟,2.121%,297.00%,2.9700,78.1621,止盈,是,是,3284.74,,,3210.78,3216.11,3196.38,3202.77,3202.77,3213.15,3196.03,3213.13,,,,
43,rule1,否,做空,2025-01-15 00:59,3191.13,2025-01-16 02:45,3221.94,104,1560分钟,-0.965%,-135.15%,-2.1624,75.9997,止损,是,是,,3184.02,3375.06,3192.52,3195.68,3180.17,3182.46,3182.46,3196.32,3180.73,3191.13,,,,
44,rule1,否,做空,2025-01-15 23:44,3339.21,2025-01-16 04:15,3465.62,19,285分钟,-3.786%,-530.00%,-8.4800,67.5197,止损,否,否,,,,3335.00,3352.94,3330.01,3349.12,3349.11,3353.82,3336.25,3339.21,,,,
45,rule1,否,做多,2025-01-16 01:14,3347.95,2025-01-16 03:45,3426.87,11,165分钟,2.357%,330.00%,3.3000,70.8197,止盈,否,否,3442.59,,,3348.04,3350.74,3338.45,3339.49,3339.49,3349.17,3337.50,3347.95,,,,
46,rule1,否,做空,2025-01-16 14:44,3377.54,2025-01-16 22:30,3297.93,32,480分钟,2.357%,330.00%,3.3000,74.1197,止盈,否,否,,3287.43,,3373.33,3382.80,3369.00,3382.00,3382.00,3388.44,3377.00,3377.54,,,,
47,rule1,否,做空,2025-01-17 00:44,3336.57,2025-01-18 04:15,3368.78,111,1665分钟,-0.965%,-135.15%,-1.3515,72.7682,止损,是,是,,3269.00,3465.14,3340.74,3352.81,3332.80,3350.49,3350.49,3355.43,3333.87,3336.57,,,,
48,rule1,否,做多,2025-01-17 05:59,3320.08,2025-01-17 16:30,3390.51,43,645分钟,2.121%,297.00%,2.9700,75.7382,止盈,是,否,3402.34,,,3320.08,3328.75,3316.32,3327.56,3327.56,3328.91,3315.28,3320.08,,,,
49,rule1,否,做多,2025-01-17 12:29,3357.32,2025-01-17 18:00,3436.46,23,345分钟,2.357%,330.00%,5.2800,81.0182,止盈,否,否,3439.00,,,3361.01,3364.94,3348.27,3349.14,3349.13,3358.01,3347.79,3357.32,,,,
50,rule1,否,做多,2025-01-17 19:14,3418.48,2025-01-18 04:30,3499.06,38,570分钟,2.357%,330.00%,3.3000,84.3182,止盈,是,是,3515.36,,,3419.79,3427.74,3417.34,3427.47,3427.47,3428.72,3416.68,3418.48,,,,
51,rule1,否,做空,2025-01-17 22:59,3428.87,2025-01-18 12:15,3356.13,54,810分钟,2.121%,297.00%,11.8800,96.1982,止盈,是,是,,3350.90,,3424.20,3433.00,3402.01,3406.61,3406.60,3433.09,3404.44,3428.87,,,,
52,rule1,否,做多,2025-01-18 12:59,3365.69,2025-01-18 18:00,3238.27,21,315分钟,-3.786%,-530.00%,-5.3000,90.8982,止损,否,否,,,,3363.02,3378.29,3358.50,3372.57,3372.57,3373.06,3352.68,3365.69,,,,
53,rule1,否,做多,2025-01-18 17:14,3283.16,2025-01-19 09:00,3352.81,64,960分钟,2.121%,297.00%,2.9700,93.8682,止盈,是,是,3365.93,,,3283.78,3295.77,3281.40,3293.21,3293.21,3301.20,3281.17,3283.16,,,,
54,rule1,否,做多,2025-01-19 01:14,3278.05,2025-01-19 09:00,3355.32,32,480分钟,2.357%,330.00%,13.2000,107.0682,止盈,否,否,3365.93,,,3276.49,3285.23,3253.89,3253.89,3253.90,3278.05,3253.46,3278.05,,,,
55,rule1,否,做多,2025-01-19 02:14,3269.11,2025-01-19 09:00,3346.17,28,420分钟,2.357%,330.00%,5.2800,112.3482,止盈,否,否,3365.93,,,3272.97,3282.02,3257.70,3258.20,3258.20,3274.66,3255.60,3269.11,,,,
56,rule1,否,做多,2025-01-19 13:29,3278.48,2025-01-19 17:15,3154.37,16,240分钟,-3.786%,-530.00%,-21.2000,91.1482,止损,否,否,,,,3283.51,3288.99,3262.72,3262.96,3263.00,3281.81,3259.90,3278.48,,,,
57,rule1,否,做多,2025-01-19 22:44,3369.38,2025-01-20 02:00,3448.80,14,210分钟,2.357%,330.00%,5.2800,96.4282,止盈,否,否,3448.99,,,3365.81,3389.28,3324.00,3352.01,3352.00,3369.44,3303.98,3369.38,,,,
58,rule1,否,做空,2025-01-20 00:44,3402.50,2025-01-20 05:15,3322.30,19,285分钟,2.357%,330.00%,13.2000,109.6282,止盈,否,否,,3208.00,,3391.41,3422.14,3390.36,3415.63,3415.63,3424.43,3400.00,3402.50,,,,
59,rule1,否,做空,2025-01-20 01:14,3406.40,2025-01-20 05:15,3326.11,17,255分钟,2.357%,330.00%,3.3000,112.9282,止盈,否,否,,3208.00,,3402.50,3419.38,3401.36,3410.74,3410.74,3424.61,3405.67,3406.40,,,,
60,rule1,否,做多,2025-01-20 06:14,3259.31,2025-01-20 14:30,3336.14,34,510分钟,2.357%,330.00%,13.2000,126.1282,止盈,否,否,3353.50,,,3254.09,3272.99,3213.78,3233.00,3233.00,3261.15,3156.70,3259.31,,,,
61,rule1,否,做多,2025-01-20 06:44,3253.01,2025-01-20 14:30,3329.69,32,480分钟,2.357%,330.00%,13.2000,139.3282,止盈,否,否,3353.50,,,3259.32,3312.81,3247.81,3293.90,3293.91,3294.51,3228.01,3253.01,,,,
62,rule1,否,做空,2025-01-20 09:44,3183.87,2025-01-20 13:00,3304.40,14,210分钟,-3.786%,-530.00%,-5.3000,134.0282,止损,否,否,,,,3204.91,3213.15,3175.09,3195.53,3195.55,3221.04,3180.00,3183.87,,,,
63,rule1,否,做空,2025-01-20 10:44,3238.89,2025-01-20 14:45,3361.51,17,255分钟,-3.786%,-530.00%,-21.2000,112.8282,止损,否,否,,,,3227.72,3269.82,3224.61,3268.20,3268.21,3274.80,3234.50,3238.89,,,,
64,rule1,否,做空,2025-01-20 18:14,3369.61,2025-01-20 20:15,3290.18,9,135分钟,2.357%,330.00%,3.3000,116.1282,止盈,否,否,,3257.20,,3371.50,3375.64,3354.60,3364.00,3364.01,3378.80,3358.64,3369.61,,,,
65,rule1,否,做多,2025-01-20 18:44,3373.00,2025-01-21 01:30,3245.31,28,420分钟,-3.786%,-530.00%,-21.2000,94.9282,止损,否,否,,,,3369.62,3391.16,3369.61,3388.86,3388.86,3390.97,3361.25,3373.00,,,,
66,rule1,否,做多,2025-01-20 19:14,3342.90,2025-01-21 01:30,3216.35,26,390分钟,-3.786%,-530.00%,-21.2000,73.7282,止损,否,否,,,,3373.01,3379.07,3340.33,3353.42,3353.42,3360.88,3334.32,3342.90,,,,
67,rule1,否,做空,2025-01-20 21:14,3312.55,2025-01-21 01:30,3234.47,18,270分钟,2.357%,330.00%,5.2800,79.0082,止盈,否,否,,3205.42,,3288.81,3313.79,3288.50,3304.02,3304.02,3321.80,3295.17,3312.55,,,,
68,rule1,否,做空,2025-01-21 00:29,3349.01,2025-01-21 01:00,3270.07,3,45分钟,2.357%,330.00%,13.2000,92.2082,止盈,否,否,,3267.84,,3335.91,3352.90,3277.74,3308.70,3308.71,3355.96,3301.51,3349.01,,,,
69,rule1,否,做多,2025-01-21 04:29,3324.60,2025-01-24 13:45,3395.13,326,4890分钟,2.121%,297.00%,4.7520,96.9602,止盈,是,是,3409.99,,,3343.49,3344.50,3324.01,3330.92,3330.95,3336.29,3314.00,3324.60,,,,
70,rule1,否,做多,2025-01-21 09:44,3237.43,2025-01-21 19:15,3313.74,39,585分钟,2.357%,330.00%,13.2000,110.1602,止盈,否,否,3314.00,,,3254.99,3255.37,3210.00,3215.15,3215.15,3248.67,3204.60,3237.43,,,,
71,rule1,否,做多,2025-01-21 13:59,3225.13,2025-01-21 18:45,3301.15,20,300分钟,2.357%,330.00%,3.3000,113.4602,止盈,否,否,3310.00,,,3239.80,3240.22,3220.00,3230.92,3230.92,3236.77,3217.07,3225.13,,,,
72,rule1,否,做多,2025-01-21 16:59,3254.14,2025-01-21 22:15,3330.84,22,330分钟,2.357%,330.00%,5.2800,118.7402,止盈,否,否,3333.99,,,3258.23,3259.24,3240.30,3243.40,3243.41,3255.20,3234.48,3254.14,,,,
73,rule1,否,做多,2025-01-21 19:59,3305.07,2025-01-24 13:15,3375.18,262,3930分钟,2.121%,297.00%,4.7520,123.4922,止盈,是,是,3375.59,,,3310.15,3312.96,3298.70,3298.99,3298.99,3308.40,3292.71,3305.07,,,,
74,rule1,否,做多,2025-01-21 20:44,3307.94,2025-01-24 13:30,3378.12,260,3900分钟,2.121%,297.00%,4.7520,128.2442,止盈,是,是,3378.96,,,3301.40,3326.74,3301.10,3315.60,3315.60,3315.80,3298.30,3307.94,,,,
75,rule1,否,做空,2025-01-22 00:29,3316.51,2025-01-23 02:45,3246.15,106,1590分钟,2.121%,297.00%,11.8800,140.1242,止盈,是,是,,3239.40,,3295.10,3344.00,3290.50,3340.08,3340.07,3349.17,3308.05,3316.51,,,,
76,rule1,否,做空,2025-01-23 08:29,3255.00,2025-01-27 10:00,3185.95,391,5865分钟,2.121%,297.00%,2.9700,143.0942,止盈,是,否,,3164.00,,3242.61,3257.06,3238.21,3250.60,3250.60,3257.73,3246.00,3255.00,,,,
77,rule1,否,做空,2025-01-24 22:59,3399.66,2025-01-25 07:00,3319.53,33,495分钟,2.357%,330.00%,13.2000,156.2942,止盈,否,否,,3304.11,,3400.77,3422.01,3378.56,3418.95,3418.95,3422.70,3395.33,3399.66,,,,
78,rule1,否,做多,2025-01-25 05:44,3332.00,2025-01-27 12:15,3299.83,219,3285分钟,-0.965%,-135.15%,-1.3515,154.9427,止损,是,是,3362.00,,3160.28,3332.98,3346.99,3331.00,3341.10,3341.09,3342.84,3328.21,3332.00,,,,
79,rule1,否,做多,2025-01-25 10:14,3301.54,2025-01-27 12:15,3269.67,201,3015分钟,-0.965%,-135.15%,-1.3515,153.5912,止损,是,是,3362.00,,3160.28,3302.58,3302.58,3292.14,3294.54,3294.54,3302.12,3289.33,3301.54,,,,
80,rule1,否,做多,2025-01-25 20:14,3302.21,2025-01-27 14:30,3264.71,170,2550分钟,-1.136%,-159.00%,-1.5900,152.0012,止损,是,否,3362.00,,3093.04,3299.29,3311.50,3299.00,3306.91,3306.91,3307.24,3298.79,3302.21,,,,
81,rule1,否,做多,2025-01-27 16:14,3067.01,2025-01-27 22:45,3139.30,27,405分钟,2.357%,330.00%,3.3000,155.3012,止盈,否,否,3146.61,,,3077.70,3083.80,3065.00,3070.80,3070.80,3072.55,3052.00,3067.01,,,,
82,rule1,否,做多,2025-01-27 17:44,3070.11,2025-01-27 22:45,3142.48,21,315分钟,2.357%,330.00%,13.2000,168.5012,止盈,否,否,3146.61,,,3078.43,3087.47,3060.00,3060.34,3060.31,3079.11,3058.43,3070.11,,,,
83,rule1,否,做空,2025-01-27 19:14,3051.80,2025-01-28 05:15,3081.26,41,615分钟,-0.965%,-135.15%,-2.1624,166.3388,止损,是,是,,3046.68,3229.48,3049.85,3055.96,3034.48,3038.39,3038.40,3058.50,3037.65,3051.80,,,,
84,rule1,否,做多,2025-01-27 21:44,3110.51,2025-01-28 05:00,3183.83,30,450分钟,2.357%,330.00%,5.2800,171.6188,止盈,否,否,3188.98,,,3133.59,3134.50,3110.08,3118.56,3118.60,3126.79,3109.60,3110.51,,,,
85,rule1,否,做多,2025-01-27 23:29,3139.98,2025-01-28 05:15,3213.99,24,360分钟,2.357%,330.00%,5.2800,176.8988,止盈,否,否,3239.00,,,3137.51,3142.58,3125.00,3128.07,3128.06,3144.24,3112.00,3139.98,,,,
86,rule1,否,做空,2025-01-28 22:44,3162.78,2025-01-29 05:30,3088.23,28,420分钟,2.357%,330.00%,5.2800,182.1788,止盈,否,否,,3066.00,,3161.49,3174.66,3158.38,3171.83,3171.84,3180.50,3160.00,3162.78,,,,
87,rule1,否,做空,2025-01-29 05:29,3099.85,2025-01-30 17:45,3129.77,146,2190分钟,-0.965%,-135.15%,-2.1624,180.0164,止损,是,是,,3040.03,3222.43,3095.42,3113.23,3093.98,3107.26,3107.25,3115.27,3095.35,3099.85,,,,
88,rule1,否,做多,2025-01-29 06:14,3070.17,2025-01-29 14:15,3142.54,33,495分钟,2.357%,330.00%,13.2000,193.2164,止盈,否,否,3146.00,,,3072.25,3081.84,3052.15,3053.51,3053.50,3070.25,3040.03,3070.17,,,,
89,rule1,否,做空,2025-01-29 17:59,3130.32,2025-01-30 03:15,3056.53,38,570分钟,2.357%,330.00%,5.2800,198.4964,止盈,是,是,,3054.06,,3126.01,3135.78,3126.01,3135.77,3135.78,3136.48,3128.50,3130.32,,,,
90,rule1,否,做多,2025-01-30 06:29,3141.74,2025-01-30 16:45,3208.39,42,630分钟,2.121%,297.00%,2.9700,201.4664,止盈,是,否,3215.73,,,3140.60,3142.80,3124.84,3133.37,3133.36,3144.43,3124.50,3141.74,,,,
91,rule1,否,做多,2025-01-30 07:14,3138.71,2025-01-30 12:00,3212.69,20,300分钟,2.357%,330.00%,5.2800,206.7464,止盈,否,否,3215.73,,,3143.44,3145.88,3131.87,3132.45,3132.45,3141.14,3129.25,3138.71,,,,
92,rule1,否,做多,2025-01-30 10:14,3144.38,2025-01-30 17:30,3218.50,30,450分钟,2.357%,330.00%,3.3000,210.0464,止盈,否,否,3221.04,,,3145.04,3146.25,3135.01,3138.39,3138.39,3145.22,3128.07,3144.38,,,,
93,rule1,否,做空,2025-01-30 16:14,3182.49,2025-01-31 22:30,3213.21,122,1830分钟,-0.965%,-135.15%,-1.3515,208.6949,止损,是,是,,3181.10,3371.97,3181.82,3191.70,3181.19,3191.04,3191.04,3197.45,3181.46,3182.49,,,,
94,rule1,否,做空,2025-01-30 19:14,3215.01,2025-01-31 23:30,3246.05,114,1710分钟,-0.965%,-135.15%,-1.3515,207.3434,止损,是,是,,3209.24,3401.79,3210.55,3219.69,3210.07,3219.69,3219.69,3220.94,3215.00,3215.01,,,,
95,rule1,否,做空,2025-01-30 23:44,3265.92,2025-01-31 23:30,3297.45,96,1440分钟,-0.965%,-135.15%,-5.4060,201.9374,止损,是,是,,3213.80,3406.63,3269.59,3269.94,3248.31,3252.14,3252.14,3274.00,3250.55,3265.92,,,,
96,rule1,否,做空,2025-01-31 01:59,3272.60,2025-01-31 23:30,3304.19,87,1305分钟,-0.965%,-135.15%,-1.3515,200.5859,止损,是,是,,3213.80,3406.63,3267.79,3272.69,3257.42,3259.51,3259.52,3274.23,3258.40,3272.60,,,,
97,rule1,否,做空,2025-02-01 00:14,3412.42,2025-02-01 02:30,3331.98,10,150分钟,2.357%,330.00%,13.2000,213.7859,止盈,否,否,,3294.97,,3400.99,3436.34,3398.51,3427.66,3427.65,3437.31,3410.20,3412.42,,,,
98,rule1,否,做多,2025-02-01 02:14,3381.52,2025-02-02 03:45,3348.88,103,1545分钟,-0.965%,-135.15%,-1.3515,212.4344,止损,是,是,3385.11,,3182.00,3384.09,3386.75,3370.34,3375.88,3375.87,3381.81,3367.22,3381.52,,,,
99,rule1,否,做空,2025-02-01 04:44,3318.87,2025-02-01 16:30,3248.46,48,720分钟,2.121%,297.00%,2.9700,215.4044,止盈,是,是,,3246.10,,3321.97,3325.22,3285.68,3312.32,3312.33,3326.78,3306.03,3318.87,,,,
100,rule1,否,做多,2025-02-01 06:29,3316.32,2025-02-02 06:30,3284.31,97,1455分钟,-0.965%,-135.15%,-5.4060,209.9984,止损,是,是,3331.98,,3132.06,3319.12,3321.00,3298.39,3300.82,3300.81,3317.08,3294.37,3316.32,,,,
101,rule1,否,做多,2025-02-01 18:29,3247.22,2025-02-02 11:15,3215.87,68,1020分钟,-0.965%,-135.15%,-1.3515,208.6469,止损,是,是,3273.15,,3076.76,3236.19,3248.30,3235.62,3243.10,3243.10,3248.66,3232.90,3247.22,,,,
102,rule1,否,做空,2025-02-02 01:59,3262.24,2025-02-02 03:45,3185.34,8,120分钟,2.357%,330.00%,3.3000,211.9469,止盈,否,否,,3178.07,,3263.13,3263.47,3252.00,3254.43,3254.43,3264.72,3254.42,3262.24,,,,
103,rule1,否,做多,2025-02-02 04:44,3170.92,2025-02-03 01:30,3140.31,84,1260分钟,-0.965%,-135.15%,-2.1624,209.7845,止损,是,是,3179.49,,2988.72,3176.84,3186.74,3162.80,3164.69,3164.69,3172.80,3151.71,3170.92,,,,
104,rule1,否,做多,2025-02-02 11:59,3077.97,2025-02-03 02:30,3048.26,59,885分钟,-0.965%,-135.15%,-1.3515,208.4330,止损,是,是,3139.00,,2950.66,3078.81,3095.67,3071.30,3085.75,3085.78,3095.00,3069.36,3077.97,,,,
105,rule1,否,做空,2025-02-02 16:14,3093.01,2025-02-03 00:45,3020.10,35,525分钟,2.357%,330.00%,5.2800,213.7130,止盈,是,是,,3003.53,,3090.19,3103.50,3088.15,3101.51,3101.50,3105.33,3090.25,3093.01,,,,
