杠杆倍数,止盈百分比,止损百分比,价格止盈%,价格止损%,总交易数,胜率%,盈利次数,亏损次数,平均盈利%,平均亏损%,盈亏比,平均持仓K线数,总盈亏USDT,最终资金USDT,总收益率%
150,100,390,0.667,2.600,1505,82.52,1242,263,0.667,-2.600,1.21,15.9,216.3000,1721.3000,14.37
150,100,400,0.667,2.667,1503,83.30,1252,251,0.667,-2.667,1.25,16.2,248.0000,1751.0000,16.50
150,100,410,0.667,2.733,1501,83.68,1256,245,0.667,-2.733,1.25,16.3,251.5000,1752.5000,16.76
150,100,420,0.667,2.800,1499,83.86,1257,242,0.667,-2.800,1.24,16.4,240.6000,1739.6000,16.05
150,100,430,0.667,2.867,1497,84.10,1259,238,0.667,-2.867,1.23,16.5,235.6000,1732.6000,15.74
150,100,440,0.667,2.933,1494,84.67,1265,229,0.667,-2.933,1.26,16.6,257.4000,1751.4000,17.23
150,100,450,0.667,3.000,1490,85.23,1270,220,0.667,-3.000,1.28,16.7,280.0000,1770.0000,18.79
150,100,460,0.667,3.067,1487,85.41,1270,217,0.667,-3.067,1.27,16.8,271.8000,1758.8000,18.28
150,100,470,0.667,3.133,1482,85.76,1271,211,0.667,-3.133,1.28,16.8,279.3000,1761.3000,18.85
150,100,480,0.667,3.200,1481,85.89,1272,209,0.667,-3.200,1.27,16.9,268.8000,1749.8000,18.15
150,100,490,0.667,3.267,1479,86.07,1273,206,0.667,-3.267,1.26,17.0,263.6000,1742.6000,17.82
150,100,500,0.667,3.333,1477,86.32,1275,202,0.667,-3.333,1.26,17.3,265.0000,1742.0000,17.94
150,110,300,0.733,2.000,1519,75.05,1140,379,0.733,-2.000,1.10,15.4,117.0000,1636.0000,7.70
150,110,310,0.733,2.067,1513,75.81,1147,366,0.733,-2.067,1.11,15.7,127.1000,1640.1000,8.40
150,110,320,0.733,2.133,1511,76.37,1154,357,0.733,-2.133,1.11,16.0,127.0000,1638.0000,8.41
150,110,330,0.733,2.200,1508,76.92,1160,348,0.733,-2.200,1.11,16.3,127.6000,1635.6000,8.46
150,110,340,0.733,2.267,1508,77.39,1167,341,0.733,-2.267,1.11,16.5,124.3000,1632.3000,8.24
150,110,350,0.733,2.333,1507,77.84,1173,334,0.733,-2.333,1.10,16.9,121.3000,1628.3000,8.05
150,110,360,0.733,2.400,1506,78.42,1181,325,0.733,-2.400,1.11,17.1,129.1000,1635.1000,8.57
150,110,370,0.733,2.467,1501,79.08,1187,314,0.733,-2.467,1.12,17.3,143.9000,1644.9000,9.59
150,110,380,0.733,2.533,1498,79.44,1190,308,0.733,-2.533,1.12,17.4,138.6000,1636.6000,9.25
150,110,390,0.733,2.600,1496,79.95,1196,300,0.733,-2.600,1.12,17.5,145.6000,1641.6000,9.73
150,110,400,0.733,2.667,1493,80.78,1206,287,0.733,-2.667,1.16,17.7,178.6000,1671.6000,11.96
150,110,410,0.733,2.733,1491,81.15,1210,281,0.733,-2.733,1.16,17.9,178.9000,1669.9000,12.00
150,110,420,0.733,2.800,1489,81.53,1214,275,0.733,-2.800,1.16,18.0,180.4000,1669.4000,12.12
150,110,430,0.733,2.867,1487,81.84,1217,270,0.733,-2.867,1.15,18.1,177.7000,1664.7000,11.95
150,110,440,0.733,2.933,1484,82.48,1224,260,0.733,-2.933,1.18,18.3,202.4000,1686.4000,13.64
150,110,450,0.733,3.000,1479,83.10,1229,250,0.733,-3.000,1.20,18.3,226.9000,1705.9000,15.34
150,110,460,0.733,3.067,1475,83.32,1229,246,0.733,-3.067,1.19,18.4,220.3000,1695.3000,14.94
150,110,470,0.733,3.133,1470,83.67,1230,240,0.733,-3.133,1.20,18.4,225.0000,1695.0000,15.31
150,110,480,0.733,3.200,1468,83.86,1231,237,0.733,-3.200,1.19,18.5,216.5000,1684.5000,14.75
150,110,490,0.733,3.267,1466,84.04,1232,234,0.733,-3.267,1.18,18.6,208.6000,1674.6000,14.23
150,110,500,0.733,3.333,1464,84.29,1234,230,0.733,-3.333,1.18,19.0,207.4000,1671.4000,14.17
150,120,300,0.800,2.000,1514,73.51,1113,401,0.800,-2.000,1.11,16.6,132.6000,1646.6000,8.76
150,120,310,0.800,2.067,1507,74.39,1121,386,0.800,-2.067,1.12,16.9,148.6000,1655.6000,9.86
150,120,320,0.800,2.133,1503,74.98,1127,376,0.800,-2.133,1.12,17.2,149.2000,1652.2000,9.93
150,120,330,0.800,2.200,1499,75.52,1132,367,0.800,-2.200,1.12,17.4,147.3000,1646.3000,9.83
150,120,340,0.800,2.267,1499,75.98,1139,360,0.800,-2.267,1.12,17.7,142.8000,1641.8000,9.53
150,120,350,0.800,2.333,1497,76.49,1145,352,0.800,-2.333,1.12,18.0,142.0000,1639.0000,9.49
150,120,360,0.800,2.400,1496,77.07,1153,343,0.800,-2.400,1.12,18.3,148.8000,1644.8000,9.95
150,120,370,0.800,2.467,1491,77.73,1159,332,0.800,-2.467,1.13,18.4,162.4000,1653.4000,10.89
150,120,380,0.800,2.533,1487,78.14,1162,325,0.800,-2.533,1.13,18.5,159.4000,1646.4000,10.72
150,120,390,0.800,2.600,1485,78.65,1168,317,0.800,-2.600,1.13,18.7,165.3000,1650.3000,11.13
150,120,400,0.800,2.667,1481,79.47,1177,304,0.800,-2.667,1.16,18.9,196.4000,1677.4000,13.26
150,120,410,0.800,2.733,1479,79.85,1181,298,0.800,-2.733,1.16,19.1,195.4000,1674.4000,13.21
150,120,420,0.800,2.800,1477,80.23,1185,292,0.800,-2.800,1.16,19.2,195.6000,1672.6000,13.24
150,120,430,0.800,2.867,1475,80.54,1188,287,0.800,-2.867,1.16,19.4,191.5000,1666.5000,12.98
150,120,440,0.800,2.933,1472,81.18,1195,277,0.800,-2.933,1.18,19.5,215.2000,1687.2000,14.62
