排名,止盈%,止损%,K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比
1,20,10,0.1,1737,47.78,2.7838,0.16,1.05
2,25,10,0.1,1737,47.38,2.2593,0.13,1.04
3,20,10,0.3,330,46.97,1.6205,0.49,1.11
4,25,15,0.3,330,49.39,1.6180,0.49,1.11
5,25,10,0.3,330,45.45,1.3905,0.42,1.09
6,25,20,0.3,330,50.91,1.3614,0.41,1.08
7,20,15,0.3,330,50.30,1.3595,0.41,1.09
8,85,15,0.3,330,48.48,1.2895,0.39,1.08
9,80,15,0.3,330,48.48,1.2395,0.38,1.08
10,90,15,0.3,330,48.48,1.2085,0.37,1.08
11,95,15,0.3,330,48.48,1.2085,0.37,1.08
12,100,15,0.3,330,48.48,1.2085,0.37,1.08
13,75,15,0.3,330,48.48,1.1895,0.36,1.08
14,20,20,0.3,330,51.82,1.1528,0.35,1.07
15,70,15,0.3,330,48.48,1.1395,0.35,1.07
16,85,15,0.35,217,46.54,1.1393,0.53,1.10
17,25,15,0.35,217,47.47,1.1210,0.52,1.10
18,100,10,0.1,1737,47.04,1.1019,0.06,1.02
19,85,20,0.3,330,50.00,1.0982,0.33,1.07
20,65,15,0.3,330,48.48,1.0895,0.33,1.07
21,80,15,0.35,217,46.54,1.0893,0.50,1.10
22,90,15,0.35,217,46.54,1.0584,0.49,1.10
23,95,15,0.35,217,46.54,1.0584,0.49,1.10
24,100,15,0.35,217,46.54,1.0584,0.49,1.10
25,85,10,0.3,330,44.55,1.0564,0.32,1.07
26,95,10,0.1,1737,47.04,1.0519,0.06,1.02
27,80,20,0.3,330,50.00,1.0482,0.32,1.06
28,20,10,0.35,217,44.70,1.0447,0.48,1.10
29,60,15,0.3,330,48.48,1.0395,0.31,1.07
30,75,15,0.35,217,46.54,1.0393,0.48,1.09
31,85,10,0.1,1737,47.04,1.0329,0.06,1.02
32,85,10,0.35,217,42.40,1.0206,0.47,1.10
33,90,20,0.3,330,50.00,1.0173,0.31,1.06
34,95,20,0.3,330,50.00,1.0173,0.31,1.06
35,100,20,0.3,330,50.00,1.0173,0.31,1.06
36,25,10,0.35,217,43.32,1.0078,0.46,1.10
37,80,10,0.3,330,44.55,1.0064,0.30,1.07
38,90,10,0.1,1737,47.04,1.0019,0.06,1.02
39,75,20,0.3,330,50.00,0.9982,0.30,1.06
40,55,15,0.3,330,48.48,0.9895,0.30,1.06
41,70,15,0.35,217,46.54,0.9893,0.46,1.09
42,90,10,0.3,330,44.55,0.9755,0.30,1.07
43,95,10,0.3,330,44.55,0.9755,0.30,1.07
44,100,10,0.3,330,44.55,0.9755,0.30,1.07
45,80,10,0.35,217,42.40,0.9706,0.45,1.09
46,75,10,0.3,330,44.55,0.9564,0.29,1.06
47,70,20,0.3,330,50.00,0.9482,0.29,1.06
48,90,10,0.35,217,42.40,0.9396,0.43,1.09
49,95,10,0.35,217,42.40,0.9396,0.43,1.09
50,100,10,0.35,217,42.40,0.9396,0.43,1.09
51,65,15,0.35,217,46.54,0.9393,0.43,1.09
52,80,10,0.1,1737,47.04,0.9329,0.05,1.02
53,25,10,0.4,159,43.40,0.9300,0.58,1.12
54,75,10,0.35,217,42.40,0.9206,0.42,1.09
55,20,15,0.35,217,48.39,0.9139,0.42,1.09
56,50,15,0.3,330,48.48,0.9134,0.28,1.06
57,70,10,0.3,330,44.55,0.9064,0.27,1.06
58,65,20,0.3,330,50.00,0.8982,0.27,1.06
59,60,15,0.35,217,46.54,0.8893,0.41,1.08
60,25,25,0.3,330,51.21,0.8748,0.27,1.05
61,70,10,0.35,217,42.40,0.8706,0.40,1.08
62,65,10,0.3,330,44.55,0.8564,0.26,1.06
63,60,20,0.3,330,50.00,0.8482,0.26,1.05
64,55,15,0.35,217,46.54,0.8393,0.39,1.08
65,20,10,0.4,159,44.65,0.8373,0.53,1.11
66,45,15,0.3,330,48.48,0.8370,0.25,1.05
67,75,10,0.1,1737,47.04,0.8329,0.05,1.01
68,65,10,0.35,217,42.40,0.8206,0.38,1.08
69,60,10,0.3,330,44.55,0.8064,0.24,1.05
70,55,20,0.3,330,50.00,0.7982,0.24,1.05
71,60,10,0.35,217,42.40,0.7706,0.36,1.07
72,50,15,0.35,217,46.54,0.7632,0.35,1.07
73,55,10,0.3,330,44.55,0.7564,0.23,1.05
74,20,10,0.2,718,46.38,0.7334,0.10,1.03
75,70,10,0.1,1737,47.04,0.7329,0.04,1.01
76,50,20,0.3,330,50.00,0.7221,0.22,1.04
77,55,10,0.35,217,42.40,0.7206,0.33,1.07
78,20,25,0.3,330,52.12,0.7162,0.22,1.04
79,55,10,0.1,1737,47.04,0.7153,0.04,1.01
80,40,15,0.3,330,48.48,0.7016,0.21,1.04
81,85,10,0.4,159,42.14,0.6996,0.44,1.09
82,40,10,0.1,1737,47.09,0.6942,0.04,1.01
83,45,15,0.35,217,46.54,0.6868,0.32,1.06
84,50,10,0.3,330,44.55,0.6803,0.21,1.05
85,45,10,0.1,1737,47.04,0.6796,0.04,1.01
86,80,10,0.4,159,42.14,0.6496,0.41,1.08
87,45,20,0.3,330,50.00,0.6458,0.20,1.04
88,50,10,0.35,217,42.40,0.6444,0.30,1.06
89,30,15,0.3,330,48.48,0.6405,0.19,1.04
90,65,10,0.1,1737,47.04,0.6329,0.04,1.01
91,90,10,0.4,159,42.14,0.6187,0.39,1.08
92,95,10,0.4,159,42.14,0.6187,0.39,1.08
93,100,10,0.4,159,42.14,0.6187,0.39,1.08
94,85,25,0.3,330,50.30,0.6117,0.19,1.04
95,45,10,0.3,330,44.55,0.6040,0.18,1.04
96,75,10,0.4,159,42.14,0.5996,0.38,1.08
97,45,10,0.35,217,42.40,0.5681,0.26,1.05
98,80,25,0.3,330,50.30,0.5617,0.17,1.03
99,85,20,0.35,217,47.93,0.5575,0.26,1.05
100,40,15,0.35,217,46.54,0.5514,0.25,1.05
101,70,10,0.4,159,42.14,0.5496,0.35,1.07
102,35,15,0.3,330,48.48,0.5457,0.17,1.03
103,50,10,0.1,1737,47.04,0.5392,0.03,1.01
104,60,10,0.1,1737,47.04,0.5329,0.03,1.01
105,90,25,0.3,330,50.30,0.5307,0.16,1.03
106,95,25,0.3,330,50.30,0.5307,0.16,1.03
107,100,25,0.3,330,50.30,0.5307,0.16,1.03
108,75,25,0.3,330,50.30,0.5117,0.16,1.03
109,40,20,0.3,330,50.00,0.5104,0.15,1.03
110,80,20,0.35,217,47.93,0.5075,0.23,1.04
111,65,10,0.4,159,42.14,0.4996,0.31,1.06
112,90,20,0.35,217,47.93,0.4766,0.22,1.04
113,95,20,0.35,217,47.93,0.4766,0.22,1.04
114,100,20,0.35,217,47.93,0.4766,0.22,1.04
115,25,10,0.15,1121,46.03,0.4749,0.04,1.01
116,25,20,0.35,217,48.85,0.4738,0.22,1.04
117,40,10,0.3,330,44.55,0.4686,0.14,1.03
118,70,25,0.3,330,50.30,0.4617,0.14,1.03
119,25,10,0.2,718,45.40,0.4587,0.06,1.02
120,75,20,0.35,217,47.93,0.4575,0.21,1.04
121,60,10,0.4,159,42.14,0.4496,0.28,1.06
122,30,20,0.3,330,50.00,0.4493,0.14,1.03
123,40,10,0.35,217,42.40,0.4327,0.20,1.04
124,20,10,0.85,19,42.11,0.4160,2.19,1.38
125,30,15,0.35,217,46.54,0.4142,0.19,1.04
126,65,25,0.3,330,50.30,0.4117,0.12,1.02
127,70,20,0.35,217,47.93,0.4075,0.19,1.03
128,30,10,0.3,330,44.55,0.4075,0.12,1.03
129,55,10,0.4,159,42.14,0.3996,0.25,1.05
130,20,10,0.15,1121,46.65,0.3941,0.04,1.01
131,30,10,0.1,1737,47.15,0.3797,0.02,1.01
132,60,25,0.3,330,50.30,0.3617,0.11,1.02
133,65,20,0.35,217,47.93,0.3575,0.16,1.03
134,50,10,0.4,159,42.14,0.3548,0.22,1.05
135,35,20,0.3,330,50.00,0.3545,0.11,1.02
136,45,10,0.4,159,42.14,0.3284,0.21,1.04
137,20,20,0.35,217,49.77,0.3167,0.15,1.03
138,25,10,0.85,19,36.84,0.3161,1.66,1.26
139,35,10,0.3,330,44.55,0.3127,0.09,1.02
140,55,25,0.3,330,50.30,0.3117,0.09,1.02
141,60,20,0.35,217,47.93,0.3075,0.14,1.03
142,30,10,0.35,217,42.40,0.2955,0.14,1.03
143,35,15,0.35,217,46.54,0.2881,0.13,1.03
144,40,10,0.85,19,36.84,0.2864,1.51,1.24
145,20,10,0.65,41,39.02,0.2820,0.69,1.12
146,25,15,0.4,159,47.17,0.2739,0.17,1.03
147,55,20,0.35,217,47.93,0.2575,0.12,1.02
148,40,10,0.4,159,42.14,0.2430,0.15,1.03
149,50,25,0.3,330,50.30,0.2355,0.07,1.01
150,20,90,0.3,330,52.12,0.2337,0.07,1.01
151,20,95,0.3,330,52.12,0.2337,0.07,1.01
152,20,100,0.3,330,52.12,0.2337,0.07,1.01
153,20,15,0.4,159,48.43,0.2312,0.15,1.03
154,45,10,0.85,19,36.84,0.2218,1.17,1.18
155,25,20,0.1,1737,49.74,0.2165,0.01,1.00
156,20,10,0.9,15,40.00,0.2160,1.44,1.24
157,20,10,0.8,22,36.36,0.2151,0.98,1.17
158,20,10,1.0,7,42.86,0.2000,2.86,1.50
159,35,10,0.85,19,36.84,0.1864,0.98,1.16
160,50,20,0.35,217,47.93,0.1814,0.08,1.02
161,20,55,0.3,330,52.12,0.1769,0.05,1.01
162,35,10,0.35,217,42.40,0.1694,0.08,1.02
163,25,30,0.3,330,51.21,0.1665,0.05,1.01
164,45,25,0.3,330,50.30,0.1592,0.05,1.01
165,25,35,0.3,330,51.21,0.1521,0.05,1.01
166,20,10,0.75,27,37.04,0.1508,0.56,1.09
167,50,10,0.85,19,36.84,0.1411,0.74,1.12
168,55,10,0.85,19,36.84,0.1411,0.74,1.12
169,60,10,0.85,19,36.84,0.1411,0.74,1.12
170,65,10,0.85,19,36.84,0.1411,0.74,1.12
171,70,10,0.85,19,36.84,0.1411,0.74,1.12
172,75,10,0.85,19,36.84,0.1411,0.74,1.12
173,80,10,0.85,19,36.84,0.1411,0.74,1.12
174,85,10,0.85,19,36.84,0.1411,0.74,1.12
175,90,10,0.85,19,36.84,0.1411,0.74,1.12
176,95,10,0.85,19,36.84,0.1411,0.74,1.12
177,100,10,0.85,19,36.84,0.1411,0.74,1.12
178,40,10,1.0,7,28.57,0.1380,1.97,1.28
179,20,60,0.3,330,52.12,0.1269,0.04,1.01
180,35,10,0.1,1737,47.09,0.1157,0.01,1.00
181,25,10,0.8,22,31.82,0.1152,0.52,1.08
182,45,20,0.35,217,47.93,0.1051,0.05,1.01
183,25,10,0.75,27,33.33,0.1009,0.37,1.06
184,20,35,0.3,330,52.12,0.0935,0.03,1.01
185,35,10,1.0,7,28.57,0.0880,1.26,1.18
186,30,10,0.85,19,36.84,0.0864,0.45,1.07
187,40,10,0.8,22,31.82,0.0855,0.39,1.06
188,20,45,0.3,330,52.12,0.0781,0.02,1.00
189,20,65,0.3,330,52.12,0.0769,0.02,1.00
190,20,30,0.3,330,52.12,0.0579,0.02,1.00
191,20,10,0.55,57,36.84,0.0523,0.09,1.01
192,85,15,0.4,159,45.91,0.0491,0.03,1.01
193,20,15,0.85,19,42.11,0.0415,0.22,1.03
194,40,10,0.75,27,33.33,0.0411,0.15,1.02
195,25,15,0.1,1737,49.05,0.0394,0.00,1.00
196,30,10,1.0,7,28.57,0.0380,0.54,1.08
197,25,45,0.3,330,51.21,0.0366,0.01,1.00
198,25,55,0.3,330,51.21,0.0354,0.01,1.00
199,35,10,0.4,159,42.14,0.0298,0.02,1.00
200,25,10,0.65,41,34.15,0.0271,0.07,1.01
201,20,70,0.3,330,52.12,0.0269,0.01,1.00
202,40,25,0.3,330,50.30,0.0238,0.01,1.00
203,45,10,1.0,7,28.57,0.0234,0.33,1.05
204,50,10,1.0,7,28.57,0.0234,0.33,1.05
205,55,10,1.0,7,28.57,0.0234,0.33,1.05
206,60,10,1.0,7,28.57,0.0234,0.33,1.05
207,65,10,1.0,7,28.57,0.0234,0.33,1.05
208,70,10,1.0,7,28.57,0.0234,0.33,1.05
209,75,10,1.0,7,28.57,0.0234,0.33,1.05
210,80,10,1.0,7,28.57,0.0234,0.33,1.05
211,85,10,1.0,7,28.57,0.0234,0.33,1.05
212,90,10,1.0,7,28.57,0.0234,0.33,1.05
213,95,10,1.0,7,28.57,0.0234,0.33,1.05
214,100,10,1.0,7,28.57,0.0234,0.33,1.05
215,45,10,0.8,22,31.82,0.0209,0.09,1.01
216,40,10,0.9,15,33.33,0.0193,0.13,1.02
217,30,10,0.4,159,42.14,0.0176,0.01,1.00
218,25,10,0.9,15,33.33,0.0161,0.11,1.02
219,25,40,0.3,330,51.21,0.0007,0.00,1.00
220,20,15,1.0,7,42.86,0.0000,0.00,1.00
221,25,10,1.0,7,28.57,-0.0000,-0.00,1.00
222,80,15,0.4,159,45.91,-0.0009,-0.00,1.00
223,20,40,0.3,330,52.12,-0.0078,-0.00,1.00
224,35,10,0.8,22,31.82,-0.0145,-0.07,0.99
225,20,10,0.6,47,36.17,-0.0180,-0.04,0.99
226,20,75,0.3,330,52.12,-0.0231,-0.01,1.00
227,45,10,0.75,27,33.33,-0.0235,-0.09,0.99
228,20,15,0.65,41,43.90,-0.0264,-0.06,0.99
229,20,10,0.25,464,45.91,-0.0296,-0.01,1.00
230,40,20,0.35,217,47.93,-0.0303,-0.01,1.00
231,35,10,0.9,15,33.33,-0.0307,-0.20,0.97
232,90,15,0.4,159,45.91,-0.0318,-0.02,1.00
233,95,15,0.4,159,45.91,-0.0318,-0.02,1.00
234,100,15,0.4,159,45.91,-0.0318,-0.02,1.00
235,40,10,0.65,41,34.15,-0.0327,-0.08,0.99
236,30,25,0.3,330,50.30,-0.0373,-0.01,1.00
237,20,50,0.3,330,52.12,-0.0496,-0.02,1.00
238,75,15,0.4,159,45.91,-0.0509,-0.03,0.99
239,35,10,0.75,27,33.33,-0.0589,-0.22,0.97
240,50,10,0.8,22,31.82,-0.0598,-0.27,0.96
241,55,10,0.8,22,31.82,-0.0598,-0.27,0.96
242,60,10,0.8,22,31.82,-0.0598,-0.27,0.96
243,65,10,0.8,22,31.82,-0.0598,-0.27,0.96
244,70,10,0.8,22,31.82,-0.0598,-0.27,0.96
245,75,10,0.8,22,31.82,-0.0598,-0.27,0.96
246,80,10,0.8,22,31.82,-0.0598,-0.27,0.96
247,85,10,0.8,22,31.82,-0.0598,-0.27,0.96
248,90,10,0.8,22,31.82,-0.0598,-0.27,0.96
249,95,10,0.8,22,31.82,-0.0598,-0.27,0.96
250,100,10,0.8,22,31.82,-0.0598,-0.27,0.96
251,25,60,0.3,330,51.21,-0.0646,-0.02,1.00
252,100,10,0.2,718,44.57,-0.0667,-0.01,1.00
253,20,80,0.3,330,52.12,-0.0731,-0.02,1.00
254,30,10,0.75,27,33.33,-0.0789,-0.29,0.95
255,30,10,0.9,15,33.33,-0.0807,-0.54,0.92
256,20,10,0.95,12,33.33,-0.0840,-0.70,0.90
257,20,15,0.1,1737,49.28,-0.0846,-0.00,1.00
258,45,10,0.9,15,33.33,-0.0953,-0.64,0.90
259,50,10,0.9,15,33.33,-0.0953,-0.64,0.90
260,55,10,0.9,15,33.33,-0.0953,-0.64,0.90
261,60,10,0.9,15,33.33,-0.0953,-0.64,0.90
262,65,10,0.9,15,33.33,-0.0953,-0.64,0.90
263,70,10,0.9,15,33.33,-0.0953,-0.64,0.90
264,75,10,0.9,15,33.33,-0.0953,-0.64,0.90
265,80,10,0.9,15,33.33,-0.0953,-0.64,0.90
266,85,10,0.9,15,33.33,-0.0953,-0.64,0.90
267,90,10,0.9,15,33.33,-0.0953,-0.64,0.90
268,95,10,0.9,15,33.33,-0.0953,-0.64,0.90
269,100,10,0.9,15,33.33,-0.0953,-0.64,0.90
270,20,10,0.7,32,34.38,-0.0960,-0.30,0.95
271,85,30,0.3,330,50.30,-0.0967,-0.03,0.99
272,45,10,0.65,41,34.15,-0.0973,-0.24,0.96
273,70,15,0.4,159,45.91,-0.1009,-0.06,0.99
274,50,10,0.75,27,33.33,-0.1042,-0.39,0.94
275,55,10,0.75,27,33.33,-0.1042,-0.39,0.94
276,60,10,0.75,27,33.33,-0.1042,-0.39,0.94
277,65,10,0.75,27,33.33,-0.1042,-0.39,0.94
278,70,10,0.75,27,33.33,-0.1042,-0.39,0.94
279,75,10,0.75,27,33.33,-0.1042,-0.39,0.94
280,80,10,0.75,27,33.33,-0.1042,-0.39,0.94
281,85,10,0.75,27,33.33,-0.1042,-0.39,0.94
282,90,10,0.75,27,33.33,-0.1042,-0.39,0.94
283,95,10,0.75,27,33.33,-0.1042,-0.39,0.94
284,100,10,0.75,27,33.33,-0.1042,-0.39,0.94
285,25,15,0.85,19,36.84,-0.1083,-0.57,0.93
286,85,35,0.3,330,50.30,-0.1110,-0.03,0.99
287,40,15,1.0,7,28.57,-0.1120,-1.60,0.85
288,30,10,0.8,22,31.82,-0.1145,-0.52,0.92
289,20,25,1.0,7,42.86,-0.1150,-1.64,0.84
290,95,10,0.2,718,44.57,-0.1167,-0.02,1.00
291,20,40,1.0,7,42.86,-0.1211,-1.73,0.83
292,20,45,1.0,7,42.86,-0.1211,-1.73,0.83
293,20,50,1.0,7,42.86,-0.1211,-1.73,0.83
294,20,55,1.0,7,42.86,-0.1211,-1.73,0.83
295,20,60,1.0,7,42.86,-0.1211,-1.73,0.83
296,20,65,1.0,7,42.86,-0.1211,-1.73,0.83
297,20,70,1.0,7,42.86,-0.1211,-1.73,0.83
298,20,75,1.0,7,42.86,-0.1211,-1.73,0.83
299,20,80,1.0,7,42.86,-0.1211,-1.73,0.83
300,20,85,1.0,7,42.86,-0.1211,-1.73,0.83
301,20,90,1.0,7,42.86,-0.1211,-1.73,0.83
302,20,95,1.0,7,42.86,-0.1211,-1.73,0.83
303,20,100,1.0,7,42.86,-0.1211,-1.73,0.83
304,20,85,0.3,330,52.12,-0.1231,-0.04,0.99
305,35,25,0.3,330,50.30,-0.1321,-0.04,0.99
306,35,10,0.65,41,34.15,-0.1327,-0.32,0.95
307,85,10,0.2,718,44.57,-0.1358,-0.02,1.00
308,40,15,0.85,19,36.84,-0.1381,-0.73,0.92
309,25,50,0.3,330,51.21,-0.1411,-0.04,0.99
310,25,10,0.7,32,31.25,-0.1458,-0.46,0.93
311,40,10,0.95,12,25.00,-0.1460,-1.22,0.84
312,80,30,0.3,330,50.30,-0.1467,-0.04,0.99
313,65,15,0.4,159,45.91,-0.1509,-0.09,0.98
314,30,10,0.65,41,34.15,-0.1526,-0.37,0.94
315,80,35,0.3,330,50.30,-0.1610,-0.05,0.99
316,35,15,1.0,7,28.57,-0.1620,-2.31,0.78
317,25,65,0.3,330,51.21,-0.1646,-0.05,0.99
318,20,30,1.0,7,42.86,-0.1650,-2.36,0.78
319,90,10,0.2,718,44.57,-0.1667,-0.02,0.99
320,30,20,0.35,217,47.93,-0.1675,-0.08,0.99
321,85,25,0.35,217,47.93,-0.1734,-0.08,0.99
322,20,15,0.75,27,40.74,-0.1736,-0.64,0.91
323,90,30,0.3,330,50.30,-0.1776,-0.05,0.99
324,95,30,0.3,330,50.30,-0.1776,-0.05,0.99
325,100,30,0.3,330,50.30,-0.1776,-0.05,0.99
326,50,10,0.65,41,34.15,-0.1780,-0.43,0.93
327,55,10,0.65,41,34.15,-0.1780,-0.43,0.93
328,60,10,0.65,41,34.15,-0.1780,-0.43,0.93
329,65,10,0.65,41,34.15,-0.1780,-0.43,0.93
330,70,10,0.65,41,34.15,-0.1780,-0.43,0.93
331,75,10,0.65,41,34.15,-0.1780,-0.43,0.93
332,80,10,0.65,41,34.15,-0.1780,-0.43,0.93
333,85,10,0.65,41,34.15,-0.1780,-0.43,0.93
334,90,10,0.65,41,34.15,-0.1780,-0.43,0.93
335,95,10,0.65,41,34.15,-0.1780,-0.43,0.93
336,100,10,0.65,41,34.15,-0.1780,-0.43,0.93
337,20,20,1.0,7,42.86,-0.1845,-2.64,0.76
338,100,20,0.1,1737,49.51,-0.1869,-0.01,1.00
339,90,35,0.3,330,50.30,-0.1920,-0.06,0.99
340,95,35,0.3,330,50.30,-0.1920,-0.06,0.99
341,100,35,0.3,330,50.30,-0.1920,-0.06,0.99
342,35,10,0.95,12,25.00,-0.1960,-1.63,0.78
343,75,30,0.3,330,50.30,-0.1967,-0.06,0.99
344,60,15,0.4,159,45.91,-0.2009,-0.13,0.98
345,45,15,0.85,19,36.84,-0.2027,-1.07,0.88
346,40,10,0.7,32,31.25,-0.2056,-0.64,0.90
347,25,10,0.55,57,33.33,-0.2085,-0.37,0.94
348,75,35,0.3,330,50.30,-0.2110,-0.06,0.99
349,30,15,1.0,7,28.57,-0.2120,-3.03,0.72
350,20,35,1.0,7,42.86,-0.2150,-3.07,0.74
351,80,25,0.35,217,47.93,-0.2234,-0.10,0.98
352,85,45,0.3,330,50.30,-0.2265,-0.07,0.99
353,45,15,1.0,7,28.57,-0.2266,-3.24,0.70
354,50,15,1.0,7,28.57,-0.2266,-3.24,0.70
355,55,15,1.0,7,28.57,-0.2266,-3.24,0.70
356,60,15,1.0,7,28.57,-0.2266,-3.24,0.70
357,65,15,1.0,7,28.57,-0.2266,-3.24,0.70
358,70,15,1.0,7,28.57,-0.2266,-3.24,0.70
359,75,15,1.0,7,28.57,-0.2266,-3.24,0.70
360,80,15,1.0,7,28.57,-0.2266,-3.24,0.70
361,85,15,1.0,7,28.57,-0.2266,-3.24,0.70
362,90,15,1.0,7,28.57,-0.2266,-3.24,0.70
363,95,15,1.0,7,28.57,-0.2266,-3.24,0.70
364,100,15,1.0,7,28.57,-0.2266,-3.24,0.70
365,85,55,0.3,330,50.30,-0.2277,-0.07,0.99
366,20,15,0.9,15,40.00,-0.2340,-1.56,0.83
367,80,10,0.2,718,44.57,-0.2358,-0.03,0.99
368,95,20,0.1,1737,49.51,-0.2369,-0.01,1.00
369,35,15,0.85,19,36.84,-0.2381,-1.25,0.85
370,20,20,0.1,1737,49.91,-0.2383,-0.01,1.00
371,30,10,0.95,12,25.00,-0.2460,-2.05,0.73
372,70,30,0.3,330,50.30,-0.2467,-0.07,0.99
373,25,15,1.0,7,28.57,-0.2500,-3.57,0.67
374,55,15,0.4,159,45.91,-0.2509,-0.16,0.97
375,90,25,0.35,217,47.93,-0.2544,-0.12,0.98
376,95,25,0.35,217,47.93,-0.2544,-0.12,0.98
377,100,25,0.35,217,47.93,-0.2544,-0.12,0.98
378,85,20,0.1,1737,49.51,-0.2560,-0.01,1.00
379,25,25,0.35,217,48.85,-0.2571,-0.12,0.98
380,100,15,0.2,718,47.08,-0.2578,-0.04,0.99
381,25,90,0.3,330,51.21,-0.2578,-0.08,0.99
382,20,15,0.8,22,36.36,-0.2594,-1.18,0.85
383,45,10,0.95,12,25.00,-0.2606,-2.17,0.71
384,50,10,0.95,12,25.00,-0.2606,-2.17,0.71
385,55,10,0.95,12,25.00,-0.2606,-2.17,0.71
386,60,10,0.95,12,25.00,-0.2606,-2.17,0.71
387,65,10,0.95,12,25.00,-0.2606,-2.17,0.71
388,70,10,0.95,12,25.00,-0.2606,-2.17,0.71
389,75,10,0.95,12,25.00,-0.2606,-2.17,0.71
390,80,10,0.95,12,25.00,-0.2606,-2.17,0.71
391,85,10,0.95,12,25.00,-0.2606,-2.17,0.71
392,90,10,0.95,12,25.00,-0.2606,-2.17,0.71
393,95,10,0.95,12,25.00,-0.2606,-2.17,0.71
394,100,10,0.95,12,25.00,-0.2606,-2.17,0.71
395,70,35,0.3,330,50.30,-0.2610,-0.08,0.99
396,85,40,0.3,330,50.30,-0.2624,-0.08,0.99
397,25,70,0.3,330,51.21,-0.2646,-0.08,0.99
398,40,10,0.55,57,33.33,-0.2675,-0.47,0.93
399,45,10,0.7,32,31.25,-0.2702,-0.84,0.87
400,75,25,0.35,217,47.93,-0.2734,-0.13,0.98
401,25,15,0.75,27,37.04,-0.2735,-1.01,0.87
402,80,45,0.3,330,50.30,-0.2765,-0.08,0.98
403,80,55,0.3,330,50.30,-0.2777,-0.08,0.98
404,45,10,0.55,57,33.33,-0.2821,-0.49,0.92
405,50,15,0.85,19,36.84,-0.2834,-1.49,0.83
406,55,15,0.85,19,36.84,-0.2834,-1.49,0.83
407,60,15,0.85,19,36.84,-0.2834,-1.49,0.83
408,65,15,0.85,19,36.84,-0.2834,-1.49,0.83
409,70,15,0.85,19,36.84,-0.2834,-1.49,0.83
410,75,15,0.85,19,36.84,-0.2834,-1.49,0.83
411,80,15,0.85,19,36.84,-0.2834,-1.49,0.83
412,85,15,0.85,19,36.84,-0.2834,-1.49,0.83
413,90,15,0.85,19,36.84,-0.2834,-1.49,0.83
414,95,15,0.85,19,36.84,-0.2834,-1.49,0.83
415,100,15,0.85,19,36.84,-0.2834,-1.49,0.83
416,25,10,0.95,12,25.00,-0.2840,-2.37,0.68
417,90,20,0.1,1737,49.51,-0.2869,-0.02,1.00
418,25,10,0.6,47,31.91,-0.2936,-0.62,0.90
419,35,20,0.35,217,47.93,-0.2936,-0.14,0.98
420,50,15,0.4,159,45.91,-0.2958,-0.19,0.97
421,65,30,0.3,330,50.30,-0.2967,-0.09,0.98
422,20,10,0.5,82,37.80,-0.3047,-0.37,0.94
423,35,10,0.7,32,31.25,-0.3056,-0.96,0.85
424,90,45,0.3,330,50.30,-0.3074,-0.09,0.98
425,95,45,0.3,330,50.30,-0.3074,-0.09,0.98
426,100,45,0.3,330,50.30,-0.3074,-0.09,0.98
427,95,15,0.2,718,47.08,-0.3078,-0.04,0.99
428,25,95,0.3,330,51.21,-0.3078,-0.09,0.98
429,90,55,0.3,330,50.30,-0.3086,-0.09,0.98
430,95,55,0.3,330,50.30,-0.3086,-0.09,0.98
431,100,55,0.3,330,50.30,-0.3086,-0.09,0.98
432,65,35,0.3,330,50.30,-0.3110,-0.09,0.98
433,80,40,0.3,330,50.30,-0.3124,-0.09,0.98
434,45,15,0.4,159,45.91,-0.3221,-0.20,0.96
435,70,25,0.35,217,47.93,-0.3234,-0.15,0.97
436,30,10,0.7,32,31.25,-0.3256,-1.02,0.85
437,75,45,0.3,330,50.30,-0.3265,-0.10,0.98
438,85,15,0.2,718,47.08,-0.3268,-0.05,0.99
439,40,25,1.0,7,28.57,-0.3270,-4.67,0.66
440,75,55,0.3,330,50.30,-0.3277,-0.10,0.98
441,85,60,0.3,330,50.30,-0.3277,-0.10,0.98
442,25,15,0.65,41,39.02,-0.3313,-0.81,0.89
443,20,20,0.85,19,42.11,-0.3318,-1.75,0.82
444,40,15,0.75,27,37.04,-0.3333,-1.23,0.84
445,75,10,0.2,718,44.57,-0.3358,-0.05,0.99
446,20,15,0.6,47,40.43,-0.3377,-0.72,0.90
447,20,15,0.7,32,40.62,-0.3380,-1.06,0.85
448,30,15,0.85,19,36.84,-0.3381,-1.78,0.79
449,20,10,0.45,112,40.18,-0.3396,-0.30,0.94
450,90,40,0.3,330,50.30,-0.3433,-0.10,0.98
451,95,40,0.3,330,50.30,-0.3433,-0.10,0.98
452,100,40,0.3,330,50.30,-0.3433,-0.10,0.98
453,40,20,1.0,7,28.57,-0.3465,-4.95,0.65
454,60,30,0.3,330,50.30,-0.3467,-0.11,0.98
455,50,10,0.7,32,31.25,-0.3509,-1.10,0.83
456,55,10,0.7,32,31.25,-0.3509,-1.10,0.83
457,60,10,0.7,32,31.25,-0.3509,-1.10,0.83
458,65,10,0.7,32,31.25,-0.3509,-1.10,0.83
459,70,10,0.7,32,31.25,-0.3509,-1.10,0.83
460,75,10,0.7,32,31.25,-0.3509,-1.10,0.83
461,80,10,0.7,32,31.25,-0.3509,-1.10,0.83
462,85,10,0.7,32,31.25,-0.3509,-1.10,0.83
463,90,10,0.7,32,31.25,-0.3509,-1.10,0.83
