排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
1,10,150,0.46,412,60.19,41.3118,10.03,1.63,17.0
2,10,150,0.45,433,59.82,41.7837,9.65,1.60,17.1
3,9,135,0.46,412,59.71,38.8617,9.43,1.59,16.5
4,10,150,0.47,393,59.54,37.7118,9.60,1.59,17.1
5,8,120,0.46,412,59.47,38.0617,9.24,1.57,16.2
6,9,135,0.45,433,59.12,38.5337,8.90,1.54,16.6
7,9,135,0.47,393,59.03,35.2617,8.97,1.55,16.7
8,10,150,0.44,460,58.91,40.6035,8.83,1.54,17.4
9,8,120,0.45,433,58.89,37.7337,8.71,1.53,16.3
10,8,120,0.47,393,58.78,34.4617,8.77,1.53,16.3
11,10,150,0.49,348,58.62,31.5296,9.06,1.55,16.7
12,10,150,0.33,871,58.55,68.6355,7.88,1.48,20.0
13,10,150,0.31,974,58.52,75.4355,7.74,1.47,20.4
14,7,105,0.46,412,58.50,34.5707,8.39,1.51,15.8
15,10,150,0.43,489,58.49,41.0035,8.39,1.50,17.9
16,10,150,0.34,819,58.49,64.6355,7.89,1.48,19.8
17,10,150,0.48,373,58.45,32.7616,8.78,1.53,16.8
18,10,150,0.42,514,58.37,42.8267,8.33,1.50,18.0
19,10,150,0.32,927,58.36,71.0355,7.66,1.46,20.5
20,10,150,0.37,677,58.35,53.8559,7.96,1.48,19.7
21,10,150,0.39,612,58.33,49.3266,8.06,1.48,19.0
22,10,150,0.38,640,58.28,50.9266,7.96,1.48,19.3
23,10,150,0.29,1124,58.27,83.4355,7.42,1.44,21.4
24,9,135,0.44,460,58.26,37.3534,8.12,1.49,17.0
25,6,90,0.46,412,58.25,33.7707,8.20,1.49,15.5
26,10,150,0.3,1048,58.21,77.8355,7.43,1.44,21.1
27,10,150,0.24,1563,58.09,110.2424,7.05,1.42,23.4
28,8,120,0.49,348,58.05,29.0795,8.36,1.50,15.9
29,9,135,0.49,348,58.05,29.0795,8.36,1.50,16.3
30,8,120,0.44,460,58.04,36.5534,7.95,1.47,16.6
31,10,150,0.4,579,58.03,45.7266,7.90,1.47,19.0
32,7,105,0.47,393,58.02,31.7707,8.08,1.48,16.0
33,10,150,0.25,1445,57.99,101.4355,7.02,1.42,23.3
34,7,105,0.45,433,57.97,34.2426,7.91,1.47,15.9
35,10,150,0.28,1182,57.95,84.2355,7.13,1.42,22.1
36,10,150,0.27,1277,57.95,90.2355,7.07,1.42,22.6
37,9,135,0.48,373,57.91,30.3115,8.13,1.48,16.4
38,9,135,0.43,489,57.87,37.7534,7.72,1.46,17.5
39,10,150,0.35,764,57.85,56.7818,7.43,1.44,19.9
40,10,150,0.41,548,57.85,42.8267,7.82,1.46,18.6
41,9,135,0.42,514,57.78,39.5767,7.70,1.46,17.6
42,6,90,0.47,393,57.76,30.9707,7.88,1.47,15.7
43,9,135,0.34,819,57.75,58.9854,7.20,1.43,19.4
44,6,90,0.45,433,57.74,33.4426,7.72,1.46,15.6
45,9,135,0.31,974,57.70,68.1854,7.00,1.41,20.0
46,9,135,0.39,612,57.68,45.2766,7.40,1.44,18.6
47,8,120,0.43,489,57.67,36.9534,7.56,1.45,17.1
