排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
48,10,150,0.5,326,57.67,27.2498,8.36,1.49,16.4
49,10,150,0.26,1358,57.66,92.2355,6.79,1.40,23.0
50,8,120,0.48,373,57.64,29.5115,7.91,1.47,16.0
51,9,135,0.33,871,57.63,61.3854,7.05,1.42,19.6
52,9,135,0.37,677,57.61,49.0058,7.24,1.43,19.3
53,9,135,0.29,1124,57.56,76.1854,6.78,1.40,21.1
54,10,150,0.51,311,57.56,26.0487,8.38,1.49,16.3
55,9,135,0.24,1563,57.52,102.1924,6.54,1.38,23.0
56,9,135,0.38,640,57.50,46.0766,7.20,1.42,18.9
57,9,135,0.32,927,57.50,63.7854,6.88,1.40,20.1
58,10,150,0.54,268,57.46,23.2095,8.66,1.51,16.3
59,9,135,0.3,1048,57.44,70.5854,6.74,1.40,20.7
60,8,120,0.42,514,57.39,37.9767,7.39,1.43,17.3
61,8,120,0.34,819,57.39,56.5854,6.91,1.41,19.1
62,9,135,0.25,1445,57.37,93.3854,6.46,1.38,22.9
63,9,135,0.4,579,57.34,41.6766,7.20,1.42,18.6
64,10,150,0.23,1670,57.31,106.6424,6.39,1.37,23.7
65,10,150,0.36,719,57.30,50.6559,7.05,1.41,20.0
66,9,135,0.41,548,57.30,39.5767,7.22,1.42,18.2
67,8,120,0.31,974,57.29,64.9854,6.67,1.39,19.7
68,5,75,0.46,412,57.28,30.5707,7.42,1.43,15.2
69,9,135,0.28,1182,57.28,76.9854,6.51,1.38,21.7
70,8,120,0.24,1563,57.26,98.9924,6.33,1.37,22.7
71,9,135,0.27,1277,57.24,82.1854,6.44,1.38,22.2
72,8,120,0.29,1124,57.21,72.9854,6.49,1.38,20.8
73,9,135,0.35,764,57.20,51.9318,6.80,1.40,19.5
74,8,120,0.39,612,57.19,42.8766,7.01,1.41,18.3
75,7,105,0.49,348,57.18,26.3885,7.58,1.44,15.6
76,8,120,0.33,871,57.18,58.1854,6.68,1.39,19.3
77,7,105,0.44,460,57.17,33.0624,7.19,1.42,16.2
78,8,120,0.37,677,57.16,46.6058,6.88,1.40,19.0
79,8,120,0.25,1445,57.09,90.1854,6.24,1.36,22.6
80,8,120,0.32,927,57.07,60.5854,6.54,1.38,19.8
81,8,120,0.3,1048,57.06,67.3854,6.43,1.37,20.4
82,8,120,0.5,326,57.06,24.7997,7.61,1.44,15.5
83,9,135,0.5,326,57.06,24.7997,7.61,1.44,15.9
84,10,150,0.52,291,57.04,23.6214,8.12,1.47,16.3
85,8,120,0.38,640,57.03,43.6766,6.82,1.40,18.6
86,9,135,0.26,1358,57.00,84.1854,6.20,1.36,22.6
87,8,120,0.4,579,56.99,40.0766,6.92,1.40,18.2
88,6,90,0.44,460,56.96,32.2624,7.01,1.41,15.9
89,8,120,0.28,1182,56.94,73.7854,6.24,1.36,21.4
90,8,120,0.41,548,56.93,37.9767,6.93,1.40,17.9
91,8,120,0.27,1277,56.93,78.9854,6.19,1.36,21.9
92,8,120,0.51,311,56.91,23.5986,7.59,1.44,15.5
93,9,135,0.51,311,56.91,23.5986,7.59,1.44,15.8
94,6,90,0.49,348,56.90,25.5885,7.35,1.43,15.3
95,7,105,0.43,489,56.85,33.4624,6.84,1.40,16.7
96,7,105,0.48,373,56.84,26.8205,7.19,1.42,15.7
97,10,150,0.53,278,56.83,22.4095,8.06,1.47,16.5
98,10,150,0.22,1797,56.82,107.0424,5.96,1.34,24.2
99,5,75,0.45,433,56.81,30.2426,6.98,1.40,15.3
100,10,150,0.21,1938,56.81,114.6424,5.92,1.34,24.8
101,8,120,0.35,764,56.81,49.5318,6.48,1.38,19.2
102,4,60,0.46,412,56.80,28.9707,7.03,1.41,14.8
103,9,135,0.23,1670,56.77,98.5924,5.90,1.34,23.4
104,5,75,0.47,393,56.74,27.7707,7.07,1.41,15.3
105,8,120,0.54,268,56.72,20.7594,7.75,1.45,15.4
106,9,135,0.54,268,56.72,20.7594,7.75,1.45,15.7
107,8,120,0.26,1358,56.70,80.9854,5.96,1.34,22.3
108,7,105,0.24,1563,56.69,91.5013,5.85,1.34,22.4
109,7,105,0.31,974,56.67,59.8944,6.15,1.35,19.4
110,7,105,0.34,819,56.65,51.4944,6.29,1.36,18.7
111,6,90,0.43,489,56.65,32.6624,6.68,1.39,16.4
112,7,105,0.42,514,56.61,34.4856,6.71,1.39,16.9
113,9,135,0.36,719,56.61,45.8058,6.37,1.37,19.6
114,7,105,0.29,1124,56.58,67.0944,5.97,1.34,20.4
115,6,90,0.48,373,56.57,26.0205,6.98,1.40,15.4
116,8,120,0.23,1670,56.53,95.3924,5.71,1.33,23.1
117,4,60,0.47,393,56.49,26.9707,6.86,1.39,14.8
118,7,105,0.33,871,56.49,53.0944,6.10,1.35,18.9
119,7,105,0.25,1445,56.47,82.6944,5.72,1.33,22.2
120,10,150,0.2,2087,56.44,116.2949,5.57,1.32,25.0
121,6,90,0.42,514,56.42,33.6856,6.55,1.38,16.6
122,7,105,0.32,927,56.42,55.4944,5.99,1.34,19.4
123,7,105,0.3,1048,56.39,61.4944,5.87,1.34,20.0
124,7,105,0.39,612,56.37,38.5855,6.30,1.36,17.8
125,6,90,0.31,974,56.37,57.4944,5.90,1.34,19.1
126,8,120,0.52,291,56.36,21.1713,7.28,1.42,15.4
127,9,135,0.52,291,56.36,21.1713,7.28,1.42,15.8
128,4,60,0.45,433,56.35,28.6426,6.61,1.38,14.8
129,7,105,0.28,1182,56.35,67.8944,5.74,1.33,21.1
130,9,135,0.22,1797,56.32,98.9924,5.51,1.32,23.9
131,7,105,0.27,1277,56.30,72.2944,5.66,1.32,21.5
132,9,135,0.21,1938,56.30,105.7924,5.46,1.31,24.4
133,6,90,0.34,819,56.29,49.0944,5.99,1.34,18.4
134,7,105,0.37,677,56.28,41.5148,6.13,1.35,18.5
135,10,150,0.19,2248,56.27,121.5902,5.41,1.31,25.4
136,7,105,0.38,640,56.25,39.3855,6.15,1.35,18.1
137,10,150,0.56,240,56.25,19.0261,7.93,1.45,15.4
138,6,90,0.24,1563,56.24,85.9013,5.50,1.31,22.1
139,6,90,0.29,1124,56.23,63.8944,5.68,1.32,20.2
140,10,150,0.57,233,56.22,18.6261,7.99,1.46,15.5
141,6,90,0.39,612,56.21,37.7855,6.17,1.35,17.5
142,7,105,0.41,548,56.20,34.4856,6.29,1.36,17.5
143,8,120,0.36,719,56.19,43.4058,6.04,1.34,19.3
144,6,90,0.33,871,56.14,50.6944,5.82,1.33,18.6
145,7,105,0.5,326,56.13,22.1087,6.78,1.39,15.2
146,7,105,0.4,579,56.13,35.7855,6.18,1.35,17.8
147,6,90,0.37,677,56.13,40.7148,6.01,1.34,18.2
148,6,90,0.25,1445,56.12,78.6944,5.45,1.31,22.0
149,8,120,0.53,278,56.12,19.9594,7.18,1.41,15.6
150,9,135,0.53,278,56.12,19.9594,7.18,1.41,16.0
151,7,105,0.26,1358,56.11,74.2944,5.47,1.31,21.9
152,6,90,0.32,927,56.09,53.0944,5.73,1.33,19.2
153,6,90,0.38,640,56.09,38.5855,6.03,1.34,17.9
154,5,75,0.44,460,56.09,29.0624,6.32,1.36,15.6
155,10,150,0.18,2379,56.07,124.3902,5.23,1.30,25.7
156,3,45,0.46,412,56.07,26.5707,6.45,1.37,14.4
157,8,120,0.22,1797,56.04,94.9924,5.29,1.30,23.6
158,6,90,0.41,548,56.02,33.6856,6.15,1.35,17.2
159,7,105,0.35,764,56.02,44.4407,5.82,1.33,18.8
160,6,90,0.3,1048,56.01,58.2944,5.56,1.32,19.8
161,6,90,0.28,1182,56.01,64.6944,5.47,1.31,20.8
162,6,90,0.27,1277,55.99,69.0944,5.41,1.31,21.3
163,8,120,0.21,1938,55.99,100.9924,5.21,1.30,24.1
164,6,90,0.4,579,55.96,34.9855,6.04,1.34,17.5
165,10,150,0.55,252,55.95,19.0261,7.55,1.43,16.0
166,7,105,0.51,311,55.95,20.9076,6.72,1.38,15.2
167,9,135,0.2,2087,55.92,106.6448,5.11,1.29,24.6
168,6,90,0.35,764,55.89,43.6407,5.71,1.32,18.5
169,7,105,0.23,1670,55.87,86.3013,5.17,1.29,22.7
170,5,75,0.31,974,55.85,53.1644,5.46,1.31,18.9
171,5,75,0.43,489,55.83,29.4624,6.03,1.34,16.1
172,6,90,0.5,326,55.83,21.3087,6.54,1.37,14.9
173,5,75,0.29,1124,55.78,59.5644,5.30,1.30,20.0
174,9,135,0.19,2248,55.78,111.9401,4.98,1.28,25.1
175,5,75,0.49,348,55.75,22.3885,6.43,1.36,14.9
176,6,90,0.26,1358,55.74,70.2944,5.18,1.29,21.7
177,3,45,0.47,393,55.73,24.5707,6.25,1.35,14.5
178,5,75,0.34,819,55.68,44.7644,5.47,1.31,18.1
179,5,75,0.24,1563,55.66,78.3714,5.01,1.28,21.9
180,4,60,0.44,460,55.65,27.4624,5.97,1.34,15.1
181,4,60,0.31,974,55.65,51.5644,5.29,1.30,18.6
182,8,120,0.2,2087,55.63,101.8448,4.88,1.27,24.3
183,6,90,0.51,311,55.63,20.1076,6.47,1.36,14.8
184,9,135,0.18,2379,55.61,114.7401,4.82,1.27,25.4
185,4,60,0.29,1124,55.60,57.9644,5.16,1.29,19.7
186,10,150,0.17,2590,55.60,124.7902,4.82,1.27,26.4
187,6,90,0.54,268,55.60,18.0684,6.74,1.38,14.8
188,7,105,0.54,268,55.60,18.0684,6.74,1.38,15.1
189,10,150,0.15,2966,55.60,141.8167,4.78,1.27,27.3
190,5,75,0.33,871,55.57,46.3644,5.32,1.30,18.4
191,5,75,0.32,927,55.56,48.7644,5.26,1.30,18.9
192,5,75,0.3,1048,55.53,53.9644,5.15,1.29,19.5
193,8,120,0.19,2248,55.52,107.1401,4.77,1.27,24.8
194,5,75,0.25,1445,55.50,71.1644,4.92,1.28,21.8
195,5,75,0.28,1182,55.50,59.5644,5.04,1.28,20.6
196,5,75,0.48,373,55.50,22.8205,6.12,1.34,15.0
197,4,60,0.24,1563,55.47,75.9714,4.86,1.27,21.7
198,4,60,0.49,348,55.46,21.5885,6.20,1.35,14.4
199,6,90,0.23,1670,55.45,80.7013,4.83,1.27,22.5
200,5,75,0.42,514,55.45,29.3557,5.71,1.32,16.3
201,5,75,0.27,1277,55.44,63.1644,4.95,1.28,21.1
202,4,60,0.34,819,55.43,43.1644,5.27,1.30,17.8
203,10,150,0.16,2773,55.43,129.1902,4.66,1.26,26.7
204,3,45,0.45,433,55.43,25.3707,5.86,1.33,14.5
205,7,105,0.22,1797,55.43,85.9013,4.78,1.27,23.2
206,4,60,0.43,489,55.42,27.8624,5.70,1.32,15.7
207,7,105,0.21,1938,55.42,91.9013,4.74,1.27,23.7
208,8,120,0.56,240,55.42,16.5761,6.91,1.39,14.5
209,9,135,0.56,240,55.42,16.5761,6.91,1.39,14.8
210,5,75,0.39,612,55.39,33.4556,5.47,1.31,17.3
211,5,75,0.37,677,55.39,36.3848,5.37,1.30,17.9
212,8,120,0.57,233,55.36,16.1761,6.94,1.39,14.5
213,9,135,0.57,233,55.36,16.1761,6.94,1.39,14.9
214,4,60,0.25,1445,55.36,69.5644,4.81,1.27,21.5
215,8,120,0.18,2379,55.36,109.9401,4.62,1.26,25.1
216,7,105,0.36,719,55.35,38.3148,5.33,1.30,18.8
217,10,150,0.14,3180,55.35,144.7902,4.55,1.25,27.9
218,4,60,0.3,1048,55.34,52.3644,5.00,1.28,19.3
219,2,30,0.46,412,55.34,23.8231,5.78,1.32,14.1
220,4,60,0.32,927,55.34,47.1644,5.09,1.28,18.6
221,4,60,0.33,871,55.34,44.7644,5.14,1.29,18.1
222,4,60,0.28,1182,55.33,57.9644,4.90,1.27,20.4
223,7,105,0.52,291,55.33,18.4803,6.35,1.36,15.1
224,5,75,0.38,640,55.31,34.2556,5.35,1.30,17.6
225,4,60,0.27,1277,55.29,61.5644,4.82,1.27,20.8
226,10,150,0.6,210,55.24,15.6485,7.45,1.42,15.7
227,5,75,0.35,764,55.24,39.3108,5.15,1.29,18.3
228,4,60,0.48,373,55.23,22.0205,5.90,1.33,14.5
229,6,90,0.36,719,55.22,37.5148,5.22,1.29,18.6
230,9,135,0.15,2966,55.19,131.3666,4.43,1.25,27.0
231,3,45,0.29,1124,55.16,53.7264,4.78,1.27,19.5
232,8,120,0.55,252,55.16,16.5761,6.58,1.37,15.1
233,9,135,0.55,252,55.16,16.5761,6.58,1.37,15.5
234,3,45,0.24,1563,55.15,71.7334,4.59,1.26,21.6
235,9,135,0.17,2590,55.14,114.3401,4.41,1.25,26.1
236,3,45,0.31,974,55.13,47.3264,4.86,1.27,18.4
237,10,150,0.13,3411,55.12,148.4239,4.35,1.24,28.3
238,5,75,0.41,548,55.11,29.3557,5.36,1.30,16.9
239,4,60,0.37,677,55.10,34.7848,5.14,1.29,17.6
240,5,75,0.4,579,55.09,30.6556,5.29,1.29,17.2
241,5,75,0.26,1358,55.08,62.7644,4.62,1.26,21.4
242,4,60,0.39,612,55.07,31.8556,5.21,1.29,16.9
243,4,60,0.42,514,55.06,27.7557,5.40,1.30,15.9
244,6,90,0.21,1938,55.06,86.3013,4.45,1.25,23.5
245,7,105,0.2,2087,55.06,91.9538,4.41,1.25,24.0
246,6,90,0.22,1797,55.04,80.3013,4.47,1.25,22.9
247,6,90,0.53,278,55.04,17.2684,6.21,1.35,15.1
248,7,105,0.53,278,55.04,17.2684,6.21,1.35,15.3
249,3,45,0.25,1445,55.02,65.3264,4.52,1.25,21.4
250,4,60,0.38,640,55.00,32.6556,5.10,1.28,17.2
251,9,135,0.16,2773,54.99,118.7401,4.28,1.24,26.5
252,8,120,0.15,2966,54.99,126.5666,4.27,1.24,26.8
253,6,90,0.52,291,54.98,17.6803,6.08,1.34,14.8
254,4,60,0.35,764,54.97,37.7108,4.94,1.27,17.9
255,9,135,0.14,3180,54.97,134.3401,4.22,1.23,27.6
256,2,30,0.47,393,54.96,21.8231,5.55,1.31,14.1
257,10,150,0.61,202,54.95,14.8054,7.33,1.41,15.6
258,7,105,0.19,2248,54.94,96.4491,4.29,1.24,24.5
259,4,60,0.26,1358,54.93,61.1644,4.50,1.25,21.2
260,5,75,0.23,1670,54.91,73.1714,4.38,1.24,22.3
261,3,45,0.28,1182,54.91,53.7264,4.55,1.25,20.2
262,8,120,0.17,2590,54.90,109.5401,4.23,1.23,25.8
263,3,45,0.27,1277,54.89,57.3264,4.49,1.25,20.7
264,3,45,0.3,1048,54.87,48.1264,4.59,1.25,19.1
265,3,45,0.34,819,54.82,38.9264,4.75,1.26,17.6
266,7,105,0.18,2379,54.81,99.2491,4.17,1.23,24.8
267,3,45,0.32,927,54.80,42.9264,4.63,1.26,18.4
268,3,45,0.44,460,54.78,24.1904,5.26,1.29,14.8
269,8,120,0.14,3180,54.78,129.5401,4.07,1.23,27.4
270,8,120,0.16,2773,54.78,113.9401,4.11,1.23,26.2
271,3,45,0.33,871,54.76,40.5264,4.65,1.26,17.9
272,9,135,0.13,3411,54.76,137.9738,4.04,1.22,28.1
273,10,150,0.58,221,54.75,15.1600,6.86,1.38,15.6
274,4,60,0.4,579,54.75,29.0556,5.02,1.28,16.8
275,4,60,0.41,548,54.74,27.7557,5.06,1.28,16.5
276,2,30,0.45,433,54.73,22.6231,5.22,1.29,14.1
277,6,90,0.2,2087,54.72,86.3538,4.14,1.23,23.7
278,10,150,0.12,3655,54.72,146.8239,4.02,1.22,29.1
279,10,150,0.1,4121,54.67,162.8239,3.95,1.22,30.4
280,4,60,0.23,1670,54.67,69.9714,4.19,1.23,22.0
281,10,150,0.62,194,54.64,14.0017,7.22,1.40,15.4
282,2,30,0.31,974,54.62,42.9788,4.41,1.24,18.2
283,10,150,0.11,3887,54.62,152.4239,3.92,1.22,29.7
284,3,45,0.43,489,54.60,24.5904,5.03,1.28,15.4
285,5,75,0.5,326,54.60,18.1087,5.55,1.31,14.6
286,3,45,0.49,348,54.60,19.1885,5.51,1.30,14.1
287,5,75,0.21,1938,54.59,78.7714,4.06,1.22,23.3
288,8,120,0.13,3411,54.59,133.1738,3.90,1.21,27.8
289,6,90,0.19,2248,54.58,90.0491,4.01,1.22,24.2
290,3,45,0.26,1358,54.57,56.9264,4.19,1.23,21.0
291,7,105,0.15,2966,54.55,115.8756,3.91,1.21,26.4
292,2,30,0.29,1124,54.54,47.7788,4.25,1.23,19.3
293,5,75,0.22,1797,54.54,72.7714,4.05,1.22,22.7
294,5,75,0.36,719,54.52,33.1848,4.62,1.25,18.3
295,2,30,0.24,1563,54.51,63.3858,4.06,1.22,21.4
296,3,45,0.37,677,54.51,31.5128,4.65,1.26,17.4
297,6,90,0.18,2379,54.48,92.8491,3.90,1.21,24.6
298,3,45,0.35,764,54.45,34.4388,4.51,1.25,17.7
299,3,45,0.48,373,54.42,19.6205,5.26,1.29,14.2
300,3,45,0.39,612,54.41,28.5836,4.67,1.26,16.6
301,7,105,0.17,2590,54.40,98.8491,3.82,1.21,25.4
302,3,45,0.38,640,54.37,29.3836,4.59,1.25,17.0
303,3,45,0.23,1670,54.37,65.7334,3.94,1.22,21.9
304,0,0,0.46,412,54.37,20.2780,4.92,1.27,13.6
305,1,15,0.46,412,54.37,20.2780,4.92,1.27,13.7
306,9,135,0.12,3656,54.35,135.1738,3.70,1.20,28.8
307,9,135,0.1,4122,54.34,151.1738,3.67,1.20,30.2
308,5,75,0.51,311,54.34,16.9076,5.44,1.30,14.5
309,7,105,0.14,3180,54.34,118.0491,3.71,1.20,27.1
310,2,30,0.34,819,54.33,35.3788,4.32,1.24,17.4
311,2,30,0.25,1445,54.33,56.9788,3.94,1.22,21.2
312,7,105,0.16,2773,54.31,103.2491,3.72,1.20,25.9
313,2,30,0.33,871,54.31,36.9788,4.25,1.23,17.7
314,4,60,0.5,326,54.29,17.3087,5.31,1.29,14.0
315,2,30,0.3,1048,54.29,42.9788,4.10,1.22,18.9
316,5,75,0.2,2087,54.29,78.8238,3.78,1.21,23.5
317,8,120,0.6,210,54.29,13.1984,6.28,1.34,14.7
318,9,135,0.6,210,54.29,13.1984,6.28,1.34,15.1
319,6,90,0.15,2966,54.28,109.4756,3.69,1.20,26.3
320,3,45,0.42,514,54.28,24.4837,4.76,1.26,15.6
321,9,135,0.11,3888,54.27,140.7738,3.62,1.20,29.4
322,2,30,0.27,1277,54.27,50.5788,3.96,1.22,20.4
323,2,30,0.32,927,54.26,38.5788,4.16,1.23,18.2
324,4,60,0.22,1797,54.26,68.7714,3.83,1.21,22.5
325,4,60,0.36,719,54.24,31.5848,4.39,1.24,17.9
326,4,60,0.21,1938,54.23,73.1714,3.78,1.21,23.1
327,2,30,0.28,1182,54.23,46.9788,3.97,1.22,20.0
328,1,15,0.31,974,54.21,39.4337,4.05,1.22,18.1
329,10,150,0.59,214,54.21,13.9600,6.52,1.36,15.7
330,8,120,0.12,3656,54.18,130.3738,3.57,1.19,28.6
331,1,15,0.29,1124,54.18,44.2337,3.94,1.21,19.1
332,5,75,0.19,2248,54.18,82.5192,3.67,1.20,24.1
333,7,105,0.13,3411,54.18,121.6828,3.57,1.19,27.5
334,8,120,0.1,4122,54.17,145.5738,3.53,1.19,29.9
335,6,90,0.56,240,54.17,13.8850,5.79,1.32,13.9
336,7,105,0.56,240,54.17,13.8850,5.79,1.32,14.1
337,2,30,0.44,460,54.13,21.4428,4.66,1.25,14.5
338,1,15,0.24,1563,54.13,58.2407,3.73,1.20,21.2
339,8,120,0.11,3888,54.12,135.9738,3.50,1.19,29.2
340,0,0,0.31,974,54.11,38.6337,3.97,1.22,18.0
341,0,0,0.29,1124,54.09,43.4337,3.86,1.21,19.1
342,6,90,0.14,3180,54.09,111.6491,3.51,1.19,26.9
343,6,90,0.57,233,54.08,13.4850,5.79,1.32,13.9
344,7,105,0.57,233,54.08,13.4850,5.79,1.32,14.2
345,2,30,0.37,677,54.06,28.7652,4.25,1.23,17.1
346,3,45,0.4,579,54.06,25.7836,4.45,1.24,16.6
347,6,90,0.17,2590,54.05,91.6491,3.54,1.19,25.2
348,10,150,0.63,185,54.05,12.7294,6.88,1.37,15.6
349,4,60,0.51,311,54.02,16.1076,5.18,1.28,13.9
350,3,45,0.41,548,54.01,24.4837,4.47,1.24,16.2
351,5,75,0.18,2379,54.01,83.7192,3.52,1.19,24.4
352,0,0,0.24,1563,54.00,56.6407,3.62,1.20,21.2
353,2,30,0.43,489,53.99,21.8428,4.47,1.24,15.1
354,6,90,0.16,2773,53.98,96.0491,3.46,1.19,25.7
355,3,45,0.22,1797,53.98,64.5334,3.59,1.20,22.3
356,2,30,0.26,1358,53.98,50.1788,3.70,1.20,20.8
357,3,45,0.21,1938,53.97,68.9334,3.56,1.19,22.9
358,6,90,0.55,252,53.97,13.8850,5.51,1.30,14.5
359,7,105,0.55,252,53.97,13.8850,5.51,1.30,14.8
360,8,120,0.61,202,53.96,12.3553,6.12,1.33,14.5
361,9,135,0.61,202,53.96,12.3553,6.12,1.33,14.9
362,4,60,0.2,2087,53.95,73.2238,3.51,1.19,23.3
363,0,0,0.47,393,53.94,18.2780,4.65,1.25,13.7
364,1,15,0.47,393,53.94,18.2780,4.65,1.25,13.8
365,2,30,0.35,764,53.93,30.8912,4.04,1.22,17.5
366,2,30,0.39,612,53.92,25.8360,4.22,1.23,16.4
367,6,90,0.13,3411,53.91,114.4828,3.36,1.18,27.4
368,1,15,0.3,1048,53.91,39.4337,3.76,1.20,18.7
369,1,15,0.25,1445,53.91,51.8337,3.59,1.19,21.0
370,2,30,0.38,640,53.91,26.6360,4.16,1.23,16.7
371,1,15,0.27,1277,53.88,46.2337,3.62,1.20,20.3
372,4,60,0.19,2248,53.87,76.9192,3.42,1.19,23.8
373,1,15,0.33,871,53.85,33.4337,3.84,1.21,17.5
374,1,15,0.34,819,53.85,31.8337,3.89,1.21,17.2
375,8,120,0.58,221,53.85,12.7100,5.75,1.31,14.6
376,9,135,0.58,221,53.85,12.7100,5.75,1.31,15.0
377,1,15,0.32,927,53.83,35.0337,3.78,1.20,18.0
378,0,0,0.3,1048,53.82,38.6337,3.69,1.20,18.7
379,0,0,0.45,433,53.81,19.0780,4.41,1.24,13.7
380,1,15,0.45,433,53.81,19.0780,4.41,1.24,13.8
381,7,105,0.1,4122,53.81,133.2828,3.23,1.18,29.7
382,1,15,0.28,1182,53.81,42.6337,3.61,1.20,19.8
383,7,105,0.12,3656,53.80,118.8828,3.25,1.18,28.3
384,5,75,0.15,2966,53.78,97.1456,3.28,1.18,26.1
385,2,30,0.23,1670,53.77,57.3858,3.44,1.19,21.7
386,0,0,0.25,1445,53.77,50.2337,3.48,1.19,21.0
387,2,30,0.49,348,53.74,16.4409,4.72,1.26,13.7
388,0,0,0.33,871,53.73,32.6337,3.75,1.20,17.4
389,5,75,0.54,268,53.73,14.0253,5.23,1.28,14.4
390,7,105,0.11,3888,53.73,123.6828,3.18,1.17,29.0
391,0,0,0.34,819,53.72,31.0337,3.79,1.20,17.1
392,0,0,0.28,1182,53.72,41.8337,3.54,1.19,19.8
393,0,0,0.32,927,53.72,34.2337,3.69,1.20,18.0
394,4,60,0.18,2379,53.72,78.1192,3.28,1.18,24.2
395,0,0,0.27,1277,53.72,44.6337,3.50,1.19,20.2
396,3,45,0.2,2087,53.71,68.9858,3.31,1.18,23.2
397,2,30,0.42,514,53.70,21.7361,4.23,1.23,15.3
398,3,45,0.36,719,53.69,28.3128,3.94,1.21,17.7
399,3,45,0.5,326,53.68,15.7087,4.82,1.26,13.7
400,3,45,0.19,2248,53.65,72.6812,3.23,1.17,23.7
401,2,30,0.48,373,53.62,16.8729,4.52,1.24,13.8
402,1,15,0.26,1358,53.61,45.8337,3.38,1.18,20.7
403,8,120,0.62,194,53.61,11.5516,5.95,1.32,14.3
404,9,135,0.62,194,53.61,11.5516,5.95,1.32,14.8
405,6,90,0.1,4122,53.59,126.0828,3.06,1.16,29.5
406,5,75,0.14,3180,53.58,98.5192,3.10,1.17,26.7
407,6,90,0.12,3656,53.56,111.6828,3.05,1.16,28.1
408,5,75,0.17,2590,53.55,80.9192,3.12,1.17,25.0
409,2,30,0.4,579,53.54,23.0360,3.98,1.21,16.3
410,4,60,0.15,2966,53.54,91.5456,3.09,1.17,25.9
411,5,75,0.16,2773,53.52,85.3192,3.08,1.17,25.5
412,3,45,0.18,2379,53.51,73.8812,3.11,1.17,24.0
413,10,150,0.67,157,53.50,10.6956,6.81,1.37,15.1
414,6,90,0.11,3888,53.50,116.4828,3.00,1.16,28.8
