杠杆,止盈%,止损%,K1涨跌幅%,50根后止盈比例,50根后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,200,500,0.21,0.6,0.8,1536,1100,436,71.61,1.66,-4.28,66.0,0.98,-36.4000,1499.6000,-2.37
100,200,500,0.21,0.8,0.9,1535,1094,441,71.27,1.83,-4.64,79.5,0.98,-40.3000,1494.7000,-2.63
100,200,500,0.21,0.7,0.8,1536,1082,454,70.44,1.75,-4.27,69.5,0.98,-41.0000,1495.0000,-2.67
100,200,500,0.21,0.7,0.7,1536,1048,488,68.23,1.76,-3.88,63.7,0.98,-41.6000,1494.4000,-2.71
100,200,500,0.21,0.6,0.9,1535,1125,410,73.29,1.65,-4.65,70.7,0.98,-46.4000,1488.6000,-3.02
100,200,500,0.21,0.3,1.0,1534,1202,332,78.36,1.34,-5.00,63.5,0.97,-47.0000,1487.0000,-3.06
100,200,500,0.21,0.5,0.7,1536,1083,453,70.51,1.59,-3.90,57.8,0.97,-48.5000,1487.5000,-3.16
100,200,500,0.21,0.7,0.9,1535,1108,427,72.18,1.74,-4.64,74.9,0.98,-49.1000,1485.9000,-3.20
100,200,500,0.21,0.5,0.8,1536,1115,421,72.59,1.57,-4.29,62.6,0.97,-54.0000,1482.0000,-3.52
100,200,500,0.21,0.5,0.9,1535,1140,395,74.27,1.56,-4.65,66.7,0.97,-61.5000,1473.5000,-4.01
100,200,500,0.21,0.3,0.7,1536,1123,413,73.11,1.39,-3.94,52.1,0.96,-62.9000,1473.1000,-4.10
100,200,500,0.21,0.4,0.7,1536,1100,436,71.61,1.49,-3.92,55.2,0.96,-64.6000,1471.4000,-4.21
100,200,500,0.21,0.4,0.8,1536,1132,404,73.70,1.48,-4.30,59.2,0.96,-68.0000,1468.0000,-4.43
100,200,500,0.21,0.3,0.8,1536,1153,383,75.07,1.37,-4.32,55.6,0.96,-70.4000,1465.6000,-4.58
100,200,500,0.21,0.4,0.9,1535,1157,378,75.37,1.46,-4.66,63.3,0.96,-72.0000,1463.0000,-4.69
100,200,500,0.21,0.3,0.9,1535,1175,360,76.55,1.36,-4.67,59.2,0.95,-84.2000,1450.8000,-5.49
