第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
170,做空,2025-02-26 00:45:00,2025-02-26 04:00:00,13,-1.667,止损,171,做多,2025-02-26 01:45:00,2025-02-26 03:30:00,7,0.667,止盈,方向冲突,2025-02-26 01:45:00,2025-02-26 03:30:00,105.0,7.0,4.0,-1.0,-100.0,40.0
170,做空,2025-02-26 00:45:00,2025-02-26 04:00:00,13,-1.667,止损,172,做多,2025-02-26 02:30:00,2025-02-26 03:30:00,4,0.667,止盈,方向冲突,2025-02-26 02:30:00,2025-02-26 03:30:00,60.0,4.0,7.0,-1.0,-100.0,40.0
171,做多,2025-02-26 01:45:00,2025-02-26 03:30:00,7,0.667,止盈,172,做多,2025-02-26 02:30:00,2025-02-26 03:30:00,4,0.667,止盈,双倍做多,2025-02-26 02:30:00,2025-02-26 03:30:00,60.0,4.0,3.0,1.334,40.0,40.0
173,做空,2025-02-26 04:30:00,2025-02-26 08:30:00,16,0.667,止盈,174,做多,2025-02-26 06:30:00,2025-02-26 16:15:00,39,-1.667,止损,方向冲突,2025-02-26 06:30:00,2025-02-26 08:30:00,120.0,8.0,8.0,-1.0,40.0,-100.0
180,做多,2025-02-27 12:15:00,2025-02-27 13:30:00,5,0.667,止盈,181,做空,2025-02-27 13:15:00,2025-02-27 15:15:00,8,-1.667,止损,方向冲突,2025-02-27 13:15:00,2025-02-27 13:30:00,15.0,1.0,4.0,-1.0,40.0,-100.0
200,做空,2025-03-04 04:45:00,2025-03-04 05:45:00,4,0.667,止盈,201,做空,2025-03-04 05:15:00,2025-03-04 05:45:00,2,0.667,止盈,双倍做空,2025-03-04 05:15:00,2025-03-04 05:45:00,30.0,2.0,2.0,1.334,40.0,40.0
202,做空,2025-03-04 12:15:00,2025-03-04 15:15:00,12,0.667,止盈,203,做空,2025-03-04 13:30:00,2025-03-04 15:00:00,6,0.667,止盈,双倍做空,2025-03-04 13:30:00,2025-03-04 15:00:00,90.0,6.0,5.0,1.334,40.0,40.0
202,做空,2025-03-04 12:15:00,2025-03-04 15:15:00,12,0.667,止盈,204,做多,2025-03-04 14:45:00,2025-03-04 17:00:00,9,0.667,止盈,方向冲突,2025-03-04 14:45:00,2025-03-04 15:15:00,30.0,2.0,10.0,1.334,40.0,40.0
203,做空,2025-03-04 13:30:00,2025-03-04 15:00:00,6,0.667,止盈,204,做多,2025-03-04 14:45:00,2025-03-04 17:00:00,9,0.667,止盈,方向冲突,2025-03-04 14:45:00,2025-03-04 15:00:00,15.0,1.0,5.0,1.334,40.0,40.0
206,做多,2025-03-04 21:30:00,2025-03-04 22:30:00,4,0.667,止盈,207,做多,2025-03-04 22:15:00,2025-03-04 22:30:00,1,0.667,止盈,双倍做多,2025-03-04 22:15:00,2025-03-04 22:30:00,15.0,1.0,3.0,1.334,40.0,40.0
211,做空,2025-03-05 03:15:00,2025-03-05 04:45:00,6,0.667,止盈,212,做空,2025-03-05 03:45:00,2025-03-05 04:45:00,4,0.667,止盈,双倍做空,2025-03-05 03:45:00,2025-03-05 04:45:00,60.0,4.0,2.0,1.334,40.0,40.0
218,做空,2025-03-05 23:00:00,2025-03-06 00:00:00,4,0.667,止盈,219,做空,2025-03-05 23:30:00,2025-03-06 00:00:00,2,0.667,止盈,双倍做空,2025-03-05 23:30:00,2025-03-06 00:00:00,30.0,2.0,2.0,1.334,40.0,40.0
222,做空,2025-03-06 10:15:00,2025-03-06 13:30:00,13,-1.667,止损,223,做空,2025-03-06 11:00:00,2025-03-06 20:45:00,39,0.667,止盈,双倍做空,2025-03-06 11:00:00,2025-03-06 13:30:00,150.0,10.0,3.0,-1.0,-100.0,40.0
224,做多,2025-03-06 20:15:00,2025-03-06 22:00:00,7,-1.667,止损,225,做多,2025-03-06 20:45:00,2025-03-06 22:45:00,8,-1.667,止损,双倍做多,2025-03-06 20:45:00,2025-03-06 22:00:00,75.0,5.0,2.0,-3.334,-100.0,-100.0
235,做空,2025-03-08 20:30:00,2025-03-09 01:30:00,20,-1.667,止损,236,做空,2025-03-08 21:30:00,2025-03-08 23:00:00,6,0.667,止盈,双倍做空,2025-03-08 21:30:00,2025-03-08 23:00:00,90.0,6.0,4.0,-1.0,-100.0,40.0
269,做空,2025-03-18 01:45:00,2025-03-18 09:00:00,29,0.667,止盈,270,做空,2025-03-18 02:45:00,2025-03-18 04:15:00,6,0.667,止盈,双倍做空,2025-03-18 02:45:00,2025-03-18 04:15:00,90.0,6.0,4.0,1.334,40.0,40.0
273,做空,2025-03-19 19:15:00,2025-03-19 20:30:00,5,0.667,止盈,274,做空,2025-03-19 19:45:00,2025-03-19 20:15:00,2,0.667,止盈,双倍做空,2025-03-19 19:45:00,2025-03-19 20:15:00,30.0,2.0,2.0,1.334,40.0,40.0
305,做多,2025-04-03 22:30:00,2025-04-03 23:30:00,4,0.667,止盈,306,做空,2025-04-03 23:00:00,2025-04-04 03:00:00,16,-1.667,止损,方向冲突,2025-04-03 23:00:00,2025-04-03 23:30:00,30.0,2.0,2.0,-1.0,40.0,-100.0
328,做多,2025-04-09 03:15:00,2025-04-09 04:30:00,5,0.667,止盈,329,做空,2025-04-09 03:45:00,2025-04-09 06:15:00,10,0.667,止盈,方向冲突,2025-04-09 03:45:00,2025-04-09 04:30:00,45.0,3.0,2.0,1.334,40.0,40.0
336,做空,2025-04-09 23:45:00,2025-04-10 01:15:00,6,-1.667,止损,337,做空,2025-04-10 00:15:00,2025-04-10 01:15:00,4,-1.667,止损,双倍做空,2025-04-10 00:15:00,2025-04-10 01:15:00,60.0,4.0,2.0,-3.334,-100.0,-100.0
