第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
538,做多,2025-06-25 12:45:00,2025-06-26 05:00:00,65,0.667,止盈,539,做多,2025-06-25 23:00:00,2025-06-26 03:15:00,17,0.667,止盈,双倍做多,2025-06-25 23:00:00,2025-06-26 03:15:00,255.0,17.0,41.0,1.334,40.0,40.0
555,做多,2025-07-14 22:45:00,2025-07-15 09:30:00,43,-1.667,止损,556,做多,2025-07-15 08:45:00,2025-07-15 11:15:00,10,-1.667,止损,双倍做多,2025-07-15 08:45:00,2025-07-15 09:30:00,45.0,3.0,40.0,-3.334,-100.0,-100.0
558,做空,2025-07-16 14:30:00,2025-07-16 22:45:00,33,-1.667,止损,559,做空,2025-07-16 22:00:00,2025-07-16 22:45:00,3,-1.667,止损,双倍做空,2025-07-16 22:00:00,2025-07-16 22:45:00,45.0,3.0,30.0,-3.334,-100.0,-100.0
591,做空,2025-07-26 10:30:00,2025-07-27 02:15:00,63,0.667,止盈,592,做空,2025-07-26 16:30:00,2025-07-26 19:30:00,12,0.667,止盈,双倍做空,2025-07-26 16:30:00,2025-07-26 19:30:00,180.0,12.0,24.0,1.334,40.0,40.0
591,做空,2025-07-26 10:30:00,2025-07-27 02:15:00,63,0.667,止盈,593,做多,2025-07-26 19:00:00,2025-07-27 06:15:00,45,0.667,止盈,方向冲突,2025-07-26 19:00:00,2025-07-27 02:15:00,435.0,29.0,34.0,1.334,40.0,40.0
634,做空,2025-08-13 18:00:00,2025-08-13 21:30:00,14,0.667,止盈,635,做多,2025-08-13 21:00:00,2025-08-13 23:15:00,9,-1.667,止损,方向冲突,2025-08-13 21:00:00,2025-08-13 21:30:00,30.0,2.0,12.0,-1.0,40.0,-100.0
653,做空,2025-08-19 17:00:00,2025-08-19 22:15:00,21,0.667,止盈,654,做多,2025-08-19 21:45:00,2025-08-19 22:30:00,3,-1.667,止损,方向冲突,2025-08-19 21:45:00,2025-08-19 22:15:00,30.0,2.0,19.0,-1.0,40.0,-100.0
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,30,0.667,止盈,689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,15,0.667,止盈,双倍做多,2025-09-05 02:30:00,2025-09-05 06:15:00,225.0,15.0,13.0,1.334,40.0,40.0
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,30,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,9,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,9.0,15.0,1.334,40.0,40.0
701,做多,2025-09-15 17:00:00,2025-09-16 22:00:00,116,-1.667,止损,702,做多,2025-09-16 21:45:00,2025-09-17 01:15:00,14,0.667,止盈,双倍做多,2025-09-16 21:45:00,2025-09-16 22:00:00,15.0,1.0,115.0,-1.0,-100.0,40.0
769,做空,2025-10-18 02:30:00,2025-10-18 15:15:00,51,-1.667,止损,770,做空,2025-10-18 08:30:00,2025-10-18 15:15:00,27,-1.667,止损,双倍做空,2025-10-18 08:30:00,2025-10-18 15:15:00,405.0,27.0,24.0,-3.334,-100.0,-100.0
769,做空,2025-10-18 02:30:00,2025-10-18 15:15:00,51,-1.667,止损,771,做空,2025-10-18 09:30:00,2025-10-19 16:15:00,123,0.667,止盈,双倍做空,2025-10-18 09:30:00,2025-10-18 15:15:00,345.0,23.0,28.0,-1.0,-100.0,40.0
780,做多,2025-10-27 16:45:00,2025-10-28 00:00:00,29,0.667,止盈,781,做空,2025-10-27 23:15:00,2025-10-28 04:45:00,22,0.667,止盈,方向冲突,2025-10-27 23:15:00,2025-10-28 00:00:00,45.0,3.0,26.0,1.334,40.0,40.0
