杠杆,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,总盈亏USDT,盈亏比,价格止盈%,价格止损%
90,50,100,0.21,3123,2268,855,72.62,50.00,-100.00,4.26,279.0000,1.33,0.5556,1.1111
90,50,100,0.23,2924,2132,792,72.91,50.00,-100.00,4.23,274.0000,1.35,0.5556,1.1111
90,50,100,0.25,2702,1960,742,72.54,50.00,-100.00,4.18,238.0000,1.32,0.5556,1.1111
90,50,100,0.27,2513,1810,703,72.03,50.00,-100.00,4.13,202.0000,1.29,0.5556,1.1111
90,50,100,0.29,2325,1673,652,71.96,50.00,-100.00,4.09,184.5000,1.28,0.5556,1.1111
90,50,100,0.31,2119,1525,594,71.97,50.00,-100.00,4.03,168.5000,1.28,0.5556,1.1111
90,50,100,0.33,1974,1412,562,71.53,50.00,-100.00,4.00,144.0000,1.26,0.5556,1.1111
90,50,100,0.35,1813,1291,522,71.21,50.00,-100.00,3.97,123.5000,1.24,0.5556,1.1111
90,50,100,0.37,1671,1188,483,71.10,50.00,-100.00,3.92,111.0000,1.23,0.5556,1.1111
90,50,100,0.39,1537,1098,439,71.44,50.00,-100.00,3.87,110.0000,1.25,0.5556,1.1111
90,50,100,0.41,1432,1020,412,71.23,50.00,-100.00,3.82,98.0000,1.24,0.5556,1.1111
90,50,100,0.43,1319,938,381,71.11,50.00,-100.00,3.76,88.0000,1.23,0.5556,1.1111
90,50,100,0.45,1230,868,362,70.57,50.00,-100.00,3.75,72.0000,1.20,0.5556,1.1111
90,50,100,0.47,1134,806,328,71.08,50.00,-100.00,3.70,75.0000,1.23,0.5556,1.1111
90,50,100,0.49,1049,754,295,71.88,50.00,-100.00,3.66,82.0000,1.28,0.5556,1.1111
90,55,100,0.21,3004,2122,882,70.64,55.00,-100.00,4.44,285.1000,1.32,0.6111,1.1111
90,55,100,0.23,2810,1992,818,70.89,55.00,-100.00,4.40,277.6000,1.34,0.6111,1.1111
90,55,100,0.25,2601,1833,768,70.47,55.00,-100.00,4.36,240.1500,1.31,0.6111,1.1111
90,55,100,0.27,2419,1692,727,69.95,55.00,-100.00,4.30,203.6000,1.28,0.6111,1.1111
90,55,100,0.29,2242,1566,676,69.85,55.00,-100.00,4.26,185.3000,1.27,0.6111,1.1111
90,55,100,0.31,2044,1427,617,69.81,55.00,-100.00,4.20,167.8500,1.27,0.6111,1.1111
90,55,100,0.33,1902,1317,585,69.24,55.00,-100.00,4.18,139.3500,1.24,0.6111,1.1111
90,55,100,0.35,1752,1207,545,68.89,55.00,-100.00,4.16,118.8500,1.22,0.6111,1.1111
90,55,100,0.37,1617,1114,503,68.89,55.00,-100.00,4.10,109.7000,1.22,0.6111,1.1111
90,55,100,0.39,1488,1031,457,69.29,55.00,-100.00,4.05,110.0500,1.24,0.6111,1.1111
90,55,100,0.41,1387,958,429,69.07,55.00,-100.00,4.01,97.9000,1.23,0.6111,1.1111
90,55,100,0.43,1280,882,398,68.91,55.00,-100.00,3.96,87.1000,1.22,0.6111,1.1111
90,55,100,0.45,1194,816,378,68.34,55.00,-100.00,3.95,70.8000,1.19,0.6111,1.1111
90,55,100,0.47,1101,758,343,68.85,55.00,-100.00,3.89,73.9000,1.22,0.6111,1.1111
90,55,100,0.49,1020,712,308,69.80,55.00,-100.00,3.86,83.6000,1.27,0.6111,1.1111
90,60,100,0.21,2887,1980,907,68.58,60.00,-100.00,4.63,281.0000,1.31,0.6667,1.1111
90,60,100,0.23,2705,1863,842,68.87,60.00,-100.00,4.60,275.8000,1.33,0.6667,1.1111
90,60,100,0.25,2512,1722,790,68.55,60.00,-100.00,4.56,243.2000,1.31,0.6667,1.1111
90,60,100,0.27,2342,1594,748,68.06,60.00,-100.00,4.51,208.4000,1.28,0.6667,1.1111
90,60,100,0.29,2177,1483,694,68.12,60.00,-100.00,4.47,195.8000,1.28,0.6667,1.1111
90,60,100,0.31,1985,1352,633,68.11,60.00,-100.00,4.40,178.2000,1.28,0.6667,1.1111
90,60,100,0.33,1853,1253,600,67.62,60.00,-100.00,4.38,151.8000,1.25,0.6667,1.1111
90,60,100,0.35,1706,1148,558,67.29,60.00,-100.00,4.34,130.8000,1.23,0.6667,1.1111
90,60,100,0.37,1578,1062,516,67.30,60.00,-100.00,4.29,121.2000,1.23,0.6667,1.1111
90,60,100,0.39,1454,985,469,67.74,60.00,-100.00,4.24,122.0000,1.26,0.6667,1.1111
90,60,100,0.41,1356,915,441,67.48,60.00,-100.00,4.21,108.0000,1.24,0.6667,1.1111
90,60,100,0.43,1256,846,410,67.36,60.00,-100.00,4.17,97.6000,1.24,0.6667,1.1111
90,60,100,0.45,1170,781,389,66.75,60.00,-100.00,4.14,79.6000,1.20,0.6667,1.1111
90,60,100,0.47,1079,725,354,67.19,60.00,-100.00,4.09,81.0000,1.23,0.6667,1.1111
90,60,100,0.49,1001,683,318,68.23,60.00,-100.00,4.06,91.8000,1.29,0.6667,1.1111
90,65,100,0.21,2761,1833,928,66.39,65.00,-100.00,4.78,263.4500,1.28,0.7222,1.1111
90,65,100,0.23,2589,1726,863,66.67,65.00,-100.00,4.75,258.9000,1.30,0.7222,1.1111
90,65,100,0.25,2403,1594,809,66.33,65.00,-100.00,4.71,227.1000,1.28,0.7222,1.1111
90,65,100,0.27,2246,1483,763,66.03,65.00,-100.00,4.66,200.9500,1.26,0.7222,1.1111
90,65,100,0.29,2087,1378,709,66.03,65.00,-100.00,4.61,186.7000,1.26,0.7222,1.1111
90,65,100,0.31,1904,1257,647,66.02,65.00,-100.00,4.55,170.0500,1.26,0.7222,1.1111
90,65,100,0.33,1784,1172,612,65.70,65.00,-100.00,4.52,149.8000,1.24,0.7222,1.1111
