杠杆,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,总盈亏USDT,盈亏比,价格止盈%,价格止损%
40,75,100,0.23,671,455,216,67.81,75.00,-100.00,6.21,125.2500,1.58,1.8750,2.5000
40,75,100,0.25,629,424,205,67.41,75.00,-100.00,6.17,113.0000,1.55,1.8750,2.5000
40,75,100,0.27,590,396,194,67.12,75.00,-100.00,6.10,103.0000,1.53,1.8750,2.5000
40,75,100,0.29,569,385,184,67.66,75.00,-100.00,6.08,104.7500,1.57,1.8750,2.5000
40,75,100,0.31,538,366,172,68.03,75.00,-100.00,6.05,102.5000,1.60,1.8750,2.5000
40,75,100,0.33,513,349,164,68.03,75.00,-100.00,6.03,97.7500,1.60,1.8750,2.5000
40,75,100,0.35,492,333,159,67.68,75.00,-100.00,6.05,90.7500,1.57,1.8750,2.5000
40,75,100,0.37,465,314,151,67.53,75.00,-100.00,6.02,84.5000,1.56,1.8750,2.5000
40,75,100,0.39,438,297,141,67.81,75.00,-100.00,5.97,81.7500,1.58,1.8750,2.5000
40,75,100,0.41,418,281,137,67.22,75.00,-100.00,6.00,73.7500,1.54,1.8750,2.5000
40,75,100,0.43,393,263,130,66.92,75.00,-100.00,6.01,67.2500,1.52,1.8750,2.5000
40,75,100,0.45,368,245,123,66.58,75.00,-100.00,6.03,60.7500,1.49,1.8750,2.5000
40,75,100,0.47,347,230,117,66.28,75.00,-100.00,6.00,55.5000,1.47,1.8750,2.5000
40,75,100,0.49,330,220,110,66.67,75.00,-100.00,5.94,55.0000,1.50,1.8750,2.5000
40,80,100,0.21,640,413,227,64.53,80.00,-100.00,6.30,103.4000,1.46,2.0000,2.5000
40,80,100,0.23,610,394,216,64.59,80.00,-100.00,6.29,99.2000,1.46,2.0000,2.5000
40,80,100,0.25,570,365,205,64.04,80.00,-100.00,6.26,87.0000,1.42,2.0000,2.5000
40,80,100,0.27,537,343,194,63.87,80.00,-100.00,6.19,80.4000,1.41,2.0000,2.5000
40,80,100,0.29,516,332,184,64.34,80.00,-100.00,6.18,81.6000,1.44,2.0000,2.5000
40,80,100,0.31,488,316,172,64.75,80.00,-100.00,6.17,80.8000,1.47,2.0000,2.5000
40,80,100,0.33,464,300,164,64.66,80.00,-100.00,6.14,76.0000,1.46,2.0000,2.5000
40,80,100,0.35,444,285,159,64.19,80.00,-100.00,6.17,69.0000,1.43,2.0000,2.5000
40,80,100,0.37,418,267,151,63.88,80.00,-100.00,6.16,62.6000,1.41,2.0000,2.5000
40,80,100,0.39,393,252,141,64.12,80.00,-100.00,6.09,60.6000,1.43,2.0000,2.5000
40,80,100,0.41,375,238,137,63.47,80.00,-100.00,6.11,53.4000,1.39,2.0000,2.5000
40,80,100,0.43,353,223,130,63.17,80.00,-100.00,6.11,48.4000,1.37,2.0000,2.5000
40,80,100,0.45,332,209,123,62.95,80.00,-100.00,6.13,44.2000,1.36,2.0000,2.5000
40,80,100,0.47,314,197,117,62.74,80.00,-100.00,6.11,40.6000,1.35,2.0000,2.5000
40,80,100,0.49,299,189,110,63.21,80.00,-100.00,6.05,41.2000,1.37,2.0000,2.5000
40,85,100,0.21,594,367,227,61.78,85.00,-100.00,6.32,84.9500,1.37,2.1250,2.5000
40,85,100,0.23,567,351,216,61.90,85.00,-100.00,6.31,82.3500,1.38,2.1250,2.5000
40,85,100,0.25,530,325,205,61.32,85.00,-100.00,6.29,71.2500,1.35,2.1250,2.5000
40,85,100,0.27,501,307,194,61.28,85.00,-100.00,6.23,66.9500,1.35,2.1250,2.5000
40,85,100,0.29,481,297,184,61.75,85.00,-100.00,6.22,68.4500,1.37,2.1250,2.5000
40,85,100,0.31,454,282,172,62.11,85.00,-100.00,6.21,67.7000,1.39,2.1250,2.5000
40,85,100,0.33,431,267,164,61.95,85.00,-100.00,6.19,62.9500,1.38,2.1250,2.5000
40,85,100,0.35,412,253,159,61.41,85.00,-100.00,6.19,56.0500,1.35,2.1250,2.5000
40,85,100,0.37,390,239,151,61.28,85.00,-100.00,6.17,52.1500,1.35,2.1250,2.5000
40,85,100,0.39,365,224,141,61.37,85.00,-100.00,6.10,49.4000,1.35,2.1250,2.5000
40,85,100,0.41,350,213,137,60.86,85.00,-100.00,6.14,44.0500,1.32,2.1250,2.5000
40,85,100,0.43,332,202,130,60.84,85.00,-100.00,6.14,41.7000,1.32,2.1250,2.5000
40,85,100,0.45,312,189,123,60.58,85.00,-100.00,6.14,37.6500,1.31,2.1250,2.5000
40,85,100,0.47,295,178,117,60.34,85.00,-100.00,6.11,34.3000,1.29,2.1250,2.5000
40,85,100,0.49,281,171,110,60.85,85.00,-100.00,6.05,35.3500,1.32,2.1250,2.5000
40,90,100,0.21,555,327,228,58.92,90.00,-100.00,6.44,66.3000,1.29,2.2500,2.5000
40,90,100,0.23,530,313,217,59.06,90.00,-100.00,6.42,64.7000,1.30,2.2500,2.5000
40,90,100,0.25,496,290,206,58.47,90.00,-100.00,6.39,55.0000,1.27,2.2500,2.5000
40,90,100,0.27,468,273,195,58.33,90.00,-100.00,6.33,50.7000,1.26,2.2500,2.5000
40,90,100,0.29,450,265,185,58.89,90.00,-100.00,6.32,53.5000,1.29,2.2500,2.5000
40,90,100,0.31,425,252,173,59.29,90.00,-100.00,6.32,53.8000,1.31,2.2500,2.5000
40,90,100,0.33,403,238,165,59.06,90.00,-100.00,6.30,49.2000,1.30,2.2500,2.5000
40,90,100,0.35,384,224,160,58.33,90.00,-100.00,6.29,41.6000,1.26,2.2500,2.5000
40,90,100,0.37,364,212,152,58.24,90.00,-100.00,6.29,38.8000,1.26,2.2500,2.5000
40,90,100,0.39,342,200,142,58.48,90.00,-100.00,6.23,38.0000,1.27,2.2500,2.5000
40,90,100,0.41,328,190,138,57.93,90.00,-100.00,6.24,33.0000,1.24,2.2500,2.5000
40,90,100,0.43,310,179,131,57.74,90.00,-100.00,6.25,30.1000,1.23,2.2500,2.5000
40,90,100,0.45,292,168,124,57.53,90.00,-100.00,6.26,27.2000,1.22,2.2500,2.5000
40,90,100,0.47,276,158,118,57.25,90.00,-100.00,6.21,24.2000,1.21,2.2500,2.5000
40,90,100,0.49,262,151,111,57.63,90.00,-100.00,6.14,24.9000,1.22,2.2500,2.5000
40,95,100,0.21,521,292,229,56.05,95.00,-100.00,6.50,48.4000,1.21,2.3750,2.5000
40,95,100,0.23,498,280,218,56.22,95.00,-100.00,6.49,48.0000,1.22,2.3750,2.5000
40,95,100,0.25,466,259,207,55.58,95.00,-100.00,6.47,39.0500,1.19,2.3750,2.5000
40,95,100,0.27,439,243,196,55.35,95.00,-100.00,6.41,34.8500,1.18,2.3750,2.5000
40,95,100,0.29,424,238,186,56.13,95.00,-100.00,6.40,40.1000,1.22,2.3750,2.5000
40,95,100,0.31,400,226,174,56.50,95.00,-100.00,6.39,40.7000,1.23,2.3750,2.5000
40,95,100,0.33,379,213,166,56.20,95.00,-100.00,6.36,36.3500,1.22,2.3750,2.5000
40,95,100,0.35,362,201,161,55.52,95.00,-100.00,6.35,29.9500,1.19,2.3750,2.5000
40,95,100,0.37,343,191,152,55.69,95.00,-100.00,6.32,29.4500,1.19,2.3750,2.5000
40,95,100,0.39,322,180,142,55.90,95.00,-100.00,6.25,29.0000,1.20,2.3750,2.5000
40,95,100,0.41,309,171,138,55.34,95.00,-100.00,6.25,24.4500,1.18,2.3750,2.5000
40,95,100,0.43,291,160,131,54.98,95.00,-100.00,6.25,21.0000,1.16,2.3750,2.5000
40,95,100,0.45,275,151,124,54.91,95.00,-100.00,6.23,19.4500,1.16,2.3750,2.5000
40,95,100,0.47,259,141,118,54.44,95.00,-100.00,6.16,15.9500,1.14,2.3750,2.5000
40,95,100,0.49,247,136,111,55.06,95.00,-100.00,6.10,18.2000,1.16,2.3750,2.5000
40,100,100,0.21,495,266,229,53.74,100.00,-100.00,6.57,37.0000,1.16,2.5000,2.5000
40,100,100,0.23,475,257,218,54.11,100.00,-100.00,6.57,39.0000,1.18,2.5000,2.5000
40,100,100,0.25,443,236,207,53.27,100.00,-100.00,6.54,29.0000,1.14,2.5000,2.5000
40,100,100,0.27,420,224,196,53.33,100.00,-100.00,6.48,28.0000,1.14,2.5000,2.5000
40,100,100,0.29,406,220,186,54.19,100.00,-100.00,6.45,34.0000,1.18,2.5000,2.5000
40,100,100,0.31,381,207,174,54.33,100.00,-100.00,6.44,33.0000,1.19,2.5000,2.5000
40,100,100,0.33,362,196,166,54.14,100.00,-100.00,6.41,30.0000,1.18,2.5000,2.5000
40,100,100,0.35,345,184,161,53.33,100.00,-100.00,6.39,23.0000,1.14,2.5000,2.5000
40,100,100,0.37,327,175,152,53.52,100.00,-100.00,6.37,23.0000,1.15,2.5000,2.5000
40,100,100,0.39,308,166,142,53.90,100.00,-100.00,6.31,24.0000,1.17,2.5000,2.5000
40,100,100,0.41,298,160,138,53.69,100.00,-100.00,6.33,22.0000,1.16,2.5000,2.5000
40,100,100,0.43,282,151,131,53.55,100.00,-100.00,6.34,20.0000,1.15,2.5000,2.5000
40,100,100,0.45,267,143,124,53.56,100.00,-100.00,6.33,19.0000,1.15,2.5000,2.5000
40,100,100,0.47,251,133,118,52.99,100.00,-100.00,6.25,15.0000,1.13,2.5000,2.5000
40,100,100,0.49,239,128,111,53.56,100.00,-100.00,6.19,17.0000,1.15,2.5000,2.5000
45,40,100,0.21,1808,1535,273,84.90,40.00,-100.00,5.10,341.0000,2.25,0.8889,2.2222
45,40,100,0.23,1712,1451,261,84.75,40.00,-100.00,5.09,319.4000,2.22,0.8889,2.2222
45,40,100,0.25,1593,1346,247,84.49,40.00,-100.00,5.06,291.4000,2.18,0.8889,2.2222
45,40,100,0.27,1492,1259,233,84.38,40.00,-100.00,5.02,270.6000,2.16,0.8889,2.2222
45,40,100,0.29,1398,1179,219,84.33,40.00,-100.00,4.98,252.6000,2.15,0.8889,2.2222
45,40,100,0.31,1279,1079,200,84.36,40.00,-100.00,4.92,231.6000,2.16,0.8889,2.2222
45,40,100,0.33,1197,1009,188,84.29,40.00,-100.00,4.89,215.6000,2.15,0.8889,2.2222
45,40,100,0.35,1118,936,182,83.72,40.00,-100.00,4.87,192.4000,2.06,0.8889,2.2222
45,40,100,0.37,1045,871,174,83.35,40.00,-100.00,4.83,174.4000,2.00,0.8889,2.2222
45,40,100,0.39,972,813,159,83.64,40.00,-100.00,4.80,166.2000,2.05,0.8889,2.2222
45,40,100,0.41,916,763,153,83.30,40.00,-100.00,4.78,152.2000,1.99,0.8889,2.2222
45,40,100,0.43,860,715,145,83.14,40.00,-100.00,4.79,141.0000,1.97,0.8889,2.2222
45,40,100,0.45,798,661,137,82.83,40.00,-100.00,4.77,127.4000,1.93,0.8889,2.2222
45,40,100,0.47,750,622,128,82.93,40.00,-100.00,4.73,120.8000,1.94,0.8889,2.2222
45,40,100,0.49,699,582,117,83.26,40.00,-100.00,4.70,115.8000,1.99,0.8889,2.2222
45,45,100,0.21,1646,1368,278,83.11,45.00,-100.00,5.36,337.6000,2.21,1.0000,2.2222
45,45,100,0.23,1556,1290,266,82.90,45.00,-100.00,5.35,314.5000,2.18,1.0000,2.2222
45,45,100,0.25,1447,1196,251,82.65,45.00,-100.00,5.32,287.2000,2.14,1.0000,2.2222
45,45,100,0.27,1360,1123,237,82.57,45.00,-100.00,5.27,268.3500,2.13,1.0000,2.2222
45,45,100,0.29,1278,1055,223,82.55,45.00,-100.00,5.24,251.7500,2.13,1.0000,2.2222
45,45,100,0.31,1173,971,202,82.78,45.00,-100.00,5.16,234.9500,2.16,1.0000,2.2222
45,45,100,0.33,1099,909,190,82.71,45.00,-100.00,5.13,219.0500,2.15,1.0000,2.2222
45,45,100,0.35,1029,845,184,82.12,45.00,-100.00,5.11,196.2500,2.07,1.0000,2.2222
45,45,100,0.37,962,786,176,81.70,45.00,-100.00,5.06,177.7000,2.01,1.0000,2.2222
45,45,100,0.39,899,738,161,82.09,45.00,-100.00,5.04,171.1000,2.06,1.0000,2.2222
45,45,100,0.41,845,690,155,81.66,45.00,-100.00,5.00,155.5000,2.00,1.0000,2.2222
45,45,100,0.43,795,648,147,81.51,45.00,-100.00,5.04,144.6000,1.98,1.0000,2.2222
45,45,100,0.45,741,602,139,81.24,45.00,-100.00,5.03,131.9000,1.95,1.0000,2.2222
45,45,100,0.47,696,566,130,81.32,45.00,-100.00,4.99,124.7000,1.96,1.0000,2.2222
45,45,100,0.49,648,529,119,81.64,45.00,-100.00,4.95,119.0500,2.00,1.0000,2.2222
45,50,100,0.21,1473,1191,282,80.86,50.00,-100.00,5.54,313.5000,2.11,1.1111,2.2222
45,50,100,0.23,1391,1121,270,80.59,50.00,-100.00,5.52,290.5000,2.08,1.1111,2.2222
45,50,100,0.25,1297,1042,255,80.34,50.00,-100.00,5.49,266.0000,2.04,1.1111,2.2222
45,50,100,0.27,1224,983,241,80.31,50.00,-100.00,5.44,250.5000,2.04,1.1111,2.2222
45,50,100,0.29,1156,929,227,80.36,50.00,-100.00,5.41,237.5000,2.05,1.1111,2.2222
45,50,100,0.31,1063,857,206,80.62,50.00,-100.00,5.32,222.5000,2.08,1.1111,2.2222
45,50,100,0.33,998,804,194,80.56,50.00,-100.00,5.29,208.0000,2.07,1.1111,2.2222
45,50,100,0.35,939,751,188,79.98,50.00,-100.00,5.26,187.5000,2.00,1.1111,2.2222
45,50,100,0.37,880,700,180,79.55,50.00,-100.00,5.22,170.0000,1.94,1.1111,2.2222
45,50,100,0.39,820,655,165,79.88,50.00,-100.00,5.17,162.5000,1.98,1.1111,2.2222
45,50,100,0.41,771,612,159,79.38,50.00,-100.00,5.15,147.0000,1.92,1.1111,2.2222
45,50,100,0.43,722,571,151,79.09,50.00,-100.00,5.17,134.5000,1.89,1.1111,2.2222
45,50,100,0.45,672,529,143,78.72,50.00,-100.00,5.18,121.5000,1.85,1.1111,2.2222
45,50,100,0.47,632,498,134,78.80,50.00,-100.00,5.15,115.0000,1.86,1.1111,2.2222
45,50,100,0.49,589,466,123,79.12,50.00,-100.00,5.09,110.0000,1.89,1.1111,2.2222
45,55,100,0.21,1321,1032,289,78.12,55.00,-100.00,5.66,278.6000,1.96,1.2222,2.2222
45,55,100,0.23,1250,974,276,77.92,55.00,-100.00,5.64,259.7000,1.94,1.2222,2.2222
45,55,100,0.25,1165,905,260,77.68,55.00,-100.00,5.60,237.7500,1.91,1.2222,2.2222
45,55,100,0.27,1097,851,246,77.58,55.00,-100.00,5.54,222.0500,1.90,1.2222,2.2222
45,55,100,0.29,1040,808,232,77.69,55.00,-100.00,5.52,212.4000,1.92,1.2222,2.2222
45,55,100,0.31,958,748,210,78.08,55.00,-100.00,5.41,201.4000,1.96,1.2222,2.2222
45,55,100,0.33,899,701,198,77.98,55.00,-100.00,5.37,187.5500,1.95,1.2222,2.2222
45,55,100,0.35,847,655,192,77.33,55.00,-100.00,5.34,168.2500,1.88,1.2222,2.2222
45,55,100,0.37,797,613,184,76.91,55.00,-100.00,5.30,153.1500,1.83,1.2222,2.2222
45,55,100,0.39,748,579,169,77.41,55.00,-100.00,5.26,149.4500,1.88,1.2222,2.2222
45,55,100,0.41,709,546,163,77.01,55.00,-100.00,5.26,137.3000,1.84,1.2222,2.2222
45,55,100,0.43,669,514,155,76.83,55.00,-100.00,5.30,127.7000,1.82,1.2222,2.2222
45,55,100,0.45,621,474,147,76.33,55.00,-100.00,5.32,113.7000,1.77,1.2222,2.2222
45,55,100,0.47,585,447,138,76.41,55.00,-100.00,5.28,107.8500,1.78,1.2222,2.2222
45,55,100,0.49,546,419,127,76.74,55.00,-100.00,5.21,103.4500,1.81,1.2222,2.2222
45,60,100,0.21,1181,885,296,74.94,60.00,-100.00,5.84,235.0000,1.79,1.3333,2.2222
45,60,100,0.23,1121,837,284,74.67,60.00,-100.00,5.82,218.2000,1.77,1.3333,2.2222
45,60,100,0.25,1044,777,267,74.43,60.00,-100.00,5.79,199.2000,1.75,1.3333,2.2222
45,60,100,0.27,985,733,252,74.42,60.00,-100.00,5.72,187.8000,1.75,1.3333,2.2222
45,60,100,0.29,937,700,237,74.71,60.00,-100.00,5.68,183.0000,1.77,1.3333,2.2222
45,60,100,0.31,867,652,215,75.20,60.00,-100.00,5.60,176.2000,1.82,1.3333,2.2222
45,60,100,0.33,819,617,202,75.34,60.00,-100.00,5.57,168.2000,1.83,1.3333,2.2222
45,60,100,0.35,779,583,196,74.84,60.00,-100.00,5.56,153.8000,1.78,1.3333,2.2222
45,60,100,0.37,735,547,188,74.42,60.00,-100.00,5.53,140.2000,1.75,1.3333,2.2222
45,60,100,0.39,693,520,173,75.04,60.00,-100.00,5.48,139.0000,1.80,1.3333,2.2222
45,60,100,0.41,657,490,167,74.58,60.00,-100.00,5.50,127.0000,1.76,1.3333,2.2222
45,60,100,0.43,618,459,159,74.27,60.00,-100.00,5.55,116.4000,1.73,1.3333,2.2222
45,60,100,0.45,574,423,151,73.69,60.00,-100.00,5.59,102.8000,1.68,1.3333,2.2222
45,60,100,0.47,542,400,142,73.80,60.00,-100.00,5.56,98.0000,1.69,1.3333,2.2222
45,60,100,0.49,505,374,131,74.06,60.00,-100.00,5.46,93.4000,1.71,1.3333,2.2222
45,65,100,0.21,1077,780,297,72.42,65.00,-100.00,6.00,210.0000,1.71,1.4444,2.2222
45,65,100,0.23,1020,735,285,72.06,65.00,-100.00,5.98,192.7500,1.68,1.4444,2.2222
45,65,100,0.25,956,688,268,71.97,65.00,-100.00,5.96,179.2000,1.67,1.4444,2.2222
45,65,100,0.27,901,648,253,71.92,65.00,-100.00,5.88,168.2000,1.66,1.4444,2.2222
45,65,100,0.29,861,623,238,72.36,65.00,-100.00,5.84,166.9500,1.70,1.4444,2.2222
45,65,100,0.31,799,583,216,72.97,65.00,-100.00,5.78,162.9500,1.75,1.4444,2.2222
45,65,100,0.33,757,554,203,73.18,65.00,-100.00,5.75,157.1000,1.77,1.4444,2.2222
45,65,100,0.35,721,525,196,72.82,65.00,-100.00,5.72,145.2500,1.74,1.4444,2.2222
45,65,100,0.37,683,495,188,72.47,65.00,-100.00,5.70,133.7500,1.71,1.4444,2.2222
45,65,100,0.39,643,470,173,73.09,65.00,-100.00,5.66,132.5000,1.77,1.4444,2.2222
45,65,100,0.41,610,443,167,72.62,65.00,-100.00,5.68,120.9500,1.72,1.4444,2.2222
45,65,100,0.43,574,415,159,72.30,65.00,-100.00,5.72,110.7500,1.70,1.4444,2.2222
45,65,100,0.45,533,382,151,71.67,65.00,-100.00,5.75,97.3000,1.64,1.4444,2.2222
45,65,100,0.47,501,359,142,71.66,65.00,-100.00,5.71,91.3500,1.64,1.4444,2.2222
45,65,100,0.49,471,340,131,72.19,65.00,-100.00,5.63,90.0000,1.69,1.4444,2.2222
45,70,100,0.21,976,677,299,69.36,70.00,-100.00,6.10,174.9000,1.58,1.5556,2.2222
45,70,100,0.23,927,641,286,69.15,70.00,-100.00,6.07,162.7000,1.57,1.5556,2.2222
45,70,100,0.25,869,600,269,69.04,70.00,-100.00,6.04,151.0000,1.56,1.5556,2.2222
45,70,100,0.27,815,561,254,68.83,70.00,-100.00,5.96,138.7000,1.55,1.5556,2.2222
45,70,100,0.29,779,540,239,69.32,70.00,-100.00,5.93,139.0000,1.58,1.5556,2.2222
45,70,100,0.31,727,510,217,70.15,70.00,-100.00,5.86,140.0000,1.65,1.5556,2.2222
45,70,100,0.33,689,485,204,70.39,70.00,-100.00,5.82,135.5000,1.66,1.5556,2.2222
45,70,100,0.35,657,460,197,70.02,70.00,-100.00,5.81,125.0000,1.63,1.5556,2.2222
45,70,100,0.37,622,433,189,69.61,70.00,-100.00,5.77,114.1000,1.60,1.5556,2.2222
45,70,100,0.39,587,413,174,70.36,70.00,-100.00,5.72,115.1000,1.66,1.5556,2.2222
45,70,100,0.41,557,389,168,69.84,70.00,-100.00,5.75,104.3000,1.62,1.5556,2.2222
45,70,100,0.43,523,363,160,69.41,70.00,-100.00,5.80,94.1000,1.59,1.5556,2.2222
45,70,100,0.45,489,337,152,68.92,70.00,-100.00,5.82,83.9000,1.55,1.5556,2.2222
45,70,100,0.47,459,316,143,68.85,70.00,-100.00,5.78,78.2000,1.55,1.5556,2.2222
45,70,100,0.49,433,301,132,69.52,70.00,-100.00,5.71,78.7000,1.60,1.5556,2.2222
45,75,100,0.21,890,589,301,66.18,75.00,-100.00,6.21,140.7500,1.47,1.6667,2.2222
45,75,100,0.23,847,559,288,66.00,75.00,-100.00,6.19,131.2500,1.46,1.6667,2.2222
45,75,100,0.25,795,524,271,65.91,75.00,-100.00,6.16,122.0000,1.45,1.6667,2.2222
45,75,100,0.27,746,490,256,65.68,75.00,-100.00,6.08,111.5000,1.44,1.6667,2.2222
45,75,100,0.29,715,474,241,66.29,75.00,-100.00,6.05,114.5000,1.48,1.6667,2.2222
45,75,100,0.31,669,450,219,67.26,75.00,-100.00,5.98,118.5000,1.54,1.6667,2.2222
45,75,100,0.33,635,429,206,67.56,75.00,-100.00,5.96,115.7500,1.56,1.6667,2.2222
45,75,100,0.35,607,408,199,67.22,75.00,-100.00,5.96,107.0000,1.54,1.6667,2.2222
45,75,100,0.37,574,383,191,66.72,75.00,-100.00,5.93,96.2500,1.50,1.6667,2.2222
45,75,100,0.39,541,365,176,67.47,75.00,-100.00,5.89,97.7500,1.56,1.6667,2.2222
45,75,100,0.41,516,346,170,67.05,75.00,-100.00,5.91,89.5000,1.53,1.6667,2.2222
45,75,100,0.43,486,324,162,66.67,75.00,-100.00,5.95,81.0000,1.50,1.6667,2.2222
45,75,100,0.45,457,303,154,66.30,75.00,-100.00,5.98,73.2500,1.48,1.6667,2.2222
45,75,100,0.47,430,285,145,66.28,75.00,-100.00,5.95,68.7500,1.47,1.6667,2.2222
45,75,100,0.49,405,271,134,66.91,75.00,-100.00,5.87,69.2500,1.52,1.6667,2.2222
45,80,100,0.21,822,519,303,63.14,80.00,-100.00,6.24,112.2000,1.37,1.7778,2.2222
45,80,100,0.23,783,493,290,62.96,80.00,-100.00,6.22,104.4000,1.36,1.7778,2.2222
45,80,100,0.25,735,462,273,62.86,80.00,-100.00,6.20,96.6000,1.35,1.7778,2.2222
45,80,100,0.27,687,429,258,62.45,80.00,-100.00,6.11,85.2000,1.33,1.7778,2.2222
45,80,100,0.29,661,418,243,63.24,80.00,-100.00,6.09,91.4000,1.38,1.7778,2.2222
45,80,100,0.31,618,397,221,64.24,80.00,-100.00,6.03,96.6000,1.44,1.7778,2.2222
45,80,100,0.33,586,378,208,64.51,80.00,-100.00,6.00,94.4000,1.45,1.7778,2.2222
45,80,100,0.35,563,362,201,64.30,80.00,-100.00,6.01,88.6000,1.44,1.7778,2.2222
45,80,100,0.37,534,341,193,63.86,80.00,-100.00,5.99,79.8000,1.41,1.7778,2.2222
45,80,100,0.39,501,323,178,64.47,80.00,-100.00,5.94,80.4000,1.45,1.7778,2.2222
45,80,100,0.41,477,305,172,63.94,80.00,-100.00,5.96,72.0000,1.42,1.7778,2.2222
45,80,100,0.43,450,287,163,63.78,80.00,-100.00,5.98,66.6000,1.41,1.7778,2.2222
45,80,100,0.45,423,268,155,63.36,80.00,-100.00,6.01,59.4000,1.38,1.7778,2.2222
45,80,100,0.47,397,251,146,63.22,80.00,-100.00,5.98,54.8000,1.38,1.7778,2.2222
45,80,100,0.49,374,239,135,63.90,80.00,-100.00,5.90,56.2000,1.42,1.7778,2.2222
45,85,100,0.21,773,469,304,60.67,85.00,-100.00,6.31,94.6500,1.31,1.8889,2.2222
45,85,100,0.23,737,446,291,60.52,85.00,-100.00,6.30,88.1000,1.30,1.8889,2.2222
45,85,100,0.25,689,415,274,60.23,85.00,-100.00,6.27,78.7500,1.29,1.8889,2.2222
45,85,100,0.27,646,387,259,59.91,85.00,-100.00,6.19,69.9500,1.27,1.8889,2.2222
45,85,100,0.29,620,376,244,60.65,85.00,-100.00,6.16,75.6000,1.31,1.8889,2.2222
45,85,100,0.31,580,358,222,61.72,85.00,-100.00,6.10,82.3000,1.37,1.8889,2.2222
45,85,100,0.33,550,341,209,62.00,85.00,-100.00,6.06,80.8500,1.39,1.8889,2.2222
45,85,100,0.35,527,325,202,61.67,85.00,-100.00,6.08,74.2500,1.37,1.8889,2.2222
45,85,100,0.37,500,306,194,61.20,85.00,-100.00,6.07,66.1000,1.34,1.8889,2.2222
45,85,100,0.39,468,289,179,61.75,85.00,-100.00,6.02,66.6500,1.37,1.8889,2.2222
45,85,100,0.41,446,273,173,61.21,85.00,-100.00,6.04,59.0500,1.34,1.8889,2.2222
45,85,100,0.43,419,255,164,60.86,85.00,-100.00,6.06,52.7500,1.32,1.8889,2.2222
45,85,100,0.45,393,237,156,60.31,85.00,-100.00,6.09,45.4500,1.29,1.8889,2.2222
45,85,100,0.47,369,222,147,60.16,85.00,-100.00,6.07,41.7000,1.28,1.8889,2.2222
45,85,100,0.49,349,213,136,61.03,85.00,-100.00,5.99,45.0500,1.33,1.8889,2.2222
45,90,100,0.21,718,413,305,57.52,90.00,-100.00,6.36,66.7000,1.22,2.0000,2.2222
45,90,100,0.23,686,394,292,57.43,90.00,-100.00,6.35,62.6000,1.21,2.0000,2.2222
45,90,100,0.25,640,365,275,57.03,90.00,-100.00,6.33,53.5000,1.19,2.0000,2.2222
45,90,100,0.27,603,343,260,56.88,90.00,-100.00,6.25,48.7000,1.19,2.0000,2.2222
45,90,100,0.29,577,332,245,57.54,90.00,-100.00,6.23,53.8000,1.22,2.0000,2.2222
45,90,100,0.31,539,316,223,58.63,90.00,-100.00,6.19,61.4000,1.28,2.0000,2.2222
45,90,100,0.33,510,300,210,58.82,90.00,-100.00,6.14,60.0000,1.29,2.0000,2.2222
45,90,100,0.35,488,285,203,58.40,90.00,-100.00,6.16,53.5000,1.26,2.0000,2.2222
45,90,100,0.37,462,267,195,57.79,90.00,-100.00,6.16,45.3000,1.23,2.0000,2.2222
45,90,100,0.39,432,252,180,58.33,90.00,-100.00,6.10,46.8000,1.26,2.0000,2.2222
45,90,100,0.41,412,238,174,57.77,90.00,-100.00,6.11,40.2000,1.23,2.0000,2.2222
45,90,100,0.43,388,223,165,57.47,90.00,-100.00,6.12,35.7000,1.22,2.0000,2.2222
45,90,100,0.45,366,209,157,57.10,90.00,-100.00,6.14,31.1000,1.20,2.0000,2.2222
45,90,100,0.47,345,197,148,57.10,90.00,-100.00,6.13,29.3000,1.20,2.0000,2.2222
45,90,100,0.49,326,189,137,57.98,90.00,-100.00,6.06,33.1000,1.24,2.0000,2.2222
45,95,100,0.21,676,370,306,54.73,95.00,-100.00,6.38,45.5000,1.15,2.1111,2.2222
45,95,100,0.23,647,354,293,54.71,95.00,-100.00,6.38,43.3000,1.15,2.1111,2.2222
45,95,100,0.25,603,327,276,54.23,95.00,-100.00,6.35,34.6500,1.13,2.1111,2.2222
45,95,100,0.27,570,309,261,54.21,95.00,-100.00,6.28,32.5500,1.12,2.1111,2.2222
45,95,100,0.29,545,299,246,54.86,95.00,-100.00,6.26,38.0500,1.15,2.1111,2.2222
45,95,100,0.31,508,284,224,55.91,95.00,-100.00,6.22,45.8000,1.20,2.1111,2.2222
45,95,100,0.33,480,269,211,56.04,95.00,-100.00,6.19,44.5500,1.21,2.1111,2.2222
45,95,100,0.35,459,255,204,55.56,95.00,-100.00,6.18,38.2500,1.19,2.1111,2.2222
45,95,100,0.37,437,241,196,55.15,95.00,-100.00,6.18,32.9500,1.17,2.1111,2.2222
45,95,100,0.39,407,226,181,55.53,95.00,-100.00,6.12,33.7000,1.19,2.1111,2.2222
45,95,100,0.41,390,215,175,55.13,95.00,-100.00,6.14,29.2500,1.17,2.1111,2.2222
45,95,100,0.43,370,204,166,55.14,95.00,-100.00,6.15,27.8000,1.17,2.1111,2.2222
