交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
480,做多,止盈,12.890000000000327,0.12335143522110978,2176.38,2180.0,2161.81,2163.49,2163.5,2181.59,2159.44,2174.3
1646,做多,止盈,24.309999999999945,0.1061291649526916,3778.52,3806.5,3744.86,3754.21,3754.2,3809.08,3740.08,3789.57
1208,做多,止盈,18.4699999999998,0.10124526258800032,3649.99,3650.24,3627.99,3631.52,3631.52,3652.11,3616.54,3644.64
1718,做多,止盈,24.440000000000055,0.09001636661210365,3494.56,3496.0,3468.24,3470.12,3470.12,3498.2,3460.3,3491.05
1432,做多,止盈,29.05999999999949,0.08878183069511261,4525.42,4556.29,4524.08,4554.48,4554.47,4558.87,4523.85,4535.11
859,做多,止盈,12.579999999999927,0.08744038155802189,2549.66,2555.9,2529.5,2537.08,2537.04,2557.0,2526.74,2552.01
1409,做多,止损,23.650000000000546,0.07653276955604052,4756.94,4790.0,4756.94,4780.59,4780.58,4791.81,4755.01,4760.8
1593,做多,止盈,27.870000000000346,0.07570864729098122,3720.36,3720.59,3683.77,3692.49,3692.46,3722.7,3660.57,3695.15
1083,做多,止盈,10.800000000000182,0.06481481481479688,2277.3,2284.75,2265.03,2266.5,2266.51,2285.45,2254.2,2273.7
536,做多,止盈,14.509999999999991,0.0647829083390803,1911.26,1926.86,1908.83,1925.77,1925.77,1927.8,1871.11,1914.93
618,做多,止盈,14.089999999999918,0.05039034776437477,1764.95,1780.03,1764.95,1779.04,1779.04,1780.74,1764.2,1767.36
526,做多,止盈,10.430000000000064,0.046979865771812665,1914.56,1925.51,1912.62,1924.99,1924.99,1926.0,1912.2,1914.12
1037,做多,止损,15.0600000000004,0.029216467463482262,2644.49,2659.56,2643.72,2659.55,2659.55,2660.0,2636.97,2645.01
1514,做多,止损,19.199999999999818,0.02291666666669341,4197.55,4218.9,4197.48,4216.75,4216.75,4219.34,4194.69,4198.75
1534,做多,止盈,25.539999999999964,0.010571652310101104,3906.0,3906.0,3880.46,3880.46,3880.47,3906.27,3875.71,3903.33
