排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
2360,19,285,0.58,221,57.47,20.3923,9.23,1.54,21.2
2361,20,300,0.1,4119,57.47,255.6660,6.21,1.36,33.6
2362,10,150,0.54,268,57.46,23.2095,8.66,1.51,16.3
2363,20,300,0.12,3653,57.46,227.6660,6.23,1.37,32.3
2364,18,270,0.13,3410,57.45,212.8660,6.24,1.37,31.0
2365,9,135,0.3,1048,57.44,70.5854,6.74,1.40,20.7
2366,12,180,0.21,1938,57.43,124.3271,6.42,1.38,25.6
2367,20,300,0.61,202,57.43,19.2285,9.52,1.56,20.9
2368,17,255,0.14,3179,57.41,197.6980,6.22,1.37,30.3
2369,20,300,0.11,3885,57.40,239.6660,6.17,1.36,32.9
2370,23,345,0.65,169,57.40,17.0976,10.12,1.59,22.4
2371,24,360,0.65,169,57.40,17.0976,10.12,1.59,22.9
2372,25,375,0.65,169,57.40,17.0976,10.12,1.59,23.3
2373,17,255,0.16,2772,57.40,173.2980,6.25,1.37,29.2
2374,8,120,0.42,514,57.39,37.9767,7.39,1.43,17.3
2375,8,120,0.34,819,57.39,56.5854,6.91,1.41,19.1
2376,9,135,0.25,1445,57.37,93.3854,6.46,1.38,22.9
2377,13,195,0.2,2087,57.36,131.5796,6.30,1.37,26.2
2378,9,135,0.4,579,57.34,41.6766,7.20,1.42,18.6
2379,21,315,0.67,157,57.32,15.9658,10.17,1.60,20.9
2380,10,150,0.23,1670,57.31,106.6424,6.39,1.37,23.7
2381,10,150,0.36,719,57.30,50.6559,7.05,1.41,20.0
2382,9,135,0.41,548,57.30,39.5767,7.22,1.42,18.2
2383,21,315,0.63,185,57.30,17.9996,9.73,1.57,21.6
2384,19,285,0.1,4119,57.30,250.0660,6.07,1.36,33.3
2385,19,285,0.12,3653,57.30,222.8660,6.10,1.36,32.0
2386,14,210,0.18,2379,57.29,148.0199,6.22,1.36,27.2
2387,8,120,0.31,974,57.29,64.9854,6.67,1.39,19.7
2388,5,75,0.46,412,57.28,30.5707,7.42,1.43,15.2
2389,38,570,0.79,103,57.28,12.5830,12.22,1.71,30.8
2390,9,135,0.28,1182,57.28,76.9854,6.51,1.38,21.7
2391,39,585,0.75,117,57.26,13.8956,11.88,1.69,30.7
2392,40,600,0.75,117,57.26,13.8956,11.88,1.69,31.3
2393,41,615,0.75,117,57.26,13.8956,11.88,1.69,31.7
2394,42,630,0.75,117,57.26,13.8956,11.88,1.69,32.0
2395,43,645,0.75,117,57.26,13.8956,11.88,1.69,32.4
2396,44,660,0.75,117,57.26,13.8956,11.88,1.69,32.8
2397,45,675,0.75,117,57.26,13.8956,11.88,1.69,33.2
2398,46,690,0.75,117,57.26,13.8956,11.88,1.69,33.5
2399,47,705,0.75,117,57.26,13.8956,11.88,1.69,34.1
2400,8,120,0.24,1563,57.26,98.9924,6.33,1.37,22.7
2401,39,585,0.74,124,57.26,14.3737,11.59,1.68,30.6
2402,40,600,0.74,124,57.26,14.3737,11.59,1.68,31.2
2403,41,615,0.74,124,57.26,14.3737,11.59,1.68,31.5
2404,42,630,0.74,124,57.26,14.3737,11.59,1.68,31.9
2405,43,645,0.74,124,57.26,14.3737,11.59,1.68,32.3
2406,26,390,0.7,138,57.25,14.9964,10.87,1.64,24.2
2407,19,285,0.11,3885,57.25,234.8660,6.05,1.35,32.6
2408,9,135,0.27,1277,57.24,82.1854,6.44,1.38,22.2
2409,16,240,0.17,2589,57.24,159.2980,6.15,1.36,28.6
2410,22,330,0.68,152,57.24,15.4280,10.15,1.59,21.9
2411,20,300,0.62,194,57.22,18.4248,9.50,1.55,20.9
2412,11,165,0.22,1797,57.21,112.7271,6.27,1.37,24.7
2413,8,120,0.29,1124,57.21,72.9854,6.49,1.38,20.8
2414,9,135,0.35,764,57.20,51.9318,6.80,1.40,19.5
2415,11,165,0.53,278,57.19,23.2187,8.35,1.49,17.0
2416,12,180,0.53,278,57.19,23.2187,8.35,1.49,17.9
2417,8,120,0.39,612,57.19,42.8766,7.01,1.41,18.3
2418,7,105,0.49,348,57.18,26.3885,7.58,1.44,15.6
2419,8,120,0.33,871,57.18,58.1854,6.68,1.39,19.3
2420,7,105,0.44,460,57.17,33.0624,7.19,1.42,16.2
2421,11,165,0.21,1938,57.17,120.3271,6.21,1.36,25.2
2422,16,240,0.15,2965,57.17,179.5245,6.05,1.35,29.4
2423,8,120,0.37,677,57.16,46.6058,6.88,1.40,19.0
2424,13,195,0.19,2248,57.16,137.6749,6.12,1.36,26.6
2425,17,255,0.13,3410,57.16,204.6069,6.00,1.35,30.7
2426,15,225,0.6,210,57.14,19.2716,9.18,1.54,18.1
2427,16,240,0.6,210,57.14,19.2716,9.18,1.54,19.0
2428,17,255,0.6,210,57.14,19.2716,9.18,1.54,19.5
2429,18,270,0.6,210,57.14,19.2716,9.18,1.54,20.0
2430,19,285,0.6,210,57.14,19.2716,9.18,1.54,20.4
2431,39,585,0.78,105,57.14,12.9071,12.29,1.72,31.4
2432,40,600,0.78,105,57.14,12.9071,12.29,1.72,32.0
2433,41,615,0.78,105,57.14,12.9071,12.29,1.72,32.4
2434,42,630,0.78,105,57.14,12.9071,12.29,1.72,32.7
2435,43,645,0.78,105,57.14,12.9071,12.29,1.72,33.1
2436,44,660,0.78,105,57.14,12.9071,12.29,1.72,33.5
2437,45,675,0.78,105,57.14,12.9071,12.29,1.72,33.9
2438,46,690,0.78,105,57.14,12.9071,12.29,1.72,34.2
2439,47,705,0.78,105,57.14,12.9071,12.29,1.72,34.8
2440,8,120,0.25,1445,57.09,90.1854,6.24,1.36,22.6
2441,13,195,0.56,240,57.08,20.6353,8.60,1.50,17.4
2442,13,195,0.57,233,57.08,20.2353,8.68,1.51,17.5
2443,12,180,0.2,2087,57.07,126.7796,6.07,1.35,25.8
2444,8,120,0.32,927,57.07,60.5854,6.54,1.38,19.8
2445,8,120,0.3,1048,57.06,67.3854,6.43,1.37,20.4
2446,8,120,0.5,326,57.06,24.7997,7.61,1.44,15.5
2447,9,135,0.5,326,57.06,24.7997,7.61,1.44,15.9
