trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
12,rule1,否,做多,2025-01-10 08:29,3219.60,2025-01-10 15:44,3295.49,28,2.357,330.00,3.3000,58.8405,否,否,3310.91,3213.74,,3219.20,3233.79,3218.58,3227.21,3227.21,3232.37,3214.11,3219.60
13,rule1,否,做多,2025-01-10 18:44,3307.35,2025-01-13 17:44,3275.42,283,-0.965,-135.15,-1.3515,57.4890,是,是,3339.00,3124.18,,3306.65,3309.00,3299.54,3299.67,3299.67,3308.97,3297.84,3307.35
14,rule1,否,做多,2025-01-13 20:14,3070.40,2025-01-13 22:44,2954.16,9,-3.786,-530.00,-21.2000,36.2890,否,否,3091.38,2920.00,,3075.49,3085.50,3055.88,3057.16,3057.15,3085.54,3044.57,3070.40
15,rule1,否,做空,2025-01-13 22:59,3034.41,2025-01-14 10:29,3063.70,45,-0.965,-135.15,-5.4060,30.8830,是,是,3167.38,2986.40,,3047.23,3047.76,2920.00,3019.95,3019.96,3053.36,3009.61,3034.41
16,rule1,否,做空,2025-01-14 12:29,3162.62,2025-01-15 23:29,3193.15,139,-0.965,-135.15,-1.3515,29.5315,是,是,3352.94,3158.18,,3158.87,3166.94,3158.86,3166.94,3166.94,3170.86,3161.76,3162.62
17,rule1,否,做空,2025-01-15 23:44,3339.21,2025-01-16 04:29,3465.62,18,-3.786,-530.00,-8.4800,21.0515,否,否,3473.75,3323.91,,3335.00,3352.94,3330.01,3349.12,3349.11,3353.82,3336.25,3339.21
18,rule1,否,做空,2025-01-16 14:44,3377.54,2025-01-16 22:44,3297.93,31,2.357,330.00,3.3000,24.3515,否,否,3391.50,3287.43,,3373.33,3382.80,3369.00,3382.00,3382.00,3388.44,3377.00,3377.54
19,rule1,否,做空,2025-01-17 00:44,3336.57,2025-01-18 04:29,3368.78,110,-0.965,-135.15,-1.3515,23.0000,是,是,3494.00,3269.00,,3340.74,3352.81,3332.80,3350.49,3350.49,3355.43,3333.87,3336.57
20,rule1,否,做多,2025-01-18 12:59,3365.69,2025-01-18 18:14,3238.27,20,-3.786,-530.00,-5.3000,17.7000,否,否,3371.07,3235.34,,3363.02,3378.29,3358.50,3372.57,3372.57,3373.06,3352.68,3365.69
21,rule1,否,做多,2025-01-19 01:14,3278.05,2025-01-19 09:14,3355.32,31,2.357,330.00,13.2000,30.9000,否,否,3365.93,3250.00,,3276.49,3285.23,3253.89,3253.89,3253.90,3278.05,3253.46,3278.05
22,rule1,否,做多,2025-01-19 13:29,3278.48,2025-01-19 17:29,3154.37,15,-3.786,-530.00,-21.2000,9.7000,否,否,3301.13,3143.02,,3283.51,3288.99,3262.72,3262.96,3263.00,3281.81,3259.90,3278.48
23,rule1,否,做多,2025-01-19 22:44,3369.38,2025-01-20 02:14,3448.80,13,2.357,330.00,5.2800,14.9800,否,否,3448.99,3353.17,,3365.81,3389.28,3324.00,3352.01,3352.00,3369.44,3303.98,3369.38
