leverage,profit_target_percent,min_k1_range_percent,total_trades,wins,losses,win_rate,loss_rate,total_pnl,return_rate
30,80,0.46,77,48,29,62.33766233766234,37.66233766233766,9.400000000000011,12.207792207792222
30,80,0.47000000000000003,77,48,29,62.33766233766234,37.66233766233766,9.400000000000011,12.207792207792222
70,90,0.27,227,134,93,59.03083700440529,40.969162995594715,27.59999999999994,12.158590308370018
60,100,0.49,107,60,47,56.074766355140184,43.925233644859816,13.0,12.149532710280374
30,50,0.49,95,71,24,74.73684210526315,25.263157894736842,11.5,12.105263157894736
60,90,0.26,200,118,82,59.0,41.0,24.199999999999942,12.099999999999971
100,90,0.5,117,69,48,58.97435897435898,41.02564102564102,14.10000000000002,12.051282051282069
70,100,0.33,191,107,84,56.02094240837696,43.97905759162304,23.0,12.041884816753926
70,100,0.23,241,135,106,56.016597510373444,43.983402489626556,29.0,12.033195020746888
100,70,0.48,129,85,44,65.89147286821705,34.10852713178294,15.499999999999993,12.015503875968987
100,90,0.47000000000000003,134,79,55,58.95522388059702,41.04477611940299,16.10000000000002,12.014925373134343
100,80,0.47000000000000003,135,84,51,62.22222222222222,37.77777777777778,16.200000000000006,12.000000000000005
30,100,0.31,75,42,33,56.00000000000001,44.0,9.0,12.0
30,60,0.41000000000000003,100,70,30,70.0,30.0,11.999999999999988,11.999999999999988
60,90,0.38,151,89,62,58.94039735099338,41.05960264900662,18.100000000000005,11.986754966887421
30,90,0.44,73,43,30,58.9041095890411,41.0958904109589,8.700000000000005,11.917808219178088
60,80,0.31,193,120,73,62.17616580310881,37.82383419689119,23.00000000000004,11.917098445595876
50,90,0.34,163,96,67,58.895705521472394,41.104294478527606,19.39999999999998,11.901840490797534
30,70,0.5,79,52,27,65.82278481012658,34.177215189873415,9.399999999999988,11.898734177215173
30,90,0.29,90,53,37,58.88888888888889,41.11111111111111,10.700000000000006,11.888888888888896
60,100,0.24,202,113,89,55.940594059405946,44.05940594059406,24.0,11.881188118811881
60,90,0.27,197,116,81,58.88324873096447,41.11675126903553,23.399999999999945,11.87817258883246
70,90,0.32,209,123,86,58.85167464114832,41.14832535885167,24.69999999999996,11.818181818181799
40,70,0.28,149,98,51,65.77181208053692,34.22818791946309,17.599999999999977,11.812080536912736
60,100,0.5,102,57,45,55.88235294117647,44.11764705882353,12.0,11.76470588235294
70,100,0.36,170,95,75,55.88235294117647,44.11764705882353,20.0,11.76470588235294
30,70,0.34,108,71,37,65.74074074074075,34.25925925925926,12.699999999999989,11.759259259259249
90,60,0.49,126,88,38,69.84126984126983,30.158730158730158,14.799999999999986,11.746031746031734
70,100,0.25,224,125,99,55.80357142857143,44.19642857142857,26.0,11.607142857142858
40,90,0.28,126,74,52,58.730158730158735,41.269841269841265,14.600000000000007,11.587301587301594
70,90,0.21,264,155,109,58.71212121212122,41.28787878787879,30.499999999999893,11.553030303030262
70,90,0.3,213,125,88,58.68544600938967,41.31455399061033,24.49999999999994,11.502347417840348
30,100,0.41000000000000003,70,39,31,55.714285714285715,44.285714285714285,8.0,11.428571428571429
70,80,0.26,244,151,93,61.885245901639344,38.114754098360656,27.800000000000054,11.393442622950841
100,80,0.5,118,73,45,61.86440677966102,38.13559322033898,13.4,11.35593220338983
60,90,0.37,157,92,65,58.59872611464968,41.40127388535032,17.800000000000004,11.337579617834399
50,90,0.29,169,99,70,58.57988165680473,41.42011834319527,19.099999999999955,11.301775147928968
40,80,0.34,131,81,50,61.832061068702295,38.16793893129771,14.800000000000015,11.297709923664133
70,70,0.39,165,108,57,65.45454545454545,34.54545454545455,18.599999999999984,11.272727272727263
30,80,0.4,89,55,34,61.79775280898876,38.20224719101123,10.00000000000001,11.235955056179787
70,90,0.38,164,96,68,58.536585365853654,41.46341463414634,18.400000000000016,11.219512195121961
90,60,0.48,131,91,40,69.46564885496184,30.53435114503817,14.59999999999999,11.145038167938925
50,100,0.38,135,75,60,55.55555555555556,44.44444444444444,15.0,11.11111111111111
60,100,0.39,144,80,64,55.55555555555556,44.44444444444444,16.0,11.11111111111111
40,80,0.36,128,79,49,61.71875,38.28125,14.200000000000014,11.09375000000001
60,90,0.32,183,107,76,58.46994535519126,41.53005464480874,20.299999999999947,11.092896174863359
50,90,0.3,166,97,69,58.43373493975904,41.566265060240966,18.299999999999955,11.02409638554214
70,90,0.22,262,153,109,58.396946564885496,41.603053435114504,28.699999999999896,10.954198473282403
100,70,0.5,118,77,41,65.2542372881356,34.74576271186441,12.899999999999997,10.932203389830505
60,90,0.36,161,94,67,58.38509316770186,41.61490683229814,17.600000000000012,10.931677018633549
70,90,0.34,197,115,82,58.37563451776649,41.62436548223351,21.499999999999964,10.913705583756327
30,80,0.31,99,61,38,61.61616161616161,38.38383838383838,10.800000000000013,10.909090909090922
70,90,0.23,257,150,107,58.36575875486382,41.63424124513619,27.99999999999993,10.894941634241217
70,80,0.24,263,162,101,61.59695817490495,38.40304182509506,28.600000000000062,10.87452471482892
40,80,0.28,138,85,53,61.59420289855072,38.405797101449274,15.000000000000014,10.869565217391315
50,90,0.35000000000000003,156,91,65,58.333333333333336,41.66666666666667,16.900000000000013,10.833333333333343
100,70,0.47000000000000003,135,88,47,65.18518518518519,34.81481481481482,14.599999999999994,10.81481481481481
70,90,0.35000000000000003,187,109,78,58.288770053475936,41.711229946524064,20.09999999999997,10.748663101604262
70,100,0.49,112,62,50,55.35714285714286,44.642857142857146,12.0,10.714285714285714
40,80,0.33,135,83,52,61.48148148148148,38.51851851851852,14.40000000000002,10.666666666666682
90,60,0.5,120,83,37,69.16666666666667,30.833333333333336,12.799999999999988,10.666666666666655
90,80,0.49,122,75,47,61.47540983606557,38.52459016393443,13.0,10.655737704918032
90,60,0.47000000000000003,136,94,42,69.11764705882352,30.88235294117647,14.39999999999999,10.58823529411764
90,70,0.49,123,80,43,65.04065040650406,34.959349593495936,12.999999999999998,10.56910569105691
90,80,0.48,127,78,49,61.417322834645674,38.582677165354326,13.4,10.551181102362204
30,100,0.3,76,42,34,55.26315789473685,44.73684210526316,8.0,10.526315789473683
40,100,0.38,105,58,47,55.23809523809524,44.761904761904766,11.0,10.476190476190476
100,60,0.49,126,87,39,69.04761904761905,30.952380952380953,13.199999999999987,10.476190476190466
30,50,0.5,91,67,24,73.62637362637363,26.373626373626376,9.5,10.43956043956044
80,50,0.49,125,92,33,73.6,26.400000000000002,13.0,10.4
40,80,0.31,137,84,53,61.31386861313869,38.68613138686132,14.200000000000024,10.364963503649653
50,100,0.36,145,80,65,55.172413793103445,44.827586206896555,15.0,10.344827586206897
70,100,0.21,252,139,113,55.158730158730165,44.84126984126984,26.0,10.317460317460316
90,70,0.48,128,83,45,64.84375,35.15625,13.099999999999996,10.234374999999996
90,80,0.5,116,71,45,61.206896551724135,38.793103448275865,11.799999999999997,10.172413793103447
40,70,0.49,105,68,37,64.76190476190476,35.23809523809524,10.600000000000005,10.0952380952381
80,70,0.49,122,79,43,64.75409836065575,35.24590163934426,12.300000000000002,10.081967213114757
70,90,0.49,114,66,48,57.89473684210527,42.10526315789473,11.400000000000015,10.000000000000012
40,80,0.35000000000000003,126,77,49,61.111111111111114,38.88888888888889,12.600000000000003,10.000000000000002
50,100,0.37,140,77,63,55.00000000000001,45.0,14.0,10.0
100,60,0.48,131,90,41,68.70229007633588,31.297709923664126,12.999999999999991,9.923664122137398
40,90,0.34,121,70,51,57.85123966942148,42.14876033057851,12.000000000000007,9.917355371900832
90,90,0.49,121,70,51,57.85123966942148,42.14876033057851,12.000000000000007,9.917355371900832
80,70,0.5,116,75,41,64.65517241379311,35.3448275862069,11.500000000000004,9.91379310344828
40,70,0.5,99,64,35,64.64646464646465,35.35353535353536,9.800000000000004,9.898989898989903
30,60,0.4,99,68,31,68.68686868686868,31.313131313131315,9.799999999999994,9.898989898989893
60,70,0.24,246,159,87,64.63414634146342,35.36585365853659,24.29999999999994,9.87804878048778
60,90,0.39,147,85,62,57.82312925170068,42.17687074829932,14.50000000000001,9.863945578231299
70,90,0.2,275,159,116,57.81818181818181,42.18181818181818,27.099999999999973,9.854545454545445
100,100,0.49,122,67,55,54.91803278688525,45.08196721311475,12.0,9.836065573770492
30,60,0.32,118,81,37,68.64406779661016,31.35593220338983,11.59999999999998,9.830508474576256
30,60,0.33,118,81,37,68.64406779661016,31.35593220338983,11.599999999999978,9.830508474576252
50,90,0.48,109,63,46,57.798165137614674,42.201834862385326,10.700000000000015,9.816513761467904
30,70,0.41000000000000003,96,62,34,64.58333333333334,35.41666666666667,9.399999999999995,9.79166666666666
60,90,0.33,180,104,76,57.77777777777777,42.22222222222222,17.59999999999995,9.77777777777775
80,70,0.48,127,82,45,64.56692913385827,35.43307086614173,12.400000000000004,9.763779527559057
40,80,0.48,105,64,41,60.952380952380956,39.04761904761905,10.200000000000001,9.714285714285715
80,50,0.5,119,87,32,73.10924369747899,26.89075630252101,11.5,9.663865546218489
70,90,0.33,201,116,85,57.711442786069654,42.28855721393035,19.399999999999967,9.651741293532321
90,80,0.47000000000000003,133,81,52,60.902255639097746,39.097744360902254,12.800000000000002,9.624060150375941
40,90,0.27,130,75,55,57.692307692307686,42.30769230769231,12.500000000000007,9.615384615384622
80,50,0.48,130,95,35,73.07692307692307,26.923076923076923,12.5,9.615384615384617
40,70,0.27,152,98,54,64.47368421052632,35.526315789473685,14.599999999999982,9.605263157894726
70,90,0.25,241,139,102,57.676348547717836,42.32365145228216,23.099999999999945,9.585062240663877
40,80,0.3,138,84,54,60.86956521739131,39.130434782608695,13.200000000000024,9.565217391304365
30,60,0.48,92,63,29,68.47826086956522,31.521739130434785,8.799999999999988,9.565217391304335
40,70,0.36,135,87,48,64.44444444444444,35.55555555555556,12.9,9.555555555555555
40,90,0.38,111,64,47,57.65765765765766,42.34234234234234,10.600000000000005,9.549549549549555
40,70,0.29,149,96,53,64.42953020134227,35.57046979865772,14.199999999999985,9.530201342281869
50,90,0.28,170,98,72,57.647058823529406,42.35294117647059,16.2,9.529411764705882
60,80,0.26,212,129,83,60.84905660377359,39.15094339622642,20.200000000000024,9.528301886792464
100,100,0.48,126,69,57,54.761904761904766,45.23809523809524,12.0,9.523809523809524
50,100,0.25,179,98,81,54.7486033519553,45.2513966480447,17.0,9.497206703910614
60,100,0.26,190,104,86,54.736842105263165,45.26315789473684,18.0,9.473684210526317
80,70,0.47000000000000003,132,85,47,64.39393939393939,35.60606060606061,12.500000000000002,9.46969696969697
70,100,0.5,106,58,48,54.71698113207547,45.28301886792453,10.0,9.433962264150944
30,50,0.37,122,89,33,72.95081967213115,27.049180327868854,11.5,9.426229508196721
60,80,0.39,153,93,60,60.78431372549019,39.21568627450981,14.40000000000001,9.411764705882359
50,80,0.5,102,62,40,60.78431372549019,39.21568627450981,9.599999999999998,9.411764705882351
100,60,0.47000000000000003,136,93,43,68.38235294117648,31.61764705882353,12.799999999999992,9.411764705882348
50,80,0.49,107,65,42,60.747663551401864,39.25233644859813,10.0,9.345794392523365
40,80,0.32,135,82,53,60.74074074074074,39.25925925925926,12.600000000000016,9.333333333333345
100,60,0.5,120,82,38,68.33333333333333,31.666666666666664,11.199999999999987,9.333333333333323
70,90,0.29,219,126,93,57.534246575342465,42.465753424657535,20.39999999999996,9.315068493150665
40,100,0.49,86,47,39,54.65116279069767,45.348837209302324,8.0,9.30232558139535
70,90,0.4,153,88,65,57.51633986928104,42.48366013071895,14.200000000000028,9.281045751634005
30,90,0.27,87,50,37,57.47126436781609,42.5287356321839,8.000000000000002,9.195402298850578
100,70,0.43,162,104,58,64.19753086419753,35.80246913580247,14.799999999999994,9.135802469135799
90,70,0.47000000000000003,134,86,48,64.17910447761194,35.82089552238806,12.199999999999996,9.104477611940295
70,70,0.38,173,111,62,64.16184971098265,35.83815028901734,15.699999999999985,9.075144508670512
70,90,0.5,108,62,46,57.407407407407405,42.592592592592595,9.800000000000013,9.074074074074085
70,80,0.23,269,163,106,60.594795539033456,39.405204460966544,24.400000000000066,9.070631970260248
70,80,0.27,236,143,93,60.59322033898306,39.40677966101695,21.40000000000005,9.067796610169513
90,70,0.5,117,75,42,64.1025641025641,35.8974358974359,10.500000000000004,8.974358974358978
60,80,0.34,185,112,73,60.54054054054055,39.45945945945946,16.60000000000002,8.972972972972984
70,100,0.41000000000000003,145,79,66,54.48275862068965,45.51724137931035,13.0,8.96551724137931
100,70,0.46,142,91,51,64.08450704225352,35.91549295774648,12.699999999999998,8.943661971830984
30,60,0.31,119,81,38,68.0672268907563,31.932773109243694,10.59999999999998,8.907563025210068
60,70,0.22,256,164,92,64.0625,35.9375,22.799999999999944,8.906249999999979
70,90,0.37,171,98,73,57.30994152046783,42.69005847953216,15.200000000000024,8.888888888888903
80,50,0.47000000000000003,135,98,37,72.5925925925926,27.40740740740741,12.0,8.88888888888889
70,100,0.22,248,135,113,54.43548387096774,45.564516129032256,22.0,8.870967741935484
70,100,0.2,261,142,119,54.406130268199234,45.593869731800766,23.0,8.812260536398467
30,60,0.42,100,68,32,68.0,32.0,8.79999999999999,8.79999999999999
70,60,0.39,175,119,56,68.0,32.0,15.399999999999974,8.799999999999986
70,60,0.48,125,85,40,68.0,32.0,10.999999999999979,8.799999999999983
90,90,0.48,124,71,53,57.25806451612904,42.74193548387097,10.900000000000004,8.790322580645164
40,80,0.29,139,84,55,60.431654676258994,39.568345323741006,12.200000000000015,8.776978417266198
60,80,0.32,192,116,76,60.416666666666664,39.58333333333333,16.800000000000033,8.750000000000018
30,80,0.28,101,61,40,60.396039603960396,39.603960396039604,8.799999999999992,8.712871287128705
100,70,0.45,147,94,53,63.94557823129252,36.054421768707485,12.799999999999997,8.707482993197276
80,60,0.43,159,108,51,67.9245283018868,32.075471698113205,13.799999999999992,8.679245283018863
70,80,0.31,217,131,86,60.36866359447005,39.63133640552996,18.800000000000043,8.663594470046103
40,70,0.37,133,85,48,63.90977443609023,36.09022556390977,11.500000000000002,8.646616541353385
60,80,0.23,232,140,92,60.3448275862069,39.6551724137931,20.00000000000004,8.62068965517243
30,50,0.38,116,84,32,72.41379310344827,27.586206896551722,10.0,8.620689655172415
40,100,0.33,116,63,53,54.310344827586206,45.689655172413794,10.0,8.620689655172415
50,90,0.38,140,80,60,57.14285714285714,42.857142857142854,12.000000000000021,8.571428571428587
50,90,0.27,175,100,75,57.14285714285714,42.857142857142854,15.000000000000007,8.571428571428577
30,100,0.42,70,38,32,54.285714285714285,45.714285714285715,6.0,8.571428571428571
40,80,0.37,126,76,50,60.317460317460316,39.682539682539684,10.799999999999999,8.57142857142857
60,80,0.3,194,117,77,60.30927835051546,39.69072164948454,16.600000000000033,8.556701030927853
90,60,0.46,143,97,46,67.83216783216784,32.16783216783217,12.199999999999989,8.531468531468525
70,60,0.5,115,78,37,67.82608695652173,32.17391304347826,9.79999999999998,8.521739130434765
70,80,0.22,277,167,110,60.28880866425993,39.71119133574007,23.60000000000007,8.519855595667895
40,80,0.27,141,85,56,60.28368794326241,39.71631205673759,12.000000000000012,8.51063829787235
70,90,0.28,219,125,94,57.077625570776256,42.922374429223744,18.49999999999996,8.447488584474867
40,100,0.5,83,45,38,54.21686746987952,45.78313253012048,7.0,8.433734939759036
70,60,0.49,121,82,39,67.76859504132231,32.231404958677686,10.19999999999998,8.429752066115686
60,80,0.35000000000000003,176,106,70,60.22727272727273,39.77272727272727,14.800000000000015,8.409090909090917
100,100,0.47000000000000003,131,71,60,54.19847328244275,45.80152671755725,11.0,8.396946564885496
60,80,0.29,201,121,80,60.19900497512438,39.800995024875625,16.800000000000022,8.358208955223892
30,80,0.29,103,62,41,60.19417475728155,39.80582524271845,8.599999999999994,8.34951456310679
80,50,0.43,162,117,45,72.22222222222221,27.77777777777778,13.5,8.333333333333332
70,60,0.47000000000000003,130,88,42,67.6923076923077,32.30769230769231,10.799999999999978,8.30769230769229
90,60,0.43,164,111,53,67.6829268292683,32.31707317073171,13.599999999999982,8.292682926829258
80,70,0.43,157,100,57,63.69426751592356,36.30573248407643,13.000000000000002,8.280254777070065
100,90,0.39,186,106,80,56.98924731182796,43.01075268817204,15.400000000000023,8.27956989247313
70,80,0.21,281,169,112,60.14234875444839,39.8576512455516,23.20000000000007,8.256227758007142
30,40,0.49,97,75,22,77.31958762886599,22.68041237113402,8.000000000000005,8.247422680412377
50,90,0.31,165,94,71,56.96969696969697,43.03030303030303,13.599999999999993,8.242424242424237
70,80,0.39,158,95,63,60.12658227848101,39.87341772151899,13.000000000000014,8.227848101265831
50,90,0.36,151,86,65,56.95364238410596,43.04635761589404,12.400000000000027,8.211920529801342
80,70,0.45,143,91,52,63.63636363636363,36.36363636363637,11.700000000000003,8.181818181818183
30,70,0.32,110,70,40,63.63636363636363,36.36363636363637,8.99999999999999,8.181818181818173
30,70,0.33,110,70,40,63.63636363636363,36.36363636363637,8.99999999999999,8.181818181818173
80,50,0.45,147,106,41,72.10884353741497,27.89115646258503,12.0,8.16326530612245
80,60,0.45,145,98,47,67.58620689655173,32.41379310344827,11.799999999999995,8.137931034482754
