交易序号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟,价格变动%,合约收益%,本次盈亏USDT,累计盈亏USDT,出场原因,跟踪止损,弱势收紧,仓位大小,K1开,K1高,K1低,K1收,K2开,K2高,K2低,K2收
1,rule1,做多,2024-12-29 20:30,3349.71,2024-12-30 01:15,3428.67,20,300,2.357,330.00,5.2800,5.2800,止盈,否,否,1.6,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71
2,rule1,做空,2024-12-30 05:15,3392.90,2024-12-30 14:30,3312.92,38,570,2.357,330.00,3.3000,8.5800,止盈,是,是,1.0,3391.60,3402.00,3388.60,3399.19,3399.19,3403.62,3391.03,3392.90
3,rule1,做多,2024-12-30 16:00,3329.82,2024-12-30 17:45,3408.31,8,120,2.357,330.00,3.3000,11.8800,止盈,否,否,1.0,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82
4,rule1,做多,2024-12-30 05:00,3399.19,2025-01-02 10:00,3471.30,309,4635,2.121,297.00,4.7520,16.6320,止盈,是,是,1.6,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19
5,rule1,做多,2024-12-29 12:00,3402.50,2025-01-02 10:15,3474.68,378,5670,2.121,297.00,2.9700,19.6020,止盈,是,是,1.0,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50
6,rule1,做多,2024-12-30 07:30,3422.57,2025-01-02 14:30,3495.18,317,4755,2.121,297.00,2.9700,22.5720,止盈,是,是,1.0,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57
7,rule1,做空,2024-12-31 06:15,3356.82,2025-01-03 14:15,3512.71,321,4815,4.644,-650.17,-6.5017,16.0703,跟踪止损,是,是,1.0,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82
8,rule1,做多,2025-01-02 17:00,3477.66,2025-01-03 15:30,3551.44,91,1365,2.121,297.00,4.7520,20.8223,止盈,是,是,1.6,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66
9,rule1,做多,2025-01-02 15:00,3485.62,2025-01-03 15:45,3559.56,100,1500,2.121,297.00,4.7520,25.5743,止盈,是,是,1.6,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62
10,rule1,做空,2025-01-02 10:15,3471.17,2025-01-03 19:30,3627.10,134,2010,4.492,-628.89,-6.2889,19.2854,跟踪止损,是,是,1.0,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17
11,rule1,做多,2025-01-04 08:15,3595.69,2025-01-05 00:15,3671.97,65,975,2.121,297.00,2.9700,22.2554,止盈,是,是,1.0,3594.05,3603.62,3592.21,3603.61,3603.61,3603.62,3590.01,3595.69
12,rule1,做多,2025-01-04 08:00,3603.61,2025-01-06 02:00,3680.06,169,2535,2.121,297.00,2.9700,25.2254,止盈,是,是,1.0,3603.45,3604.92,3593.20,3594.04,3594.05,3603.62,3592.21,3603.61
13,rule1,做多,2025-01-03 21:00,3606.67,2025-01-06 02:30,3683.18,215,3225,2.121,297.00,2.9700,28.1954,止盈,是,是,1.0,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67
14,rule1,做多,2025-01-04 12:45,3635.52,2025-01-06 15:45,3712.64,205,3075,2.121,297.00,2.9700,31.1654,止盈,是,是,1.0,3635.97,3643.71,3626.79,3627.98,3627.99,3638.71,3622.52,3635.52
15,rule1,做多,2025-01-06 03:00,3665.92,2025-01-06 16:30,3743.69,55,825,2.121,297.00,2.9700,34.1354,止盈,是,是,1.0,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92
16,rule1,做空,2025-01-05 00:15,3661.30,2025-01-07 14:45,3583.63,251,3765,2.121,297.00,2.9700,37.1054,止盈,是,是,1.0,3656.88,3670.00,3651.03,3667.30,3667.30,3675.25,3659.21,3661.30
17,rule1,做空,2025-01-06 14:30,3640.21,2025-01-07 14:45,3562.99,98,1470,2.121,297.00,2.9700,40.0754,止盈,是,是,1.0,3642.23,3643.37,3622.10,3634.23,3634.23,3651.52,3630.94,3640.21
18,rule1,做空,2025-01-07 00:30,3680.55,2025-01-07 14:45,3602.47,58,870,2.121,297.00,2.9700,43.0454,止盈,是,是,1.0,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55
19,rule1,做多,2025-01-07 03:00,3683.14,2025-01-07 15:30,3445.39,51,765,6.455,-903.71,-9.0371,34.0083,跟踪止损,是,是,1.0,3686.03,3687.00,3676.00,3678.07,3678.07,3688.68,3674.24,3683.14
20,rule1,做空,2025-01-07 16:30,3484.90,2025-01-07 19:30,3402.76,13,195,2.357,330.00,3.3000,37.3083,止盈,否,否,1.0,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90
21,rule1,做空,2025-01-07 18:00,3449.53,2025-01-07 20:30,3368.22,11,165,2.357,330.00,3.3000,40.6083,止盈,否,否,1.0,3451.60,3453.00,3420.00,3442.55,3442.56,3458.96,3440.05,3449.53
22,rule1,做空,2025-01-07 21:15,3400.55,2025-01-08 06:30,3320.39,38,570,2.357,330.00,5.2800,45.8883,止盈,否,否,1.6,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55
23,rule1,做空,2025-01-08 10:30,3357.85,2025-01-08 17:00,3278.70,27,405,2.357,330.00,13.2000,59.0883,止盈,否,否,4.0,3354.99,3373.32,3350.89,3372.93,3372.93,3373.37,3357.36,3357.85
24,rule1,做空,2025-01-08 11:45,3349.79,2025-01-08 17:00,3270.83,22,330,2.357,330.00,3.3000,62.3883,止盈,否,否,1.0,3350.36,3351.67,3323.00,3341.11,3341.17,3356.07,3340.62,3349.79
25,rule1,做多,2025-01-08 16:00,3336.62,2025-01-08 17:30,3210.31,7,105,3.786,-530.00,-5.3000,57.0883,止损,否,否,1.0,3338.27,3349.70,3333.63,3346.73,3346.72,3347.40,3326.46,3336.62
26,rule1,做空,2025-01-08 19:00,3288.81,2025-01-09 13:45,3219.04,76,1140,2.121,297.00,4.7520,61.8403,止盈,是,是,1.6,3293.04,3293.43,3259.10,3282.83,3282.84,3309.61,3272.05,3288.81
27,rule1,做多,2025-01-09 14:00,3241.40,2025-01-09 15:45,3317.80,8,120,2.357,330.00,13.2000,75.0403,止盈,否,否,4.0,3252.98,3256.92,3213.00,3221.04,3221.04,3248.00,3210.28,3241.40
28,rule1,做多,2025-01-07 22:00,3378.75,2025-01-09 20:00,3183.18,185,2775,5.788,-810.36,-32.4144,42.6260,跟踪止损,是,是,4.0,3383.35,3386.21,3361.77,3363.32,3363.31,3385.16,3356.31,3378.75
29,rule1,做空,2025-01-09 18:15,3255.41,2025-01-09 20:00,3178.68,8,120,2.357,330.00,5.2800,47.9060,止盈,否,否,1.6,3250.46,3263.15,3245.63,3260.66,3260.66,3263.50,3246.02,3255.41
30,rule1,做多,2025-01-10 00:15,3219.60,2025-01-10 07:30,3295.49,30,450,2.357,330.00,3.3000,51.2060,止盈,否,否,1.0,3219.20,3233.79,3218.58,3227.21,3227.21,3232.37,3214.11,3219.60
31,rule1,做空,2025-01-10 02:30,3243.93,2025-01-13 08:15,3175.11,312,4680,2.121,297.00,11.8800,63.0860,止盈,是,是,4.0,3237.01,3255.00,3230.89,3253.65,3253.65,3260.47,3242.34,3243.93
32,rule1,做多,2025-01-08 20:15,3281.53,2025-01-13 09:30,3138.66,438,6570,4.354,-609.53,-9.7524,53.3335,跟踪止损,是,是,1.6,3280.68,3288.37,3267.18,3267.71,3267.68,3283.48,3266.08,3281.53
33,rule1,做多,2025-01-08 21:15,3286.00,2025-01-13 09:30,3138.66,434,6510,4.484,-627.74,-6.2774,47.0561,跟踪止损,是,是,1.0,3285.68,3293.57,3277.31,3277.82,3277.72,3298.00,3270.00,3286.00
34,rule1,做多,2025-01-10 10:30,3307.35,2025-01-13 09:30,3138.66,285,4275,5.100,-714.06,-7.1406,39.9155,跟踪止损,是,是,1.0,3306.65,3309.00,3299.54,3299.67,3299.67,3308.97,3297.84,3307.35
35,rule1,做多,2025-01-13 12:00,3070.40,2025-01-13 14:30,2954.16,11,165,3.786,-530.00,-21.2000,18.7155,止损,否,否,4.0,3075.49,3085.50,3055.88,3057.16,3057.15,3085.54,3044.57,3070.40
36,rule1,做多,2025-01-13 17:45,3020.79,2025-01-13 20:45,3091.99,13,195,2.357,330.00,13.2000,31.9155,止盈,否,否,4.0,3026.02,3037.08,3008.29,3010.34,3010.33,3021.31,3005.53,3020.79
37,rule1,做空,2025-01-13 18:00,3014.67,2025-01-13 22:00,3128.80,17,255,3.786,-530.00,-8.4800,23.4355,止损,否,否,1.6,3010.33,3021.31,3005.53,3020.79,3020.79,3034.23,3010.00,3014.67
38,rule1,做空,2025-01-13 17:15,3026.02,2025-01-13 22:15,3140.58,21,315,3.786,-530.00,-5.3000,18.1355,止损,否,否,1.0,3009.91,3030.67,3004.20,3018.61,3018.60,3031.16,3017.43,3026.02
39,rule1,做多,2025-01-14 00:15,3135.99,2025-01-14 09:15,3209.91,37,555,2.357,330.00,3.3000,21.4355,止盈,否,否,1.0,3137.51,3139.19,3128.21,3128.64,3128.64,3148.54,3126.80,3135.99
40,rule1,做多,2025-01-14 06:00,3168.28,2025-01-14 09:30,3242.96,15,225,2.357,330.00,3.3000,24.7355,止盈,否,否,1.0,3168.85,3169.75,3159.60,3161.99,3162.00,3171.54,3158.18,3168.28
41,rule1,做多,2025-01-14 15:00,3210.78,2025-01-15 13:30,3278.89,91,1365,2.121,297.00,11.8800,36.6155,止盈,是,是,4.0,3218.25,3218.54,3187.10,3191.56,3191.56,3213.94,3187.08,3210.78
42,rule1,做多,2025-01-14 15:30,3213.13,2025-01-15 13:30,3281.29,89,1335,2.121,297.00,2.9700,39.5855,止盈,是,是,1.0,3210.78,3216.11,3196.38,3202.77,3202.77,3213.15,3196.03,3213.13
43,rule1,做空,2025-01-13 14:45,3034.41,2025-01-15 14:00,3307.98,190,2850,9.016,-1262.20,-50.4881,-10.9027,跟踪止损,是,是,4.0,3047.23,3047.76,2920.00,3019.95,3019.96,3053.36,3009.61,3034.41
44,rule1,做空,2025-01-14 04:15,3162.62,2025-01-15 16:15,3362.45,145,2175,6.318,-884.58,-8.8458,-19.7484,跟踪止损,是,是,1.0,3158.87,3166.94,3158.86,3166.94,3166.94,3170.86,3161.76,3162.62
45,rule1,做多,2025-01-15 17:00,3347.95,2025-01-15 19:45,3426.87,12,180,2.357,330.00,3.3000,-16.4484,止盈,否,否,1.0,3348.04,3350.74,3338.45,3339.49,3339.49,3349.17,3337.50,3347.95
46,rule1,做空,2025-01-15 15:30,3339.21,2025-01-15 20:15,3465.62,20,300,3.786,-530.00,-8.4800,-24.9284,止损,否,否,1.6,3335.00,3352.94,3330.01,3349.12,3349.11,3353.82,3336.25,3339.21
47,rule1,做空,2025-01-16 06:30,3377.54,2025-01-16 14:30,3297.93,33,495,2.357,330.00,3.3000,-21.6284,止盈,否,否,1.0,3373.33,3382.80,3369.00,3382.00,3382.00,3388.44,3377.00,3377.54
48,rule1,做多,2025-01-16 21:45,3320.08,2025-01-17 08:30,3390.51,44,660,2.121,297.00,2.9700,-18.6584,止盈,是,否,1.0,3320.08,3328.75,3316.32,3327.56,3327.56,3328.91,3315.28,3320.08
49,rule1,做多,2025-01-17 04:15,3357.32,2025-01-17 10:00,3436.46,24,360,2.357,330.00,5.2800,-13.3784,止盈,否,否,1.6,3361.01,3364.94,3348.27,3349.14,3349.13,3358.01,3347.79,3357.32
50,rule1,做空,2025-01-16 16:30,3336.57,2025-01-17 20:30,3505.95,113,1695,5.076,-710.71,-7.1071,-20.4855,跟踪止损,是,是,1.0,3340.74,3352.81,3332.80,3350.49,3350.49,3355.43,3333.87,3336.57
51,rule1,做多,2025-01-17 11:00,3418.48,2025-01-17 20:30,3499.06,39,585,2.357,330.00,3.3000,-17.1855,止盈,是,是,1.0,3419.79,3427.74,3417.34,3427.47,3427.47,3428.72,3416.68,3418.48
52,rule1,做空,2025-01-17 11:15,3425.09,2025-01-18 04:15,3352.43,69,1035,2.121,297.00,2.9700,-14.2155,止盈,是,是,1.0,3427.47,3428.72,3416.68,3418.48,3418.47,3430.00,3418.00,3425.09
53,rule1,做空,2025-01-17 14:45,3428.87,2025-01-18 04:15,3356.13,55,825,2.121,297.00,11.8800,-2.3355,止盈,是,是,4.0,3424.20,3433.00,3402.01,3406.61,3406.60,3433.09,3404.44,3428.87
54,rule1,做多,2025-01-18 04:45,3365.69,2025-01-18 10:00,3238.27,22,330,3.786,-530.00,-5.3000,-7.6355,止损,否,否,1.0,3363.02,3378.29,3358.50,3372.57,3372.57,3373.06,3352.68,3365.69
55,rule1,做多,2025-01-18 09:00,3283.16,2025-01-19 01:00,3352.81,65,975,2.121,297.00,2.9700,-4.6655,止盈,是,是,1.0,3283.78,3295.77,3281.40,3293.21,3293.21,3301.20,3281.17,3283.16
56,rule1,做多,2025-01-18 17:00,3278.05,2025-01-19 01:00,3355.32,33,495,2.357,330.00,13.2000,8.5345,止盈,否,否,4.0,3276.49,3285.23,3253.89,3253.89,3253.90,3278.05,3253.46,3278.05
57,rule1,做多,2025-01-18 18:00,3269.11,2025-01-19 01:00,3346.17,29,435,2.357,330.00,5.2800,13.8145,止盈,否,否,1.6,3272.97,3282.02,3257.70,3258.20,3258.20,3274.66,3255.60,3269.11
58,rule1,做多,2025-01-19 05:15,3278.48,2025-01-19 09:15,3154.37,17,255,3.786,-530.00,-21.2000,-7.3855,止损,否,否,4.0,3283.51,3288.99,3262.72,3262.96,3263.00,3281.81,3259.90,3278.48
59,rule1,做多,2025-01-19 14:30,3369.38,2025-01-19 18:00,3448.80,15,225,2.357,330.00,5.2800,-2.1055,止盈,否,否,1.6,3365.81,3389.28,3324.00,3352.01,3352.00,3369.44,3303.98,3369.38
60,rule1,做空,2025-01-19 16:30,3402.50,2025-01-19 21:15,3322.30,20,300,2.357,330.00,13.2000,11.0945,止盈,否,否,4.0,3391.41,3422.14,3390.36,3415.63,3415.63,3424.43,3400.00,3402.50
61,rule1,做空,2025-01-19 17:00,3406.40,2025-01-19 21:15,3326.11,18,270,2.357,330.00,3.3000,14.3945,止盈,否,否,1.0,3402.50,3419.38,3401.36,3410.74,3410.74,3424.61,3405.67,3406.40
62,rule1,做多,2025-01-20 01:45,3201.01,2025-01-20 03:15,3276.46,7,105,2.357,330.00,5.2800,19.6745,止盈,否,否,1.6,3195.55,3221.04,3180.00,3183.87,3183.87,3201.63,3173.00,3201.01
63,rule1,做空,2025-01-20 01:30,3183.87,2025-01-20 05:00,3304.40,15,225,3.786,-530.00,-5.3000,14.3745,止损,否,否,1.0,3204.91,3213.15,3175.09,3195.53,3195.55,3221.04,3180.00,3183.87
64,rule1,做多,2025-01-19 22:00,3259.31,2025-01-20 06:30,3336.14,35,525,2.357,330.00,13.2000,27.5745,止盈,否,否,4.0,3254.09,3272.99,3213.78,3233.00,3233.00,3261.15,3156.70,3259.31
65,rule1,做多,2025-01-19 22:30,3253.01,2025-01-20 06:30,3329.69,33,495,2.357,330.00,13.2000,40.7745,止盈,否,否,4.0,3259.32,3312.81,3247.81,3293.90,3293.91,3294.51,3228.01,3253.01
66,rule1,做空,2025-01-20 10:00,3369.61,2025-01-20 12:15,3290.18,10,150,2.357,330.00,3.3000,44.0745,止盈,否,否,1.0,3371.50,3375.64,3354.60,3364.00,3364.01,3378.80,3358.64,3369.61
67,rule1,做多,2025-01-20 10:30,3373.00,2025-01-20 17:30,3245.31,29,435,3.786,-530.00,-21.2000,22.8745,止损,否,否,4.0,3369.62,3391.16,3369.61,3388.86,3388.86,3390.97,3361.25,3373.00
68,rule1,做多,2025-01-20 11:00,3342.90,2025-01-20 17:30,3216.35,27,405,3.786,-530.00,-21.2000,1.6745,止损,否,否,4.0,3373.01,3379.07,3340.33,3353.42,3353.42,3360.88,3334.32,3342.90
69,rule1,做空,2025-01-20 13:00,3312.55,2025-01-20 17:30,3234.47,19,285,2.357,330.00,5.2800,6.9545,止盈,否,否,1.6,3288.81,3313.79,3288.50,3304.02,3304.02,3321.80,3295.17,3312.55
70,rule1,做空,2025-01-20 13:15,3317.32,2025-01-20 17:30,3239.13,18,270,2.357,330.00,3.3000,10.2545,止盈,否,否,1.0,3304.02,3321.80,3295.17,3312.55,3312.56,3334.09,3307.76,3317.32
71,rule1,做多,2025-01-21 05:45,3225.13,2025-01-21 10:45,3301.15,21,315,2.357,330.00,3.3000,13.5545,止盈,否,否,1.0,3239.80,3240.22,3220.00,3230.92,3230.92,3236.77,3217.07,3225.13
72,rule1,做多,2025-01-21 01:30,3237.43,2025-01-21 11:15,3313.74,40,600,2.357,330.00,13.2000,26.7545,止盈,否,否,4.0,3254.99,3255.37,3210.00,3215.15,3215.15,3248.67,3204.60,3237.43
73,rule1,做多,2025-01-21 08:45,3254.14,2025-01-21 14:15,3330.84,23,345,2.357,330.00,5.2800,32.0345,止盈,否,否,1.6,3258.23,3259.24,3240.30,3243.40,3243.41,3255.20,3234.48,3254.14
74,rule1,做空,2025-01-21 16:15,3316.51,2025-01-22 18:45,3246.15,107,1605,2.121,297.00,11.8800,43.9145,止盈,是,是,4.0,3295.10,3344.00,3290.50,3340.08,3340.07,3349.17,3308.05,3316.51
75,rule1,做多,2025-01-21 11:45,3305.07,2025-01-24 05:15,3375.18,263,3945,2.121,297.00,4.7520,48.6665,止盈,是,是,1.6,3310.15,3312.96,3298.70,3298.99,3298.99,3308.40,3292.71,3305.07
76,rule1,做多,2025-01-21 12:30,3307.94,2025-01-24 05:30,3378.12,261,3915,2.121,297.00,4.7520,53.4185,止盈,是,是,1.6,3301.40,3326.74,3301.10,3315.60,3315.60,3315.80,3298.30,3307.94
77,rule1,做多,2025-01-20 20:15,3324.60,2025-01-24 05:45,3395.13,327,4905,2.121,297.00,4.7520,58.1705,止盈,是,是,1.6,3343.49,3344.50,3324.01,3330.92,3330.95,3336.29,3314.00,3324.60
78,rule1,做空,2025-01-23 00:15,3255.00,2025-01-24 05:45,3380.22,119,1785,3.847,-538.60,-5.3860,52.7846,跟踪止损,是,是,1.0,3242.61,3257.06,3238.21,3250.60,3250.60,3257.73,3246.00,3255.00
79,rule1,做空,2025-01-24 14:45,3399.66,2025-01-24 23:00,3319.53,34,510,2.357,330.00,13.2000,65.9846,止盈,否,否,4.0,3400.77,3422.01,3378.56,3418.95,3418.95,3422.70,3395.33,3399.66
80,rule1,做多,2025-01-24 21:30,3332.00,2025-01-27 04:15,3160.28,220,3300,5.154,-721.51,-7.2151,58.7694,跟踪止损,是,是,1.0,3332.98,3346.99,3331.00,3341.10,3341.09,3342.84,3328.21,3332.00
81,rule1,做多,2025-01-25 02:00,3301.54,2025-01-27 04:15,3160.28,202,3030,4.279,-599.01,-5.9901,52.7794,跟踪止损,是,是,1.0,3302.58,3302.58,3292.14,3294.54,3294.54,3302.12,3289.33,3301.54
82,rule1,做多,2025-01-25 12:00,3302.21,2025-01-27 04:15,3160.28,162,2430,4.298,-601.72,-6.0172,46.7621,跟踪止损,是,是,1.0,3299.29,3311.50,3299.00,3306.91,3306.91,3307.24,3298.79,3302.21
83,rule1,做多,2025-01-25 16:45,3342.27,2025-01-27 04:15,3160.28,143,2145,5.445,-762.31,-7.6231,39.1390,跟踪止损,是,是,1.0,3343.44,3344.95,3334.62,3336.28,3336.28,3342.52,3332.00,3342.27
84,rule1,做多,2025-01-27 08:00,3067.01,2025-01-27 14:45,3139.30,28,420,2.357,330.00,3.3000,42.4390,止盈,否,否,1.0,3077.70,3083.80,3065.00,3070.80,3070.80,3072.55,3052.00,3067.01
85,rule1,做多,2025-01-27 09:30,3070.11,2025-01-27 14:45,3142.48,22,330,2.357,330.00,13.2000,55.6390,止盈,否,否,4.0,3078.43,3087.47,3060.00,3060.34,3060.31,3079.11,3058.43,3070.11
86,rule1,做多,2025-01-27 13:30,3110.51,2025-01-27 21:00,3183.83,31,465,2.357,330.00,5.2800,60.9190,止盈,否,否,1.6,3133.59,3134.50,3110.08,3118.56,3118.60,3126.79,3109.60,3110.51
87,rule1,做空,2025-01-27 11:00,3051.80,2025-01-27 21:15,3229.48,42,630,5.822,-815.10,-13.0416,47.8774,跟踪止损,是,是,1.6,3049.85,3055.96,3034.48,3038.39,3038.40,3058.50,3037.65,3051.80
88,rule1,做多,2025-01-27 15:15,3139.98,2025-01-27 21:15,3213.99,25,375,2.357,330.00,5.2800,53.1574,止盈,否,否,1.6,3137.51,3142.58,3125.00,3128.07,3128.06,3144.24,3112.00,3139.98
89,rule1,做空,2025-01-28 14:30,3162.78,2025-01-28 21:30,3088.23,29,435,2.357,330.00,5.2800,58.4374,止盈,否,否,1.6,3161.49,3174.66,3158.38,3171.83,3171.84,3180.50,3160.00,3162.78
90,rule1,做多,2025-01-28 14:45,3172.31,2025-01-28 21:45,3052.22,29,435,3.786,-530.00,-5.3000,53.1374,止损,否,否,1.0,3171.84,3180.50,3160.00,3162.78,3162.79,3178.72,3158.59,3172.31
91,rule1,做多,2025-01-28 22:00,3070.17,2025-01-29 06:15,3142.54,34,510,2.357,330.00,13.2000,66.3374,止盈,否,否,4.0,3072.25,3081.84,3052.15,3053.51,3053.50,3070.25,3040.03,3070.17
92,rule1,做空,2025-01-29 09:45,3130.32,2025-01-29 19:15,3056.53,39,585,2.357,330.00,5.2800,71.6174,止盈,是,是,1.6,3126.01,3135.78,3126.01,3135.77,3135.78,3136.48,3128.50,3130.32
93,rule1,做多,2025-01-29 23:00,3138.71,2025-01-30 04:00,3212.69,21,315,2.357,330.00,5.2800,76.8974,止盈,否,否,1.6,3143.44,3145.88,3131.87,3132.45,3132.45,3141.14,3129.25,3138.71
94,rule1,做多,2025-01-29 22:15,3141.74,2025-01-30 08:45,3208.39,43,645,2.121,297.00,2.9700,79.8674,止盈,是,否,1.0,3140.60,3142.80,3124.84,3133.37,3133.36,3144.43,3124.50,3141.74
95,rule1,做多,2025-01-30 02:00,3144.38,2025-01-30 09:30,3218.50,31,465,2.357,330.00,3.3000,83.1674,止盈,否,否,1.0,3145.04,3146.25,3135.01,3138.39,3138.39,3145.22,3128.07,3144.38
96,rule1,做空,2025-01-28 21:15,3099.85,2025-01-30 13:15,3237.30,161,2415,4.434,-620.79,-9.9326,73.2347,跟踪止损,是,是,1.6,3095.42,3113.23,3093.98,3107.26,3107.25,3115.27,3095.35,3099.85
97,rule1,做空,2025-01-30 08:00,3182.49,2025-01-31 15:30,3406.63,127,1905,7.043,-986.00,-9.8600,63.3748,跟踪止损,是,是,1.0,3181.82,3191.70,3181.19,3191.04,3191.04,3197.45,3181.46,3182.49
98,rule1,做空,2025-01-30 11:00,3215.01,2025-01-31 15:30,3406.63,115,1725,5.960,-834.41,-8.3441,55.0306,跟踪止损,是,是,1.0,3210.55,3219.69,3210.07,3219.69,3219.69,3220.94,3215.00,3215.01
99,rule1,做空,2025-01-30 15:30,3265.92,2025-01-31 15:30,3406.63,97,1455,4.308,-603.17,-24.1269,30.9037,跟踪止损,是,是,4.0,3269.59,3269.94,3248.31,3252.14,3252.14,3274.00,3250.55,3265.92
100,rule1,做空,2025-01-30 15:45,3255.30,2025-01-31 15:30,3406.63,96,1440,4.649,-650.81,-10.4130,20.4907,跟踪止损,是,是,1.6,3252.14,3274.00,3250.55,3265.92,3265.93,3277.14,3254.26,3255.30
101,rule1,做空,2025-01-31 16:00,3412.42,2025-01-31 18:30,3331.98,11,165,2.357,330.00,13.2000,33.6907,止盈,否,否,4.0,3400.99,3436.34,3398.51,3427.66,3427.65,3437.31,3410.20,3412.42
102,rule1,做空,2025-01-31 20:30,3318.87,2025-02-01 08:30,3248.46,49,735,2.121,297.00,2.9700,36.6607,止盈,是,是,1.0,3321.97,3325.22,3285.68,3312.32,3312.33,3326.78,3306.03,3318.87
103,rule1,做空,2025-02-01 17:45,3262.24,2025-02-01 19:45,3185.34,9,135,2.357,330.00,3.3000,39.9607,止盈,否,否,1.0,3263.13,3263.47,3252.00,3254.43,3254.43,3264.72,3254.42,3262.24
104,rule1,做多,2025-01-31 18:00,3381.52,2025-02-01 22:30,3131.44,115,1725,7.395,-1035.37,-10.3537,29.6071,跟踪止损,是,是,1.0,3384.09,3386.75,3370.34,3375.88,3375.87,3381.81,3367.22,3381.52
105,rule1,做多,2025-01-31 22:15,3316.32,2025-02-01 23:15,3108.11,101,1515,6.278,-878.97,-35.1587,-5.5517,跟踪止损,是,是,4.0,3319.12,3321.00,3298.39,3300.82,3300.81,3317.08,3294.37,3316.32
106,rule1,做多,2025-02-01 10:15,3247.22,2025-02-02 03:15,3071.21,69,1035,5.420,-758.86,-7.5886,-13.1403,跟踪止损,是,是,1.0,3236.19,3248.30,3235.62,3243.10,3243.10,3248.66,3232.90,3247.22
107,rule1,做空,2025-02-02 08:00,3093.01,2025-02-02 16:45,3020.10,36,540,2.357,330.00,5.2800,-7.8603,止盈,是,是,1.6,3090.19,3103.50,3088.15,3101.51,3101.50,3105.33,3090.25,3093.01
108,rule1,做空,2025-02-02 08:15,3103.27,2025-02-02 16:45,3030.12,35,525,2.357,330.00,3.3000,-4.5603,止盈,否,否,1.0,3101.50,3105.33,3090.25,3093.01,3093.01,3108.55,3091.51,3103.27
109,rule1,做多,2025-02-01 20:30,3170.92,2025-02-02 18:30,2950.66,89,1335,6.946,-972.47,-15.5596,-20.1199,跟踪止损,是,是,1.6,3176.84,3186.74,3162.80,3164.69,3164.69,3172.80,3151.71,3170.92
110,rule1,做多,2025-02-02 03:45,3077.97,2025-02-02 18:30,2921.00,60,900,5.100,-713.96,-7.1396,-27.2595,跟踪止损,是,是,1.0,3078.81,3095.67,3071.30,3085.75,3085.78,3095.00,3069.36,3077.97
111,rule1,做空,2025-02-02 20:15,2969.37,2025-02-02 21:30,2899.38,6,90,2.357,330.00,13.2000,-14.0595,止盈,否,否,4.0,2958.91,2982.98,2952.50,2981.49,2981.48,2987.68,2966.30,2969.37
112,rule1,做多,2025-02-02 17:45,2972.99,2025-02-02 22:30,2860.44,20,300,3.786,-530.00,-21.2000,-35.2595,止损,否,否,4.0,3009.76,3025.00,2969.27,2990.80,2990.80,2992.49,2951.58,2972.99
113,rule1,做多,2025-02-02 21:00,2945.94,2025-02-02 22:30,2834.42,7,105,3.786,-530.00,-8.4800,-43.7395,止损,否,否,1.6,2959.91,2959.91,2943.34,2950.64,2950.64,2956.82,2938.37,2945.94
114,rule1,做多,2025-02-02 22:15,2907.65,2025-02-02 22:30,2797.57,2,30,3.786,-530.00,-21.2000,-64.9395,止损,否,否,4.0,2907.90,2937.17,2906.08,2927.76,2927.77,2935.44,2899.45,2907.65
115,rule1,做空,2025-02-03 00:00,2851.77,2025-02-03 00:30,2784.55,3,45,2.357,330.00,13.2000,-51.7395,止盈,否,否,4.0,2845.50,2871.50,2844.88,2869.68,2869.68,2872.75,2849.86,2851.77
116,rule1,做空,2025-02-03 00:45,2823.49,2025-02-03 01:30,2756.94,4,60,2.357,330.00,13.2000,-38.5395,止盈,否,否,4.0,2839.25,2842.47,2768.55,2781.16,2780.82,2845.91,2778.15,2823.49
117,rule1,做多,2025-02-02 23:00,2838.31,2025-02-03 01:45,2730.86,12,180,3.786,-530.00,-21.2000,-59.7395,止损,否,否,4.0,2843.09,2883.86,2820.02,2875.46,2875.46,2875.46,2801.53,2838.31
118,rule1,做多,2025-02-02 23:15,2810.79,2025-02-03 01:45,2704.38,11,165,3.786,-530.00,-21.2000,-80.9395,止损,否,否,4.0,2875.46,2875.46,2801.53,2838.31,2838.30,2854.75,2778.49,2810.79
